,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
14,鼓岭旅游度假区,20,4,132,1%,鼓岭风景宜人，从近代至今都是福州著名的夏天避暑场所。,4.6,福州市晋安区宦溪镇鼓岭宜夏村鼓宦公路与192县道交叉口北150米,全年 08:00-21:00,具体收费情况以现场公示为主,
15,象鼻湾,0%,0,16,0%,,3.5,平潭敖东镇建民沙坝(堤),全年 全天开放,具体收费情况以现场公示为主,
16,中国船政文化景区,189,0,35,0%,,4.3,福州市区马尾区港口路83号罗星塔公园内,全年 全天开放,,
17,石竹山风景区,2,1,262,0%,欣赏明媚秀丽山水，体验道教经典文化。,4.5,福清市宏路镇石竹山风景区,全年 06:30-17:30,25元,6
18,永泰欧乐堡海洋世界,11%,0,54,0%,,4.6,福州市永泰县葛岭镇旅游路7号,全年 09:00-17:30,230元,178.8
19,于山,22,6,638,11%,环境舒适宜人，白塔是福州的标志之一，还能去戚公祠瞻仰抗击倭寇的民族英雄戚继光。,4.5,福州市鼓楼区于山路,全年 全天开放,免费,6
20,石厝教堂,54,1,1,0%,清咸丰十年(1860年)由英国圣公会创办，原名安日间会，坐北朝南，青石砌成，占地600平方米，仿哥特式建筑。,,,,,
21,东庠岛,0%,0,9,0%,,5.0,福州市平潭县东庠岛,全年 全天开放,具体收费情况以现场公示为主,
22,大姆山草场,12,1,20,0%,,4.0,福州市福清市近郊南岭镇东北,全年 全天开放,免费开放,
23,云顶天池,21,1,15,0%,,4.4,福建省福州市永泰县云山村,全年 8:30-17:00,190元,178
24,东甲岛,5,1,18,100%,,4.7,福州市平潭县海坛岛南部，距草屿约9公里。,全年 8:00-17:00,具体收费情况以现场公示为主,
25,西禅寺,15,4,247,10%,西禅寺名列福州五大禅林之一，香火很旺，寺里还有千年荔枝树。,4.6,福州市鼓楼区工业路455号,全年 7:00-18:00,具体收费情况以现场公示为主,0.8
26,永泰天门山生态旅游风景区,4,1,165,0%,,4.2,福州市永泰县葛岭镇溪洋村,9:00-18:00；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,35元,98
27,泛船浦天主教堂,34,1,41,0%,作为福建最大的教堂，独具哥特式建筑，每日可参加教堂礼拜。,4.6,福州市仓山区朝阳路新民街54号,全年 周一-周五 09:00-18:00,具体收费情况以现场公示为主,
28,猴研岛,8,6,28,0%,,4.5,福州市平潭县澳前镇东澳村梦山猴研岛,全年 08:30-18:00,,30
29,嵩口古镇,2,6,55,1%,,4.3,福州市永泰县嵩口镇,全年 全天开放,具体收费情况以现场公示为主,
30,十八重溪,6,1,38,0%,,4.0,福州市闽侯县南通镇福秀路,全年 全天开放,具体收费情况以现场公示为主,
31,福州云顶,5,1,989,0%,坐山崖峡谷观光索道，观峡谷风貌与瀑布流水，理想的避暑游览胜地。,4.5,福州市永泰县青云山顶,2月1日-10月31日8:00-17:00；11月1日-次年1月31日8:00-16:00；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,190元,157
32,罗源湾海洋世界,3,0,581,0%,福建省大型海洋馆，300多种海洋生物，是孩子们亲近海洋、拓宽视野的天堂。,4.5,福州市罗源县罗源湾开发区江滨南路1号,8/1-8/31 09:00-17:00,成人价180元，优惠价120,
33,莒溪风景区,0%,0,0,0%,,--,塘前乡莒口村,,具体收费情况以现场公示为主,
34,磨溪,0%,0,0,0%,,0.0,福州市马尾区鼓山东侧快安村,,具体收费情况以现场公示为主,
35,皇帝洞生态旅游景区,328,1,37,0%,,4.3,福州市晋安区日溪乡梓山村,04/22-12/31 08:30-17:30,198元,30
36,奇达村,17,1,11,0%,,4.5,福州市连江县安凯乡凤下尾角,全年 全天开放,,
37,金山寺,23,1,69,1%,闽江的一个著名景点，著名的金山寺八景也出于此。,4.5,福州市仓山区西三环路,全年 8:00-17:00,20元,
38,东海仙境,26,5,86,0%,,4.1,福州市平潭县流水镇东美村王爷山南麓,全年 9:00-18:00,具体收费情况以现场公示为主,
39,九峰村,19,3,96,0%,这里是动物的天堂，因地制宜的分区展馆，使人更直观地游览。,4.3,福州市晋安区新店镇新园路100号,全年 08:00-18:00,30元,198
40,福州动物园,41,1,22,0%,,3.9,福州市平潭综合实验区龙凤头海滨浴场平潭沙雕园,景区暂时停业，详情请以景区公示为准。原开放时间9月1日-次年7月14日9:00-22:00（19:30停止入场）；7月15日-8月31日9:00-21:00。,具体收费情况以现场公示为主,
41,平潭沙雕园,15,0,10,0%,,4.8,福州市福清市东张镇三星村灵石山国家森林公园内,全年 7:30-18:30,,
42,龙潭山水风景区,269,5,3,0%,位于北部的长江澳风力田，不仅提供了最洁净的能源，也是摄影爱好者们眼里的绝佳景致。,4.0,福建省福州市平潭县平原镇上攀村(近十八楼),全天,免费,
43,长江澳风车田,18,12,274,12%,参观著名的乌塔，观摩福州现存最古老的石刻“般若台”，是个安静闲适的小憩之地。,4.5,福州市鼓楼区乌山路,全年 全天开放,免费,
44,乌山,0%,0,0,0%,,0.0,连江县筱程镇官坞村临海西路225号天福渔夫岛景区,5/1-10/31 08:00-17:30;11/1-4/30 10:00-16:30,78元,8
45,渔夫岛风景区,183,2,39,0%,,4.5,福州市仓山区梅坞路14号,全年 全天开放,具体收费情况以现场公示为主,
46,烟台山公园,24,10,290,17%,全国最大的林则徐纪念馆，古典园林式祠堂建筑，可以看到各种有关林则徐的资料展示。,4.7,福州市鼓楼区澳门路16号,8:30-17:00 (16:30停止入场),凭借身份证或其他有效证件进行登记后，领取免费参观券。,
47,林则徐纪念馆,3,2,107,0%,穿越惊险石廊，观赏各型瀑布，享受理想的避暑游览胜地。,4.5,福州市永泰县城10多公里的岭路乡,8:00-16:30，15:00停止入场。,27元,32
48,青云山,115,1,67,6%,白塔为福建省文物保护单位，历史悠久。,4.4,福州市鼓楼区于山路于山风景区定光塔寺内,全年 8:00-17:00,具体收费情况以现场公示为主,
49,白塔,2,0,0,0%,芦际潭森林公园位于位于福建省福州市长乐市航城街道五竹村，占地面积约12000亩，以我市西北山区蟛蜞山为中心，包括复老山、狮头山、石龙山等山林。,,,,,
50,芦际潭森林公园,87,2,3,0%,闽安是中国东南沿海著名的千年古镇，位于福建省福州市马尾区。公元893年，唐朝已在闽安设巡检司衙门，宋代时列福建四大名镇之首，元明清时沿袭为军事与海上贸易重镇，也是千年来兵家必争之地和古战场，保存有大量唐、宋、元、明、清文物古迹。,4.7,福州市马尾区	,,,
51,闽安古镇,42,3,16,0%,,4.5,福州市仓山区乐群路,全年 全天开放,免费,
52,仓山旧领事馆区遗址,319,7,77,0%,,4.3,福州市平潭县流水镇东美村东海仙境景区内,8:00-17:00,25元,21
53,仙人井,12,14,229,13%,福州城内“三坊七巷”的中轴，古色古香，另有名人故居，是传统与现代相结合的休闲文化商业街。,4.6,福州市鼓楼区杨桥东路与达明路交叉口南50米,全年 全天开放,免费,
54,南后街,105,3,103,4%,是福州现存最古老的佛寺之一，内有许多珍贵文物。,4.5,福州市鼓楼区开元路78号,全年 07:00-17:30,具体收费情况以现场公示为主,
55,开元寺,0%,0,1,0%,,4.2,福州市平潭县丰田村丰沃线,,,
56,北部玻璃栈道,0%,0,1,0%,,5.0,得贵路26号,,具体收费情况以现场公示为主,
57,M17文化广场,0%,0,0,0%,,--,文岭镇滨海路北猫山,,具体收费情况以现场公示为主,
58,北猫山,0%,0,0,0%,,4.6,福州市连江县丹阳镇新洋村鳗场路,8:30-18:00,20元,28
59,东关寨,0%,0,0,0%,,4.5,福州市晋安区新店镇新园路56号西庄,全年 06:00-22:00,,
60,贝里溪蟹谷,0%,0,3,0%,,4.2,福建省福州市永泰县203省道,夏季9:00-17:00，冬季9:00-16:30。,大樟溪东区门票40元；西区免费开放，内部娱乐项目另收费。,358
61,福州儿童公园,177,1,5,0%,,4.8,福州市晋安区鼓山西北风池山西侧凤池白云洞景区,全年 全天开放,,
62,永泰大樟溪,7,3,31,0%,,4.5,福州市平潭县敖东镇青观顶村平潭海坛国家风景名胜区青观顶片区,6月1日-9月30日8:00-18:00，17:00停止进入；10月1日-次年5月31日8:00-17:30，16:30停止进入。,10元,18.9
63,白云洞,2,0,23,0%,,4.1,福州市罗源县近郊霍口畲族乡冈尾村,全年 08:30-17:00,40元,36
64,将军山,19,1,23,0%,,4.1,福州市福清市东张镇三星村内,7:30-18:30，节假日正常开放；信息仅供参考，具体开放时间以景区披露为准。,15元,0.9
65,畲山水景区,20,0,15,0%,,4.1,福州市永泰县青云山风景区内,1/1-12/31 08:00-17:00,15元,
66,灵石山国家森林公园,21,0,12,0%,,4.6,福州市福清市渔溪镇，再向西北10公里联华村黄檗山,全年 8:00-17:30,具体收费情况以现场公示为主,
67,青云山云天石廊,253,0,0,0%,方广岩位于福建省永泰县城东葛岭山腰，距离县城约23公里。它是以佛经第十部类“方广”为名，“方广”属于大乘经典。,--,东南悬空寺方广岩(西南门)附近,,,
68,万福寺,93,1,2,0%,康山里是一条小巷，当地有12座别具一格的花园式洋房，颇具诗意。,0.0,福建省福州市仓山区,全天,免费,
69,方广岩景区,35,0,0,0%,其最初的目的是打造一个舒适、充满动漫美感和和创意性的办公场所，后来逐渐成为了小有名气的文化基地。,--,福建省福州市长乐市滨海路,,,
70,康山里,52,1,80,0%,是福建省重点建设3所高水平大学之一，校内风景优美。,4.8,福州市仓山区上下店路15号,疫情期间不对外开放；非疫情期间全天开放。,疫情期间不对外开放；非疫情期间免费开放。,
71,长乐海西动漫之都,8,1,74,0%,绝美的岭南风光，在森林氧吧中悠闲漫步，登山访古。,4.3,福州市闽侯县南屿镇双峰村,全年 09:00-17:00,具体收费情况以现场公示为主,
72,福建农林大学,0%,0,1,0%,,4.0,福州市闽侯县一一六县道,,具体收费情况以现场公示为主,
73,旗山国家森林公园,0%,0,1,0%,,,,,,
74,大目埕村,47,1,56,0%,,4.6,福州市鼓楼区福飞南路139号屏山公园内,9:00-17:00（16:00停止入场）。,具体收费情况以现场公示为主,
75,东湖VR小镇,0%,0,0,0%,,5.0,福州市平潭县,,,
76,镇海楼,0%,0,0,0%,,--,福州市连江县,,具体收费情况以现场公示为主,
77,大练岛,,,,,,,,,,
78,定海湾,,,,,,,,,,
79,宁逺庄,,,,,,,,,,
