,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
43,高北土楼群,17,4,1084,3%,,4.6,龙岩市永定县高头乡高北村,7:00-19:00,50元,48
44,梅花山,15,2,1,0%,龙岩梅花山自然保护区地处武夷山脉南段东南坡与戴云山之间的玳瑁山主体部分，这里山峦耸峙，绿海无边，层林叠翠，荟萃了许多珍贵的生物资源与物种，有“神奇的宝山”“动植物资源基因库”之美称。,5.0,福建省上杭县古田镇,8:00-17:00,50元,1388
45,古田镇,16,2,4,0%,古田镇位于福建省上杭县东北部、梅花山南麓，地外新罗、上杭、连城三县(区)结合部。全镇方圆227平方公里，辖21个行政村，4934户，19594人。91年全镇工农业总产值突破亿元，率先成为全国革命老区第一个亿元镇。,5.0,福建龙岩上杭县东北部,7:30~17:00,62元,0
46,紫金矿业,20,1,1,0%,紫金矿业集团由上杭县矿产公司发展而来，是上杭人民的骄傲和经济发展的象征，内有资金地质矿产博物馆和林丹羽毛球馆，是到了上杭县城必去的地方。,3.0,福建省上杭县北环路478,,免费,0
47,中川古村落,21,1,33,3%,,4.2,龙岩市永定县下洋镇中川村,全年 8:30-17:00,30元,30
48,福音医院,18,1,0,0%,福音医院系中国医科大学附属第一医院的前身，坐落于长汀县城北山脚下，土木结构平房，建筑面积1871平方米，四周围墙，地势前低后高。福音医院内共有房间30间，有外科、内科、化验室、手术室及男女病房、膳厅等。,0.0,龙岩市长汀县,全天,免费,0
49,临江楼,1,1,9,0%,临江楼是一处革命老楼，毛主力曾经在这里居住过，风景如画的临江楼曾经是&quot;广福隆&quot;货栈旧址，楼前有江水，对岸菊花满坡，景色宜人。,4.4,龙岩市漳平市临江路52号,由于维修现暂停营业，开放时间未定，具体开放时间以现场公示为准。,,0
50,闽西革命烈士纪念碑,0%,1,3,0%,在龙岩市城西虎岭山。1955年7月开始兴建，1956年10月落成，高26米。用青白两色花岗石砌成。碑身南北二面刻“闽西革命烈士纪念碑”大字，碑顶有浮雕的月亮云彩图案，碑座四面镌刻邓子恢、张鼎丞、魏金水、伍洪祥的亲笔题词。1980年扩建为“闽西革命…,4.0,龙岩市城西虎岭山,全天,2元,0
51,摩陀寨,27,0,0,0%,"摩陀寨风景区位于上杭汀江河畔庐丰畲话乡，原称武婆寨，又称摩诃山，由撑篷岩、摩陀寨、五子石、雷打石等组成。集青山、碧水、奇石、深潭、古寨、庙堂、城墙、炮楼、民俗等为一体，是综合性的旅游景区。
北宋天圣五年(公元1017年)，当地乡民在此结…",--,上杭汀江河畔庐丰畲话乡,8：00--18：00,免费,0
52,西陂天后宫,28,1,4,0%,,5.0,高陂镇西陂村,8：00--18：00,具体收费情况以现场公示为主,0
53,深远楼,20,1,1,0%,永定客家土楼中最大的一座，直径达80米之巨，置身其中宛如在一座城堡之中，让人叹为观止。,--,,,,0
54,永定土楼自然博物馆,29,4,50,1%,,4.5,龙岩市永定县湖坑镇客家土楼民俗文化村景区,9:00-17:30,80元,0
55,李氏大宗祠,21,3,9,0%,,4.8,福建省龙岩市上杭县回归路,全年 08:00-17:00,具体收费情况以现场公示为主,0
56,苏维埃政府旧址,30,1,1,0%,座落于长汀县城兆征路，原为汀州历代考试场所，试院内有唐代双柏树、龙山书院、朱子祠等，为庭院式土木结构厢房，占地面积11370平方米。1932年3月18日福建省第一次工农兵代表大会在此召开，通过了《实行劳动法令》、《土地问题》、《军事工作》、《…,5.0,龙岩市长汀县城兆征路,8：30-18：00,免费,0
57,龙岩东肖森林公园,31,1,10,0%,,4.5,福建省龙岩市新罗区东肖镇,7:00-21:00,20元,23
58,容膝居,32,0,0,0%,,5.0,龙岩市连城县宣和镇培田村,,,0
59,古韵东湖景区,0%,0,0,0%,,0.0,龙岩市漳平市溪南镇东湖村,,,0
60,大山村,0%,0,0,0%,,--,龙岩市新罗区,,,0
61,龙岩市工人文化宫,0%,0,0,0%,,0.0,龙岩市新罗区莲南路和东环路交叉口西南侧,,,0
62,林邦村,0%,0,0,0%,,0.0,龙岩市新罗区,,,0
63,下村村,0%,0,0,0%,,--,龙岩市漳平市双洋镇,,,0
64,遗经楼,0%,0,0,0%,,3.0,龙岩市永定区X624,,,0
65,马兰山,0%,0,0,0%,,5.0,龙岩市长汀县大同镇与策武镇交界处,,,0
66,天台山,0%,0,0,0%,,--,龙岩市漳平市,,,0
67,仙洞,0%,0,0,0%,,--,龙岩市永定区,,,0
68,石佛公,0%,0,0,0%,,--,龙岩市新罗区江山隧道,,,0
69,尧禄村,0%,0,0,0%,,--,龙岩市武平县,,具体收费情况以现场公示为主,0
70,天马山净慈寺,0%,0,0,0%,,--,莲花山公园,,具体收费情况以现场公示为主,0
71,三平寺,0%,0,0,0%,,--,203省道,,具体收费情况以现场公示为主,0
72,探梦宇宙 航天科普艺术展,0%,0,0,0%,,--,福建省龙岩市苏邦村东洋楼,,,0
73,燕子岩景区,0%,0,0,0%,,--,培丰镇605县道西50米,,,0
74,汀州府城隍庙,0%,0,0,0%,,--,龙岩市长汀县汀州镇兆征路99号,,具体收费情况以现场公示为主,0
75,天后宫,0%,0,0,0%,,--,龙岩市长汀县东大街35号,,具体收费情况以现场公示为主,0
76,土楼王,0%,0,0,0%,,0.0,高北土楼群永定区土楼人家附近,,具体收费情况以现场公示为主,0
77,紫云山风景区,0%,0,0,0%,,,,,,0
78,龙津湖公园,0%,0,0,0%,,--,曹溪街道龙岩大道与金鸡路交汇处西北侧,,具体收费情况以现场公示为主,0
79,紫金山风景区,0%,0,0,0%,,0.0,609县道,,,0
80,培斜滑草场,0%,0,0,0%,,--,小池镇培斜村,,具体收费情况以现场公示为主,0
81,长汀母亲缘广场大型灯会,0%,0,0,0%,,--,长汀母亲缘广场,,,0
82,南坑村,0%,0,0,0%,,--,龙岩市长汀县,,具体收费情况以现场公示为主,0
83,武夷山脉,0%,0,0,0%,,--,赣州市瑞金市,,具体收费情况以现场公示为主,0
84,黉山寺,0%,0,0,0%,,0.0,福建省龙岩市新罗区莲花山公园吴公庵,,具体收费情况以现场公示为主,0
85,汀江,0%,0,0,0%,,--,龙岩市长汀县,,具体收费情况以现场公示为主,0
86,云中村寨,0%,0,0,0%,,--,赤岗新村91东北方向195米,,具体收费情况以现场公示为主,0
87,豸下莲乡景区,0%,0,0,0%,,--,下辖村豸下,,具体收费情况以现场公示为主,0
88,恋城1908文创街区,0%,0,0,0%,,5.0,龙川东路88号,"全年 周一,周日 09:00-21:30",具体收费情况以现场公示为主,0
89,云谷生态园,0%,0,0,0%,,--,溪口乡大丰村,,具体收费情况以现场公示为主,0
90,上林水库,0%,0,0,0%,,--,永福镇,,具体收费情况以现场公示为主,0
91,兴贤坊,0%,0,0,0%,,0.0,沿河西路河滨文化公园对面,,,0
92,平桥翠柳城市森林公园,0%,0,0,0%,,4.0,平桥翠柳城市森林公园,,,0
93,岩太梯田,0%,0,0,0%,,--,岩太村,,具体收费情况以现场公示为主,0
94,自然花园,0%,0,0,0%,,0.0,金鸡路金茂体育公园附近,,具体收费情况以现场公示为主,0
95,龙岩会展中心,0%,0,0,0%,,--,北三环与解放北路交叉口,,具体收费情况以现场公示为主,0
96,华莲公园,0%,0,0,0%,,--,华莲路星辉花园东50米,,具体收费情况以现场公示为主,0
97,登高公园,0%,0,0,0%,,0.0,龙岩市新罗区登高路,,具体收费情况以现场公示为主,0
98,白沙江滨公园,0%,0,0,0%,,--,临江镇江滨路162号,,具体收费情况以现场公示为主,0
99,树子坝公园,0%,0,0,0%,,--,平川街道国光路123号东北方向70米,,,0
100,方方公园,0%,0,0,0%,,--,桥下坝与营背街交叉口路南,,具体收费情况以现场公示为主,0
101,紫金山矿山公园,0%,0,0,0%,,--,旧县镇651县道紫金山金铜矿旁边,,具体收费情况以现场公示为主,0
102,留白剪纸艺术馆,0%,0,0,0%,,--,店头街64-1号,,具体收费情况以现场公示为主,0
103,庆成楼,0%,0,0,0%,,3.0,龙岩市永定区庆成楼(福建土楼客家民俗文化村西南),8:00-19:00,具体收费情况以现场公示为主,0
104,新罗毛泽东旧居,0%,0,0,0%,,,,,,0
105,龙岩市永定区博物馆,0%,0,0,0%,,--,凤城街道九一大街164号,,具体收费情况以现场公示为主,0
106,石锣鼓湿地公园,0%,0,0,0%,,4.3,曹溪北路,全天,具体收费情况以现场公示为主,0
107,八喜馆,0%,0,0,0%,,4.0,龙岩市长汀县环北路与江滨路交叉路口西南侧(防汛大厦西南侧约100米),全年 09:00-21:30,50元,47
108,曲凹哩,0%,0,0,0%,,5.0,龙岩市长汀县新桥镇新桥村屈凹哩路60号,全年 09:00-17:30,30元,0
109,大夫第,0%,0,0,0%,,4.0,龙岩长汀县环北路143-102东北方向134米,全年 09:00-21:00,30元,27
110,济川门,0%,0,0,0%,,4.8,龙岩市长汀县汀州镇兆征路水东桥头,全年 09:00-21:00,30元,27
111,西普陀风景区,0%,0,0,0%,,--,龙岩市上杭县临城镇205国道,全年 全天开放,具体收费情况以现场公示为主,0
112,千鹭湖景区,0%,0,0,0%,,5.0,龙岩市武平县城厢镇垇坑村赤露水115号,,60元,0
113,龙岩市博物馆,0%,0,0,0%,,--,龙岩市新罗区龙岩大道人民广场中2号,"周二-周日：夏季8:30-11:30,15:00-17:30；冬季8:30-11:30,14:30-17:00；周一闭馆。",具体收费情况以现场公示为主,0
114,董邦农耕文化园,0%,0,0,0%,,--,福建省龙岩市曹溪街道董邦村委会往三德水泥方向400米董邦渔村,,,0
115,长汀青岛啤酒节,0%,0,0,0%,,--,龙岩市长汀县汀州镇汀州大道长汀火车站,,,0
116,永定区下只屋,0%,0,0,0%,,--,龙岩市-永定区,,具体收费情况以现场公示为主,0
117,石门垫,0%,0,0,0%,,--,泉州市-安溪县,,具体收费情况以现场公示为主,0
118,连城县国有林场,0%,0,0,0%,,--,福建省龙岩市连城县东环南路90号附近,,具体收费情况以现场公示为主,0
119,永定区德辉农场,0%,0,0,0%,,--,龙岩市-永定区-坪洋村背坑66号,,具体收费情况以现场公示为主,0
120,茶溪林果场,0%,0,0,0%,,--,龙岩市-上杭县-636县道西50米,,,0
121,大用山有机茶基地,0%,0,0,0%,,--,龙岩市-漳平市-南洋镇梧溪村,,具体收费情况以现场公示为主,0
122,闽西经济野生动物驯养繁殖场实验基地,0%,0,0,0%,,--,龙岩市-新罗区-乘龙路附近,,具体收费情况以现场公示为主,0
123,木陂村,0%,0,0,0%,,--,龙岩市-连城县,,具体收费情况以现场公示为主,0
124,古皇楼,0%,0,0,0%,,--,龙岩市-连城县,,具体收费情况以现场公示为主,0
125,金岗山公园,0%,0,0,0%,,--,龙岩市上杭县金岗新路3号,,具体收费情况以现场公示为主,0
126,岩太村外塘农场,0%,0,0,0%,,--,龙岩市-永定区-陈东乡岩太村外塘,,具体收费情况以现场公示为主,0
127,闽西有礼展厅,0%,0,0,0%,,--,龙岩市永定区南江村福建土楼沟南江景区内,,具体收费情况以现场公示为主,0
128,上杭县状元蔬菜专业合作社,0%,0,0,0%,,--,龙岩市-上杭县-308省道附近,,,0
129,古田会议纪念馆,0%,0,1,0%,,4.0,古田镇古田路76号,全年 08:00-17:30,,0
130,店头街,0%,0,0,0%,,4.8,龙岩市长汀县兆征路154号,,具体收费情况以现场公示为主,0
131,龙岩永定客都(国际)温泉度假村,0%,0,0,0%,,--,龙岩市永定区下洋镇(近土楼群),,具体收费情况以现场公示为主,0
132,松毛岭红军无名纪念广场,0%,0,0,0%,,4.0,福建省龙岩市连城县G319(松毛岭隧道)松毛岭阻击战郭公寨前线指挥部东南边200米,,具体收费情况以现场公示为主,0
133,归龙山,0%,0,0,0%,,--,福建省龙岩市长汀县四都镇,,具体收费情况以现场公示为主,0
134,天宫山圆通禅寺,0%,0,0,0%,,--,203省道附近,,具体收费情况以现场公示为主,0
135,龙岩云顶茶园度假村,0%,0,0,0%,,--,龙岩新罗区小池镇云顶茶园,,具体收费情况以现场公示为主,0
136,汀江源龙门风景区,0%,0,0,0%,,0.0,龙岩市长汀县,,具体收费情况以现场公示为主,0
137,泰安堡,0%,0,1,0%,,0.0,龙岩市漳平市灵地乡易坪村后湖,,具体收费情况以现场公示为主,0
138,漳平南洋国家湿地公园,0%,0,1,0%,,--,龙岩市漳平市南洋镇漳平南洋国家湿地公园,,具体收费情况以现场公示为主,0
139,连城县新泉整训纪念馆,0%,0,0,0%,,--,福建省连城县新泉镇新泉村幸福路5号,上午：8:00-12:00 下午：14:30-17:30 15:00-18:00（夏令时）,免费,0
140,武平县博物馆,0%,0,0,0%,,--,福建省武平县平川镇西厢村马头山公园旁,,免费,0
141,连城县博物馆,0%,0,0,0%,,4.0,观景路51号,全年 周二-周日 10:00-22:00,免费,0
142,岳山茶事,0%,0,0,0%,岳山茶事引了入台湾民宿成熟且智慧的理念，将种种文创商品、文化活动、公益服务等等结合，是一个集文化旅游、观光工厂、生态农业等项目于一体的休闲娱乐场所。,--,官田乡排坑西北侧,周一至周日 08:00-22:00,,0
143,上杭县博物馆,0%,0,0,0%,,0.0,福建省上杭县临江镇临江路52号,5月1日—10月1日   上午8：00—12：00   下午3：00—6：00,免费,0
144,龙岩失恋博物馆,0%,0,0,0%,,0.0,龙岩市新罗区龙岩大道383号龙岩国际商贸城2层07、08号商铺（万阳城）,,具体收费情况以现场公示为主,0
145,古田毛主席纪念园,0%,0,0,0%,,--,古田会议会址后山的右侧,,,0
146,麟山塔,0%,0,0,0%,,--,福建省漳平市漳平市,全年 全天开放,具体收费情况以现场公示为主,0
147,东华山,0%,0,0,0%,,--,龙仙镇,全年 全天开放,具体收费情况以现场公示为主,0
148,梅县丙村仁厚温公祠,0%,0,0,0%,,--,广东省梅县丙村镇群丰村,全年 9:00-17:00,,0
149,中都镇仙村,0%,0,0,0%,,--,龙岩市上杭县,,具体收费情况以现场公示为主,0
150,龙台缘港澳情陈列馆,0%,0,0,0%,,--,龙岩市-新罗区-隔顶白土街龙岩华侨历史博物馆,,,0
151,钟下岭,0%,0,0,0%,,--,龙岩市-长汀县,,具体收费情况以现场公示为主,0
152,长汀金堂古寺,0%,0,0,0%,,--,龙岩市-长汀县,,,0
153,梅花山步云索道(红豆杉园站),0%,0,0,0%,,0.0,龙岩市-上杭县,,具体收费情况以现场公示为主,0
154,福建省上杭县古田国有林场,0%,0,0,0%,,--,龙岩市-上杭县-上杭县国税局古田税务分局(八甲桥),,,0
155,长汀高福寺,0%,0,0,0%,,--,龙岩市-长汀县,,,0
156,武平县白水寨瀑居,0%,0,0,0%,,0.0,龙岩市-武平县,,具体收费情况以现场公示为主,0
157,太平廊桥,0%,0,4,0%,,4.4,龙岩市长汀县太平桥,,,0
158,福建省龙岩市瓦子街,0%,0,0,0%,,--,福建省上杭县紫金南路10号,,具体收费情况以现场公示为主,0
159,万成·百乐汇步行街,0%,0,0,0%,,--,和平北路与站前路交叉口,,具体收费情况以现场公示为主,0
160,百乐汇·三乡文化步行街,0%,0,0,0%,,--,福建省漳平市外环西路附近,,具体收费情况以现场公示为主,0
161,永定暴动陈列馆,0%,0,0,0%,,--,福建省永定县309省道附近,,具体收费情况以现场公示为主,0
162,皇佑笔保护区,0%,0,0,0%,,--,东北部山区,,具体收费情况以现场公示为主,0
163,王寿山,0%,0,0,0%,,--,福建省永定县洪山乡柘林村,全年 9:00-17:00,具体收费情况以现场公示为主,0
164,上杭国家森林公园,0%,0,0,0%,,--,福建省龙岩市上杭县临城镇西普陀风景区,全年 9:00-17:00,具体收费情况以现场公示为主,0
165,长汀革命旧址,0%,0,0,0%,,5.0,兆征路,全年 8:00-17:00,,0
166,龙岩上杭紫金矿业,0%,0,0,0%,,--,福建省上杭县北环路 364200,全年 全天开放,,0
167,连城四堡书坊,0%,0,0,0%,,--,福建省龙岩市龙岩市,全年 全天开放,,0
168,永福台品樱花茶园,0%,0,10,0%,永福台品樱花茶园位于漳平市永福镇后盂村的茶园和李庄村的台缘山庄，是永福第二大樱花园，樱花遍布在高山茶道里，分外迷人。,4.4,龙岩市漳平市永福镇358国道,08:00-18:59,成人票30元,0
169,恩荣牌坊,0%,0,0,0%,,--,福建省龙岩市连城县培田村,,具体收费情况以现场公示为主,0
170,杨成武将军纪念馆,0%,0,1,0%,,4.0,龙岩市长汀县西外街27-2号,,具体收费情况以现场公示为主,0
171,振福楼,0%,0,1,0%,,4.3,福建省龙岩市永定县南江村,具体开放时间请咨询景区,额外收费，具体费用请咨询景区,0
172,梅花山国家级自然保护区,0%,0,0,0%,,--,龙岩市上杭县古田镇,,具体收费情况以现场公示为主,0
173,廖天山,0%,0,0,0%,,--,福建省龙岩市,,具体收费情况以现场公示为主,0
174,高北村,0%,0,0,0%,,--,永定县高头乡北高村,,具体收费情况以现场公示为主,0
175,杨成武将军纪念碑,0%,0,0,0%,,--,龙岩市长汀县,,具体收费情况以现场公示为主,0
176,小池培斜萌宠动物园,0%,0,0,0%,,5.0,龙岩市新罗区小池镇培斜村内,9:00-18:00,60元,0
177,佛灵寺夫人宫,0%,0,0,0%,,,,,,0
178,将军庙,0%,0,0,0%,,--,龙岩市新罗区,,具体收费情况以现场公示为主,0
179,古中峰寺,0%,0,0,0%,,--,福建省龙岩市上杭县旧县镇(近205国道),,具体收费情况以现场公示为主,0
180,闽西比干庙,0%,0,1,0%,,3.0,福建省龙岩市新罗区G76(厦蓉高速),,具体收费情况以现场公示为主,0
181,铭恩寺,0%,0,0,0%,,--,福建省龙岩市漳平市X671(漳华线),,具体收费情况以现场公示为主,0
182,小宝贝游乐园,0%,0,0,0%,,--,闽西交易城新发现广场4楼,,,0
183,连城塘前漂流（豸下莲乡风景区）,0%,0,1,0%,,5.0,龙岩市连城县塘前乡下辖村豸下莲乡景区,全年 9:00-17:00,具体收费情况以现场公示为主,0
184,龙岩卧龙山,0%,0,1,0%,,4.7,龙岩市长汀县兆征路8号,全年 8:00-18:00,具体收费情况以现场公示为主,0
185,江山镇,0%,0,3,0%,,,,,,0
186,永福花乡,0%,0,1,0%,,5.0,龙岩市漳平市G358,全年 全天开放,,0
187,龙岩朝斗岩,0%,0,0,0%,,--,福建省长汀县龙岩朝斗岩景区,全年 7:00-18:00,具体收费情况以现场公示为主,0
188,摩陀寨风景区,0%,0,0,0%,,4.0,龙岩市上杭县汀江河畔庐丰畲族乡,,具体收费情况以现场公示为主,0
189,武平下坝乡狮子山,0%,0,0,0%,,5.0,福建省武平县下坝乡,全年 全天开放,具体收费情况以现场公示为主,0
190,六甲五显宫,0%,0,0,0%,,--,东肖北路与南5路交叉口东南50米,,具体收费情况以现场公示为主,0
191,张化孙纪念馆,0%,0,0,0%,,--,和平北路30号,,具体收费情况以现场公示为主,0
192,莲庄公园,0%,0,0,0%,,--,新陂路与莲庄北路交叉口西南50米,,具体收费情况以现场公示为主,0
193,天主堂,0%,0,0,0%,,--,解放路574,,具体收费情况以现场公示为主,0
194,漳平市溪南镇基督教堂,0%,0,0,0%,,--,福建省龙岩市漳平市南洲东路溪南镇基督教堂,,,0
195,长流公园,0%,0,0,0%,,,,,,0
196,慈航阁,0%,0,0,0%,,--,西环路215号附近,,具体收费情况以现场公示为主,0
197,中山公园,0%,0,6,0%,,4.9,龙岩市新罗区和平路25号,,具体收费情况以现场公示为主,0
198,广福寺,0%,0,0,0%,,--,福建省龙岩市连城县S204,,具体收费情况以现场公示为主,0
199,张白土卧龙山恩凌古寺,0%,0,0,0%,,--,卧龙山恩凌寺附近,,具体收费情况以现场公示为主,0
200,石壁庵,0%,0,0,0%,,--,606省道附近,,具体收费情况以现场公示为主,0
201,菁城基督教堂,0%,0,0,0%,,--,208省道附近,,具体收费情况以现场公示为主,0
202,绵洋寺观音阁,0%,0,0,0%,,--,枫停路40号,,具体收费情况以现场公示为主,0
203,新泉礼拜堂,0%,0,0,0%,,--,龙岩市连城县厦成线中化石油连城县新长加油站东侧约230米,,具体收费情况以现场公示为主,0
204,吴公庵,0%,0,0,0%,,--,福建省龙岩市新罗区莲花山公园吴公庵,,具体收费情况以现场公示为主,0
205,易氏宗祠,0%,0,0,0%,,--,南山小学附近,,具体收费情况以现场公示为主,0
206,紫金公园,0%,0,3,0%,,4.5,临江镇工业园区对面,,,0
