,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
19,苏峰山,5,1,62,0%,,3.8,漳州市漳浦县六鳌半岛,11月-次年4月9:30-18:00；5月-10月9:00-19:30。,99元,
20,六鳌翡翠湾,7,2,45,0%,,4.5,漳州市龙海市东园镇埭尾村埭美自然村,全年 全天开放,具体收费情况以现场公示为主,
21,埭美村,8,23,791,32%,,4.5,漳州市南靖县梅林镇璞山村,全年 8:00-18:00,包含于云水谣景区内，通用云水谣景区门票。,278
22,和贵楼,0%,0,87,0%,,3.5,漳州市漳浦县火山岛旅游休闲度假区内,包含于火山岛旅游休闲度假区内，景区开放时间5月1日-10月31日8:15-18:00，11月1日-次年4月30日8:15-17:30，景点开放时间详见景区当日现场公示。,该景点不单独售票，需购买与其他景点的联票：包含火山岛旅游休闲度假区、纪念碑谷、彩虹山的210元套票；详情以景区当日具体公示信息为准。,198
23,火山岛地学博物馆,9,0,0,0%,水云涧位于山重村的后园，这里有幽长的溪道、百年老榕、老樟，还有那灵山碧水，无不给人以超然的感觉。,--,福建省漳州市长泰县马洋溪生态旅游区山重村后园45号,全天,,
24,水云涧,9,16,147,19%,,4.5,漳州市南靖县书洋镇下版村上节106,全年 全天开放,田螺坑门票含田螺坑、裕昌楼、塔下村三个景点实行套票制90元。,426
25,裕昌楼,4,7,648,3%,,4.4,漳州市东山岛东北部铜陵镇,7:00-18:00；木栈道18:30关闭。,60元,41.8
26,东山风动石景区,15,2,17,1%,,4.3,书洋镇石桥村,全天,南靖属亚热带气候，冬无严寒，夏无酷暑，四季都可以游玩。夏季注意台风天气。,
27,顺裕楼,7,2,57,0%,,4.3,漳州市漳浦市六鳌半岛东海岸，六鳌镇新厝村,7:30-18:00,88元,65
28,龙美湾（抽象画廊）,2,25,984,39%,,4.5,漳州市南靖县书洋镇,9:00-22:00,90元,278
29,怀远楼,0%,0,4,0%,,4.6,书洋上坂村田寮坑,,,
30,福建土楼(南靖)景区,0%,0,1,0%,,4.3,福建省长泰县东南部 363900,全年 9:00-18:00,具体收费情况以现场公示为主,
31,福建天柱山国家森林公园,3,0,1,0%,灵通山，是闽南名山，也是闽南地区佛教禅宗文化的圣地。它与“闽南第一高峰”大芹山遥相对峙。距离县城41公里，是国家级风景名胜区和国家地质公园资格单位，最高海拔1281.4米。,--,漳州市平和县,,,
32,灵通山风景区,1%,0,0,0%,,--,福建省漳州市龙海区G324,,具体收费情况以现场公示为主,
33,七首岩,4,1,62,1%,,4.2,漳州市漳浦县湖西乡硕高山麓,全年 全天开放,10元,
34,赵家堡,7,3,193,0%,探索幽深洞壑，登高眺望漳州城，是周末休闲出行的好地方。,4.6,漳州市龙文区蓝田镇蔡坂村(G324),全年 08:00-18:00,具体收费情况以现场公示为主,6
35,云洞岩,5,3,66,0%,,4.4,漳州市芗城区九龙江南岸的丹霞山山麓,8:30-17:00,具体收费情况以现场公示为主,
36,南山寺,0%,0,5,0%,,4.4,福建省漳州市东山县大沃海港路794号,,具体收费情况以现场公示为主,
37,铜陵镇,0%,0,2,0%,,4.7,漳州市龙文区水仙大街与石仓南路交叉口,,,
38,闽南水乡,0%,0,6,0%,,4.6,漳州市龙海区港尾镇,8:00-20:00,98元,
39,七彩官畲,0%,0,6,0%,,4.0,塔下村村南山坡,,具体收费情况以现场公示为主,
40,浯屿岛,3,0,18,0%,,4.8,漳州市云霄县通贝村115号,全年 全天开放,具体收费情况以现场公示为主,
41,张氏家庙,1,2,22,2%,滨海火山地质遗迹，网红摄影地,4.3,福建省漳州市漳浦县前亭镇江口村与岐沙村交口处,周一至周日 8:00-17:30,"景区门票:60元/人（不含博物馆）<br /></p><p>观光车:20元/人<br /></p><p>无边泳池:30元/人 <br /></p><p>优惠政策 <br /></p><p>1、半价：学生,老人（男60岁以上女55岁以上）,儿童（身高在1.2米至1.4米）<br /></p><p>2、免费：身高低于1.2米儿童享受免票 <br /></p><p>Tips <br /></p><p>1、景区内船票不打折。 <br /></p><p>2、上述优惠政策仅为参考，需到景区自行购买。",198
42,漳州云霄乌山风景名胜区,2,1,116,0%,四季激流漂流，在激流中感受搏击风浪的乐趣。,4.4,漳州市长泰县十里村1号,全年 周六-周日 08:30-15:00;全年 周一-周五 全天不开放,168元,
43,火山岛自然生态风景区,1,1,83,0%,,4.8,漳州市诏安县金星乡湖内村九侯山,全年 07:30-17:30,具体收费情况以现场公示为主,
44,长泰漂流,0%,0,0,0%,,0.0,漳州市东山县康美镇,已景区公告为准,,
45,九侯山,0%,0,1,0%,,3.6,福建省漳州市诏安县红星乡境内的哈溪流域,,,
46,彩蝶湾景区,0%,0,2,0%,,3.4,漳州市平和县大溪镇大松村,全年8:30-18:00,20元,100
47,哈溪漂流,0%,0,0,0%,,--,旧镇漳浦19路,,,
48,灵龙谷生态旅游区,0%,0,0,0%,,--,漳州市长泰区陈巷镇吴田村68号,,具体收费情况以现场公示为主,
49,闽粤第一城,0%,0,0,0%,,--,漳州市漳浦县南浦乡后坑村,,,
50,乌石天后宫,0%,0,0,0%,,--,漳州市诏安县官陂镇S309国道旁,,具体收费情况以现场公示为主,
51,吴田山福田寺,0%,0,0,0%,,--,福建省漳州市龙海区四季花海(角美大道西50米),,具体收费情况以现场公示为主,
52,云峰寨景区,0%,0,0,0%,,--,城关西侧云山离51号,,,
53,凤狮村,0%,0,0,0%,,--,漳州市龙海市双第华侨农场五一村,全年 09:00-17:00,40元,
54,四季花海,0%,0,1,0%,,5.0,新桥街道江滨路厦门路与解放路交叉口,,具体收费情况以现场公示为主,
55,将军山公园,0%,0,3,0%,,4.9,延安南路与芳华横路交叉口北50米,"周二、周四-周日8:30-11:30, 15:30-18:00",,
56,蜗牛村仙人掌王国,0%,0,0,0%,,--,福建省东山县聚福商业街,,具体收费情况以现场公示为主,
57,江滨公园,0%,0,0,0%,,--,福建省龙海市九湖镇,全年 7:30-17:30,具体收费情况以现场公示为主,
58,漳州古城记忆馆,0%,0,7,0%,,4.7,钟法路与江滨路交叉口,全年 全天开放,具体收费情况以现场公示为主,
59,龙美湾旅游区,0%,0,0,0%,,3.5,漳州市漳浦县,全年 全天开放,具体收费情况以现场公示为主,
60,聚福商业街,0%,0,0,0%,,--,福建省漳州市漳浦县X511,,具体收费情况以现场公示为主,
61,漳州凤凰山,0%,0,0,0%,,--,漳州市东山县,,具体收费情况以现场公示为主,
62,彩虹桥,0%,0,0,0%,,--,漳州市东山县东山人民检察院,,具体收费情况以现场公示为主,
63,六鳌镇,2,1,8,0%,,4.5,漳州市云霄县,全年 全天开放,具体收费情况以现场公示为主,
64,漳州市古雷港高山寺,6,1,8,0%,,4.3,漳州市东山县铜陵镇演武社区东北方向,全年 全天开放,具体收费情况以现场公示为主,
65,东南佛国,3,1,32,0%,,4.5,漳州市华安县仙都镇大地村X344,全年 8:00-17:00,具体收费情况以现场公示为主,
66,东山文博中心,16,1,0,0%,国内首座大型离岸式生态人工岛——招商局漳州开发区双鱼岛，招商局集团预计投30亿元人民币造岛，漳州开发区将高起点规划、高标准建设，致力把双鱼岛建成以旅游度假、休闲体育、文化娱乐、商业居住为主的生态型岛屿。,--,龙海市南宾大道东南,全天,免费,
67,内洞村,12,0,0,0%,,--,福建省漳州市芗城区,,,
68,九仙山,8,6,7,0%,六鳌古城位于漳浦县六鳌半岛之端六鳌镇西侧的青山山腰，山兀起于海滩中，背连大陆，面向大海，侧临浮头湾、旧镇港，四周极其空阔。,4.3,漳州六鳌镇,全天,免费,
69,华安土楼,34,1,0,0%,龙凤谷景区位于武夷山国家森林公园西部，龙凤溪贯串穿其中，尔后汇入九曲溪的上游桐木溪。龙凤大峡谷从上到下有丹凤、玉龙等大小瀑布，瀑美林幽、瀑瀑相连、气象万千，各具情态。 可观赏浏览，也可探险攀岩。,--,福建省漳州市长泰县长泰马洋溪旅游区旺亭村旺头社,08:00～18:00开放；,成人票50,
70,海西双鱼岛,5,1,46,0%,观赏“小黄山”的俊秀神奇，乘坐溜索、攀爬岩石，感受悬崖峭壁之上的刺激。,4.3,漳州市长泰县马洋溪旅游区旺亭村旺头社,8:30-17:30,50元,49.8
71,漳州老街,60,1,71,0%,又名“长泰漂流景区”，长泰漂流，又被誉为“福建第一漂”，是继长江、黄河探险性漂流之后，在福建省率先开发出的旅游性项目。,--,福建省漳州市长泰县十里村1号,08:30～10:00：～开放；13:00～15:00：～开放,188元,799
72,六鳌古城,10,0,22,0%,,4.4,漳州市华安县仙都镇大地村,8:00-17:00,具体收费情况以现场公示为主,
73,龙凤谷景区,11,2,8,9%,裕德楼位于福建省漳州南靖县书洋镇塔下村裕德楼，前半楼高四层，每层10个房间，1个楼厅，2部楼梯，跟一般土楼没什么不同，奇怪的是后半楼，有三层楼那么高，却只有一堵半月形的夯墙，上面盖着护墙瓦，什么也没有了，人们形象地把它叫作“围裙楼”。,4.7,福建省漳州南靖县书洋镇塔下村,全天,南靖属亚热带气候，冬无严寒，夏无酷暑，四季都可以游玩。夏季注意台风天气。,
74,小黄山景区,25,2,8,0%,东南花都位于漳州百里花卉走廊黄金地段的漳浦马口，国道324线旁，是历届“海峡两岸（福建·漳州）花卉博览会”举办地，是国家4A旅游景区和全国农业旅游示范点，也是福建漳州国家农业科技园区的核心区，总面积7800亩，投资3.2亿。,4.0,福建省漳州市马口花博园,8：30-17：00,通票80元，现行优惠价全票60元，半票30元,
75,长泰漂流水陆空景区,3,1,13,1%,香火之鼎盛，算得上是全国关庙第一,4.0,福建省漳州市东山县铜陵镇公园街234号东山风动石景区内,周一至周日 7:00-18:00,<strong>公交 </strong><br /></p><p>乘坐龙海15路、龙海6路至【街心公园】站下，步行可至,
76,大地土楼群,3,3,10,5%,德远堂是塔下张氏的家庙，属于省级文物保护单位，又称张氏祠堂，始建于明末清初，坐落在村庄的东南山坡上，座北朝南。庙前的池塘两边威严耸立着二十一根高过10米的石龙旗杆，石龙旗杆全是石雕，上面雕刻着姓名、功名、年代科次、官衔品位及立杆年代…,3.6,福建省漳州市南靖县书洋镇塔下村,8:00-18:00,南靖属亚热带气候，冬无严寒，夏无酷暑，四季都可以游玩。夏季注意台风天气。,
77,裕德楼,12,3,7,3%,在美丽的福建土楼云水谣景区云水谣古栈道，古榕树与小桥流水相伴，悠然自得。,4.8,漳州市南靖县境内,全天,南靖属亚热带气候，冬无严寒，夏无酷暑，四季都可以游玩。夏季注意台风天气。,
78,花博园,26,1,2,0%,"红树林是指生长在泥滩地、潮间带的常绿灌木和小乔木群落的树种，其特点具有呼吸根和支柱根，种子藏在树上的结果中，由果实萌芽成苗（又叫胎生苗），下落于泥涂中发育成新株而组成的群落之总称。
红树林自然保护区位于云霄县东厦镇，漳江口南北两岸…",4.0,云霄县东厦镇,全天,免费,399
79,关帝庙,22,1,50,0%,,4.5,漳州市漳浦县盘陀镇,8:00-17:30,30元,23
80,德远堂,13,1,8,0%,,3.8,漳州市南靖县金山镇（国道319线126KM处）,全年 7:00-18:00,具体收费情况以现场公示为主,
81,云水谣古栈道,7,1,33,0%,,3.9,漳州市南靖县船场镇下山村,7:00-19:00,具体收费情况以现场公示为主,
82,漳州红树林,4,2,57,0%,,4.5,漳州市龙海县九湖乡百花村,全年 全天开放,3元,
83,天福茶博物院,5,1,0,0%,荔海位于龙海市九湖镇，距漳州市区5公里。山上岩石形似凤凰，故名。旁建观荔亭。每年七、八月间，漫山遍野尽是荔海绿浪，一簇簇鲜红荔果点缀其间，呈现出亚热带果园特有的风光。当地农民种植荔枝已有500多年历史，目前种植面积1.5万亩，年总产量最…,--,龙海市九湖镇,全天,3元,
84,鹅仙洞,30,0,0,0%,"位于市郊浦南镇石鼓山，距市区15公里。墓碑题“唐开漳陈将军墓”墓前有石羊、石狮及华表各一对。陈元光（公元657―711年），字廷巨，号龙湖，光州（今河南省潢川）人，为唐朝归德将军陈政之子，博通经史韬略，自著兵书,父亡后，他接替父职，受命任…",--,漳州市浦南镇石鼓山,,,
85,树海瀑布,39,2,0,0%,"是东山最长的海湾，长达10多公里，是国家林业部批准的国家级海滨森林公园。
宁静、天然的乌礁湾，没有世俗的喧嚣，只有恬淡与悠闲，可以嬉水戏浪拾贝，可以极目浩淼的太平洋，可以远眺惟妙惟肖的龙虎狮象四屿，可以进行海水浴、日光浴、泥沙浴、森…",--,福建漳州市东山县,8：00—18：00,10元,
86,百花村,29,1,35,0%,这里有漳州出名的寺院三平寺，据说十分灵验，是众多闽南人每年必去的寺庙。,4.7,漳州市平和县文峰镇三平村三平风景区,全年 08:30-18:00,30元,9
87,凤凰山,40,1,0,0%,长源楼位于南靖县书洋乡石桥村，建于清代雍正元年（1723年）。长源楼是方形土楼，地处九龙江西溪支流岸上，依河岸坡地高低而建。形成青山、绿水、土楼、人家的景园。长源楼临溪的墙是以大河卵石从溪岸垒砌起来的，只建 一层，有十个开间，中央主楼…,--,,,,
88,陈元光墓,15,1,39,0%,,3.8,漳州市长泰县马洋溪生态旅游区山重村境内,具体开放时间请咨询景区,包含于十里蓝山景区内，通用十里蓝山景区门票。,64
89,乌礁湾,0%,0,0,0%,,0.0,漳州市平和县,,,
90,平和县三平风景区,0%,0,0,0%,,5.0,漳州市云霄县,,,
91,长源楼,0%,0,0,0%,,--,漳州市东山县,,,
92,玛琪雅朵花海,0%,0,0,0%,,5.0,漳州市云霄县,,,
93,马堂张氏家庙,0%,0,0,0%,,--,漳州市长泰区林墩工业区美宫村,,,
94,甲溪庵,0%,0,0,0%,,--,漳州市龙文区郭坑镇,,,
95,南屿,0%,0,0,0%,,--,漳州市漳浦县绥安镇金浦大道与文昌路交汇处,,,
96,仙石村,0%,0,0,0%,,--,漳州市云霄县沈海高速天地会发祥地西侧约246米,,具体收费情况以现场公示为主,
97,长泰观音山生态旅游景区,0%,0,0,0%,,--,福建省漳州市平和市207省道,,,
98,东溪农场,0%,0,0,0%,,--,漳州市漳浦县湖西畲族乡顶坛村新城,,具体收费情况以现场公示为主,
99,树滋楼,0%,0,0,0%,,--,漳州市平和县207省道二中新村东北,,具体收费情况以现场公示为主,
100,江滨公园,0%,0,0,0%,,--,铜陵镇公园沃角尾32-1号,,具体收费情况以现场公示为主,
101,溪塘村仙石风景区,0%,0,0,0%,,0.0,漳州市长泰区,,具体收费情况以现场公示为主,
102,鑫鑫温泉城,0%,0,0,0%,,0.0,九湖镇衍后村282号,,具体收费情况以现场公示为主,
103,蓝廷珍提督府,0%,0,0,0%,,--,漳州市平和县大溪镇石寨村学堀32号,,,
104,平和城隍庙,0%,0,0,0%,,--,漳州市诏安县坑河村,,具体收费情况以现场公示为主,
105,华毅游艇俱乐部,0%,0,0,0%,,--,修文东路33号,,具体收费情况以现场公示为主,
106,吴田山,0%,0,0,0%,,--,漳州市芗城区浦南镇松州村,,具体收费情况以现场公示为主,
107,石狮岩,0%,0,0,0%,,0.0,丹霞路112号,,具体收费情况以现场公示为主,
108,朝天寺,0%,0,0,0%,,--,大地村大光45,,具体收费情况以现场公示为主,
109,石岩植物园,0%,0,0,0%,,0.0,胜利东路与元光南路交汇处,,具体收费情况以现场公示为主,
110,金环宝塔,0%,0,0,0%,,--,长泰县武安镇山前,,具体收费情况以现场公示为主,
111,东桥亭庙,0%,0,0,0%,,--,蓝田街道龙文塔正对面,,具体收费情况以现场公示为主,
112,松洲书院,0%,0,0,0%,,--,迎宾大道西100米,,具体收费情况以现场公示为主,
113,文昌宫,0%,0,0,0%,,--,漳州开发区二区,,,
114,南阳楼,0%,0,0,0%,,--,522县道西50米,,具体收费情况以现场公示为主,
115,九龙公园,0%,0,0,0%,,--,绥安镇西湖公园,,具体收费情况以现场公示为主,
116,长泰文庙,0%,0,0,0%,,--,蓝田街道龙文南路鸿浦豪园西南250米,,具体收费情况以现场公示为主,
117,龙文郊野公园,0%,0,0,0%,,0.0,漳州明清古街(北起中山公园、南到修文路),,具体收费情况以现场公示为主,
118,英桥花海,0%,0,0,0%,,--,云平路,,具体收费情况以现场公示为主,
119,麒麟山公园,0%,0,0,0%,,0.0,福建省漳州市长泰区锦溪路8号鹿悦川儿童乐园,全年 08:45-18:00,,
120,南太武黄金海岸,0%,0,0,0%,,--,墩上番仔楼,,具体收费情况以现场公示为主,
121,雨霁顶三官大帝,0%,0,0,0%,,--,漳州市龙海区,,具体收费情况以现场公示为主,
122,西湖公园,0%,0,0,0%,,--,漳州市东山县,,具体收费情况以现场公示为主,
123,湘桥湖公园,0%,0,0,0%,,--,福建省漳州市云霄县龙凤寺(521县道南290米),,具体收费情况以现场公示为主,
124,漳州明清古街,0%,0,0,0%,,0.0,漳州市云霄县g15沈海高速,,具体收费情况以现场公示为主,
125,云霄人民公园,0%,0,0,0%,,--,漳州市东山县东山风动石景区,,具体收费情况以现场公示为主,
126,建发鹿悦川儿童乐园,0%,0,0,0%,,--,福建省漳州市云霄县东厦镇长洋村境内,,具体收费情况以现场公示为主,
127,曾氏番仔楼,0%,0,0,0%,,0.0,漳州市平和县大溪镇新荣村灵通风景区内,全年 全天开放,位于灵通岩景区内，需先购买灵通岩景区门票方可进入,
128,乌鼻头角,0%,0,0,0%,,--,漳州市平和县大溪镇新荣村灵通风景区内,全年 全天开放,位于灵通岩景区内，需先购买灵通岩景区门票方可进入,
129,思美楼,0%,0,0,0%,,--,漳州市平和县天堂寺附近,全年 08:30-17:00,位于灵通岩景区内，需先购买灵通岩景区门票方可进入,
130,古港村,0%,0,0,0%,,--,漳州市平和县大溪镇新荣村灵通风景区内,全年 全天开放,位于灵通岩景区内，需先购买灵通岩景区门票方可进入,
131,龙凤寺,0%,0,0,0%,,0.0,漳州市东山县挑水街,,,
132,魏妈纪念堂,0%,0,0,0%,,--,漳州市诏安县S309,,具体收费情况以现场公示为主,
133,宝智寺,0%,0,0,0%,,0.0,漳州市东山县团结路东山花间聆海客栈东北侧约100米,,,
134,长垅三山国王庙,0%,0,0,0%,,--,福建省漳州市东山县,,具体收费情况以现场公示为主,
135,灵通岩摩崖石刻,0%,0,0,0%,,0.0,福建省漳州市华安县仙都镇招坑村,全年 09:00-17:00,,
136,通天台,0%,0,0,0%,,--,漳州市龙海区九湖镇,,具体收费情况以现场公示为主,
137,福建灵通青云寺,0%,0,0,0%,,0.0,漳州市漳浦县六鳌镇新厝村龙美湾抽象画廊内,全年 08:00-18:00,,
138,擎天峰,0%,0,0,0%,,,,,,
139,贵子石,0%,0,0,0%,,1.0,赤湖镇沿海大通道,,具体收费情况以现场公示为主,
140,水寨大井,0%,0,0,0%,,--,梅林镇官洋村下楼组五峰楼,,具体收费情况以现场公示为主,
141,五通宫,0%,0,0,0%,,--,苏峰山路顶端岩仔村,,具体收费情况以现场公示为主,
142,大有街,0%,0,0,0%,,--,福建省漳州市漳浦县火山岛旁（江口湾）,全年 06:00-18:00,,
143,东山半岛,0%,0,0,0%,,--,漳州市东山县樟塘镇湖尾村,,具体收费情况以现场公示为主,
144,天下秋千第一村,0%,0,0,0%,,--,江滨路,,具体收费情况以现场公示为主,
145,圆山,0%,0,0,0%,,--,县前路诏安电影城南,,具体收费情况以现场公示为主,
146,橘若·风车城堡,0%,0,0,0%,,--,天翔世家3号楼101室,,,
147,蚁巢美术馆,0%,0,0,0%,,--,福建省漳州市南靖县书洋镇塔下土楼群,,具体收费情况以现场公示为主,
148,七星海景区,0%,0,0,0%,,0.0,铜陵镇顶街路南溟书院旁,,具体收费情况以现场公示为主,
149,锦江土楼,0%,0,0,0%,,5.0,白礁村附近,,具体收费情况以现场公示为主,
150,土楼蜜蜂馆(云水谣店),0%,0,0,0%,,--,漳州市南靖县X562北50米,,具体收费情况以现场公示为主,
151,岩雅古村,0%,0,0,0%,,--,545县道附近,,具体收费情况以现场公示为主,
152,火山岛九头鸟飞行营地,0%,0,0,0%,,--,洋西育才幼儿园,,具体收费情况以现场公示为主,
153,湖尾村战地文化园,0%,0,0,0%,,--,中山西路290号,,具体收费情况以现场公示为主,
154,漳州市交通安全文化公园,0%,0,0,0%,,--,西环城路水仙花海西北50米,,具体收费情况以现场公示为主,
155,中山公园,0%,0,0,0%,,5.0,紫崴路7,,具体收费情况以现场公示为主,
156,集友公园,0%,0,0,0%,,--,莆美镇G324（福昆线）,,具体收费情况以现场公示为主,
157,萤火虫梦幻谷,0%,0,0,0%,,--,公园东路1号旁,,具体收费情况以现场公示为主,
158,文公祠,0%,0,0,0%,,--,华安县新圩镇漳华路,,具体收费情况以现场公示为主,
159,中国休闲食品名城龙海博览园,0%,0,0,0%,,--,银河路4号,,具体收费情况以现场公示为主,
160,白礁慈济祖宫,0%,0,0,0%,,--,九二一北路与锦江大道交叉口东北200米,全年 08:00-22:00,具体收费情况以现场公示为主,
161,甘芳大坪楼,0%,0,0,0%,,--,漳州市漳浦县江滨景观路西150米,,具体收费情况以现场公示为主,
162,百里木麻黄,0%,0,0,0%,,--,南滨大道鸿源海景城旁,,具体收费情况以现场公示为主,
163,龙江颂公园,0%,0,0,0%,,--,小溪镇下坂,,具体收费情况以现场公示为主,
164,良峰公园,0%,0,0,0%,,--,锦江东路18号,,具体收费情况以现场公示为主,
165,水仙花文化展示馆,0%,0,0,0%,,--,莆美镇三二四国道线旁的莆美镇,,,
166,港口公园,0%,0,0,0%,,--,小溪镇4路延伸段,,具体收费情况以现场公示为主,
167,南湖公园,0%,0,0,0%,,4.8,始兴北路2号,,具体收费情况以现场公示为主,
168,龙海中山公园,0%,0,0,0%,,5.0,漳州市芗城区修文西路102号,,具体收费情况以现场公示为主,
169,芗城郊野公园,0%,0,0,0%,,5.0,香港路181号之一,,具体收费情况以现场公示为主,
170,古渡文化公园,0%,0,0,0%,,5.0,漳州市华安县石井村赤格75号,,具体收费情况以现场公示为主,
171,平和中山公园,0%,0,0,0%,,--,漳州市平和县坂仔镇宝南村广成北街126号,,具体收费情况以现场公示为主,
172,月港双拥公园,0%,0,1,0%,,4.0,漳州市南靖县璞山村云水谣古镇内,,包含于云水谣景区内，通用云水谣景区门票。,
173,鹿溪公园,0%,0,0,0%,,--,漳州市龙海市南江滨路辅路南湖生态文化园南山水岸内,全天开放,,
174,香山湿地公园,0%,0,0,0%,,,,,,
175,阳明公园,0%,0,0,0%,,--,漳州龙海市港尾镇浯屿岛,,,
176,月港儿童公园,0%,0,0,0%,,--,漳州市-南靖县,,具体收费情况以现场公示为主,
177,莆美水上公园,0%,0,0,0%,,--,漳州市-漳浦县-马口官浔镇南山兜,,,
178,宝善公园,0%,0,0,0%,,--,漳州市-漳浦县-G324(福昆线),,具体收费情况以现场公示为主,
179,紫云山樱花园,0%,0,0,0%,,--,漳州市-漳浦县-G324(福昆线),全年 10:00-22:00,具体收费情况以现场公示为主,
180,中山公园,0%,0,0,0%,,--,漳州市-漳浦县-官浔镇溪坂村,,具体收费情况以现场公示为主,
181,西桥佛祖庙,0%,0,0,0%,,--,漳州市-漳浦县-官浔镇南山兜90号,,具体收费情况以现场公示为主,
182,石牌坊,0%,0,0,0%,,--,漳州市-漳浦县-花都大桥(溪坂小学西侧约100米),全年 10:00-22:00,具体收费情况以现场公示为主,
183,石井千亩梯田,0%,0,0,0%,,--,漳州市-南靖县,,,
184,语堂故居,0%,0,0,0%,,--,漳州市-龙海市,,具体收费情况以现场公示为主,
185,火烧楼,0%,0,0,0%,,--,漳州市-漳浦县,,具体收费情况以现场公示为主,
186,漳州南山书院,0%,0,0,0%,,--,漳州市-漳浦县-深土镇,,具体收费情况以现场公示为主,
187,西院湿地公园,0%,0,0,0%,,--,漳州市-诏安县-桥东镇含英村正南方向171米,,具体收费情况以现场公示为主,
188,天妃宫,0%,0,0,0%,,0.0,漳州市-芗城区-下沙路与厦门路交叉口西50米,,具体收费情况以现场公示为主,
189,红军三平会师纪念馆,0%,0,0,0%,,5.0,漳州市-龙海市-龙欣路,,,
190,瀛洲坪,0%,0,0,0%,,--,漳州市-漳浦县,,具体收费情况以现场公示为主,
191,漳浦县马口盛绿园艺场,0%,0,0,0%,,--,漳州市-漳浦县,,具体收费情况以现场公示为主,
192,漳浦县煌武园艺场,0%,0,0,0%,,--,漳州市-东山县-杏陈市场附近,,具体收费情况以现场公示为主,
193,漳浦县马口梦琳园艺场,0%,0,0,0%,,--,漳州市-龙海市-厦漳高速公路,,具体收费情况以现场公示为主,
194,漳浦县马口绿景园艺场,0%,0,1,0%,,4.5,漳州市龙海区东园镇埭尾村(南溪下游),,,
195,漳浦县马口百佳园艺场,0%,0,0,0%,,--,福建省漳州市龙海市港尾镇瑞成休闲农庄有限公司,,,
196,漳浦县马口森景园艺场,0%,0,2,0%,,5.0,福建省漳州市南靖县书洋镇吕秀莲祖籍地附近,,具体收费情况以现场公示为主,
