,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
20,戴云山,4,2,5,0%,,4.3,泉州市德化县赤水镇戴云村境内,不对外开放。,具体收费情况以现场公示为主,
21,国宝云龙谷,12,0,14,0%,,4.4,泉州市德化县国宝乡,8:30-17:30,20元,43
22,泉州中山街,54,4,80,2%,中山街是骑楼式建筑，于上个世纪初兴旺发达起来，现已经渐渐成长为繁华的商业街。,4.6,泉州市鲤城区中山南路98号,全年 全天开放,免费,
23,牛姆林生态旅游区,21,1,142,0%,寻找野趣与野生猕猴近距离接触。 原始森林景观，空气清新，游客寥寥，游山的好去处。,4.0,泉州市永春县下洋镇牛姆林,8:00-17:30,45元,50
24,清水岩,3,5,157,2%,古色古香的特色建筑，历史悠久的层叠庙宇，烧香祈福的人群络绎不绝。,4.6,泉州市安溪县蓬莱镇蓬溪村清水岩1号,全年 06:30-18:00,具体收费情况以现场公示为主,0.8
25,岵山古镇,4,1,8,0%,,3.6,泉州市永春县X347永春县岵山中心小学东南侧约110米,,具体收费情况以现场公示为主,
26,蟳埔村,3,5,67,5%,这里居住的蟳埔女盘头插花，戴着丁香耳坠，穿着大裾衫、宽脚裤，形成了一道独特的风情。,4.4,泉州市丰泽区东海社区蟳埔村,全年 全天开放,具体收费情况以现场公示为主,
27,东湖公园,16,1,99,8%,,4.7,泉州市丰泽区温陵北路448号（近东湖影院）。,全年 6:00-21:00,具体收费情况以现场公示为主,
28,岱仙瀑布,1,2,121,0%,溪水从山峰的缺口直下139米，站在瀑布下可以看到水雾形成的虹霓霞雾，使你感到山岚袭人。,4.6,泉州市德化县水口镇,全年 8:00-16:30,20元,275
29,泉州石狮·海洋世界,1,1,19,0%,,4.0,泉州石狮市永宁镇黄金海岸度假村,9:00-18:00,80元,110
30,石龙谷森林游乐园,116,1,57,0%,,4.5,泉州市洛江区虹山乡苏山村,9:00-18:00,40元,50
31,中国闽台缘博物馆,15,3,104,8%,展品齐全且贴近民生，看完对于泉州会有一定的认知。,4.5,泉州市丰泽区北清东路212号,9:00-17:00（16:30关闭入场），每周一全天闭馆，除法定节假日外；若遇特殊情况，开放时间将会另行公告。,参观讲解都免费,
32,仙公山,28,1,79,0%,景区内植被茂盛、溪涧纵横，风光宜人，还有众多的人文历史和佛教古迹。,4.5,泉州市洛江区马甲镇,全天开放，缆车开放时间根据天气略有调整。,15元,14
33,小岞美术馆,0%,0,7,0%,,4.3,小岞镇滨海湾西300米,全年 周二-周日 10:00-18:30,,
34,石狮黄金海岸,121,2,42,0%,黄金海岸风光旖旎，四季如春，已成为旅游内涵十分丰富的滨海旅游度假区。,4.6,泉州市石狮市,全天开放,内部项目和景点收费,110
35,天后宫,13,12,204,23%,我国东南沿海现存最早、规模也较大的一座妈祖庙，建筑很有闽南特色。,4.5,泉州市鲤城区天后路1号,全年 07:00-18:00,具体收费情况以现场公示为主,268
36,泉州博物馆,22,3,73,4%,泉州博物馆是一座具有闽南建筑风格的综合性博物馆，是学术研究、文化交流、旅游休闲的理想场所。,4.5,泉州市丰泽区西湖公园北侧,全年 09:00-17:30,免费,
37,石狮世茂摩天城摩天轮,2,0,25,0%,,4.7,泉州市石狮市钞坑片区凤仪街世茂摩天城商场一层1号摩天轮旁,01/01-12/31 13:30-22:30,88元,50
38,泉州海丝野生动物世界,44,1,89,0%,,4.4,泉州市洛江区马甲镇新庵村,全年 08:30-17:00,138元,99.8
39,围头湾,133,1,19,0%,,4.7,泉州市晋江金井镇东南突出部的围头半岛,全年 全天开放,具体收费情况以现场公示为主,
40,泉州伊斯兰教圣墓,32,5,25,7%,,4.2,泉州市丰泽区灵山路,全年 7:00-19:00,15元,
41,真武庙,159,2,19,1%,,4.4,东海街道通港西街,全年 6:00-17:30,具体收费情况以现场公示为主,
42,泉州东西塔,25,2,102,2%,该塔是我国石构建筑瑰宝，它既是泉州海外交通繁荣的象征，也是泉州历史文化名城的标志。,4.8,泉州市鲤城区西街176号开元寺内,全年 8:00-17:30,免费,
43,安溪凤山风景旅游区,2,3,69,0%,独有的“凤山八景”，旅游区集六大旅游功能为一体。,4.7,泉州市安溪县凤山路2号,全年 7:00-20:00,具体收费情况以现场公示为主,
44,九日山,20,4,38,0%,,4.3,泉州市南安市丰州镇省道307线旭山小学北,全年 07:30-17:30,具体收费情况以现场公示为主,
45,太王太妃陵,0%,0,0,0%,,--,泉州市安溪县沙厦高速,,具体收费情况以现场公示为主,
46,山美水库,0%,0,0,0%,,0.0,九都镇山美水库,,具体收费情况以现场公示为主,
47,觅鲤文创园,0%,0,3,0%,,4.6,泉州市鲤城区鲤中街道和平社区镇抚巷37号,全年 全天开放,具体收费情况以现场公示为主,
48,深林寺,0%,0,0,0%,,5.0,泉州市晋江市深沪湾内,,具体收费情况以现场公示为主,
49,东街,76,0,23,0%,整条街的建筑均为老式建筑，拥有吸睛的红色骑楼、巴洛克风格房屋。,4.7,泉州市鲤城区东街,全年 全天开放,,
50,泉州湾古船陈列馆,58,4,64,0%,,4.8,泉州市鲤城区西街27号开元寺内,全年 8:00-17:30,具体收费情况以现场公示为主,
51,泉州府文庙,10,9,157,12%,泉州府文庙始建于唐开元末年，其后几经修缮，现已经是东南地区较大的文庙建筑群。,4.6,泉州市鲤城区中山路,全年 8:00-17:30,具体收费情况以现场公示为主,7
52,西湖公园,35,4,110,5%,公园以其典雅古朴造型、恢宏博大在全国闻名，获多项大奖，成为公园的标志性建筑。,4.6,泉州市丰泽区新华北路,全年 6:00-21:00,具体收费情况以现场公示为主,
53,紫帽山风景名胜区,2,5,67,1%,,4.5,泉州市晋江市紫帽镇后厝街,全年 8:00-17:30,具体收费情况以现场公示为主,
54,东溪大峡谷,1,3,41,1%,,4.3,泉州市永春县呈祥乡,景区暂时停业，具体详情请以景区公示为准，原开放时间7:30-17:00。,具体收费情况以现场公示为主,
55,达摩岩,0%,0,0,0%,,--,泉州市安溪县长坑村,,具体收费情况以景区公示为准,
56,军事公园,0%,0,0,0%,,3.0,泉州市石狮市永宁镇红塔湾旅游公路,,具体收费情况以现场公示为主,
57,晋江梧林传统村落景区,0%,0,1,0%,,4.4,泉州市晋江市东西三路,全天开放,,
58,泉州开元寺,0%,0,2,0%,,4.5,泉州市鲤城区新华北路193号,,,
59,海丝电影小镇,12,0,59,0%,,4.5,泉州市丰泽区通港西街东海泰禾摩天轮文化广场,10:00-22:30,70元,49.9
60,泉州之眼摩天轮,8,0,0,0%,,4.0,九仙山风景区内,全年 8:00-17:00,具体收费情况以现场公示为主,
61,九仙山灵鹫岩寺,7,2,4,0%,,5.0,泉州市永春县东平乡东美村湖洋溪上,全年 全天开放,具体收费情况以现场公示为主,
62,通仙桥,122,1,3,1%,泉州湾跨海大桥位于石狮市，是起止于晋江和惠安的跨海大桥，大桥全长26.699公里，是福建省目前最长的桥梁。,3.5,泉州市石狮市,全天,免费,
63,泉州湾跨海大桥,126,0,20,0%,,3.8,泉州市德化南埕镇203省道附近,8:00-17:30。,100元,
64,桃仙溪景区桃花岛,14,4,39,1%,,4.3,泉州市石狮市石湖村,全年 全天开放,5元,
65,六胜塔,4,0,1,0%,福建泉州安溪茶叶大观园位于位于凤城北侧凤冠山，茶叶大观园占地面积11亩，分为茶树品种观赏园、茶作坊、凤苑三大部分，它融科学性、趣味性为一体，是一本茶文化百科全书。,5.0,泉州市安溪县凤城镇凤城镇凤山路,,,
66,安溪茶叶大观园,42,2,6,2%,永宁老街始建于明洪武年间，是永宁卫的中心，至今仍保持着明清建筑风格的古商铺和老建筑。,4.3,泉州市石狮市永宁镇,全天开放,免费,
67,永宁老街,66,6,64,11%,国内唯一一个以海外交通史为专题的博物馆，可以了解泉州的古代海外交通及海上丝绸之路。,4.4,泉州市丰泽区东湖街425号,周二-周日：9:00-17:00（16:00停止入场）；周一闭馆（国家法定节假日除外），特殊情况另行公告，即日起实行分时段实名预约参观。,免费,1599
68,海外交通史博物馆,2,0,0,0%,魁星岩，古称詹岩，取“文曲华世”、“光昌文运”之意而名，位于永春县城西南五公里之奎峰山麓。魁星是汉族神话中所说的主宰文章兴衰的神，在儒士学子心目中，魁星具有至高无上的地位，为全国仅有的两处供奉魁星的寺庙之一。,--,0595-23821878,,5元,
69,泉州市舶司遗址,1,1,29,0%,,3.6,泉州市惠安县黄塘高速路口北向3公里处聚龙小镇在水一方,周一-周五9:00-17:30，周六、周日8:30-18:00。,35元,29.9
70,魁星岩,0%,0,0,0%,,--,金井镇围头港区,,具体收费情况以现场公示为主,
71,聚龙岛欢乐园,0%,0,0,0%,,4.4,溪禾山铁观音文化园1号,,,
72,围头角滨海生态观光区,0%,0,0,0%,,0.0,城厢镇员宅二环路怡龙大厦西150米,,具体收费情况以现场公示为主,
73,溪禾山铁观音文化园,0%,0,0,0%,,--,福建省泉州市德化县S206,,,
74,茶文化展示馆,0%,0,9,0%,,4.2,西街176号开元寺,,具体收费情况以现场公示为主,
75,上涌公园,0%,0,3,0%,,,,,,
76,开元寺紫云屏,0%,0,9,0%,,4.2,泉州市洛江区虹山乡虹山村,,具体收费情况以现场公示为主,
77,自在仙境,73,0,1,0%,,2.8,泉州市丰泽区清源农场二管区（华侨大学学生街附近2公里）,8:00-18:00,88元,
78,虹山瀑布,10,2,13,0%,,4.4,泉州市惠安县净峰镇东海,全年 8:00-22:00,具体收费情况以现场公示为主,
79,武陵农场,87,0,22,0%,,4.3,泉州市丰泽区大兴街公共文化中心内,全年 10:00-19:00,具体收费情况以现场公示为主,
80,惠女湾,103,1,39,0%,,4.7,安海镇城三公里处,,具体收费情况以现场公示为主,
81,泉州市科技馆 (新馆),106,0,23,0%,,4.4,官桥镇竹口村,,5元,
82,灵源寺,13,5,147,2%,拥有美丽传说的石塔，是古代作为航标的灯塔。,,,,,
83,五塔岩风景区,7,1,32,0%,,4.4,泉州市泉港区涂岭镇樟脚村,全年 全天开放,具体收费情况以现场公示为主,
84,姑嫂塔,158,1,1,0%,,4.5,,,门票40元,
85,樟脚村,17,10,188,11%,国内少见的祭祀关羽和岳飞于一祠的庙宇。香火非常的鼎盛，据说十分灵验。,4.5,泉州市鲤城区涂门街188号(近清净寺),全年 05:30-19:00,具体收费情况以现场公示为主,268
86,云河谷,29,1,77,12%,传统闽南二进式双落建筑，格局壮阔整齐，淋漓尽致展现金门地方民俗。,4.4,金门县金沙镇山后村中堡,全年 8:00-17:00,具体收费情况以现场公示为主,
87,关岳庙,4,1,19,0%,,4.7,福建省泉州市惠安县螺阳镇,全天,具体收费情况以现场公示为主,
88,金门民俗文化村,53,0,0,0%,桫椤谷风景区地处闽南金三角，泉州与厦门交界处的安溪志闽大龙门旅游景区有着得天独厚的交通便利优势和自然环境优势。当您沐浴于环境优美的安溪龙门森林公园之中；便能享受着集休闲、竞技、游玩、挑战、团队拓展为一体的创新旅游活动带来的乐趣；她…,--,福建省泉州市安溪县龙门镇S206旁,9:00-17:00,50元,
89,中国雕艺城,0%,0,0,0%,,0.0,泉州市南安市,,,
90,桫椤谷,0%,0,0,0%,,--,福建省泉州市德化县南埕镇塔兜村桌村8号,全年 10:30-17:00,,
91,后桥水库,0%,0,0,0%,,0.0,德化县水口镇土坂村,5/1-10/31 09:00-17:00,,
92,九方户外全地形越野车体验,0%,0,0,0%,,--,塘东村附近,,具体收费情况以现场公示为主,
93,岱仙溪漂流,0%,0,0,0%,,--,虎邱镇湖西村龙踪山,全年 08:00-18:00,,
94,塘东如意沙堤,0%,0,0,0%,,4.0,泉州市石狮市永宁镇沙堤十二区3号中骏黄金海岸游艇俱乐部码头B幢,01/01-12/31 09:30-21:00,98元,58
95,泉州白石岩,0%,0,0,0%,,4.0,泉州市惠安县崇武镇西沙湾沙滩公园旁,,,
96,橘若,0%,0,0,0%,,--,亿源农家店,,具体收费情况以现场公示为主,
97,解放军庙,0%,0,0,0%,,0.0,福建省泉州市惠安县s201,,,
98,灵水古村落,0%,0,0,0%,,--,安溪县凤城镇大同路141号,上午：8：00-12：00 下午：2：30-17：30（夏时制3：00-18：00）全年免费开放,免费,
99,触角沙滩,0%,0,0,0%,,0.0,瓷都大道283号,,免费,
100,清沙湾,0%,0,1,0%,,3.8,泉州市洛江区河市镇山边村（俞大猷公园旁）,,30元,87
101,安溪县博物馆,0%,0,10,0%,,4.9,泉州市丰泽区成功路泉州郑成功公园,,具体收费情况以现场公示为主,
102,德化金煌陶瓷博物馆,0%,0,0,0%,,--,福建省石狮市金星路22号,,具体收费情况以现场公示为主,
103,乡韵鹿境,0%,0,0,0%,,--,丰泽区东湖街,,具体收费情况以现场公示为主,
104,大坪山,0%,0,7,0%,,3.4,泉州市永春县外山乡境内,全年 08:00-16:30,40元,35
105,金星美食街,0%,0,0,0%,,--,进城大道,,具体收费情况以现场公示为主,
106,泉州东湖动物园,0%,0,3,0%,,4.9,泉州市洛江区鲤城区与惠安县交界处洛阳桥内,,具体收费情况以现场公示为主,
107,云河谷,0%,0,0,0%,,0.0,泉州市南安市井脚街62号,,,
108,德化县龙湖公园,0%,0,1,0%,,5.0,福兴路附近,,具体收费情况以现场公示为主,
109,玻璃教堂,0%,0,0,0%,,,,,,
110,镇风塔,0%,0,64,0%,,4.6,和平中路与金溪路交叉口,全年 09:00-23:00,具体收费情况以现场公示为主,
111,顶溪寺,7,0,0,0%,,5.0,泉州市德化县戴云山自然保护区黛云森林人家民宿东南650米,全年 7:00-17:00,具体收费情况以现场公示为主,
112,罗裳山公园,74,1,36,0%,,4.7,泉州市丰泽区大坪山,全年 6:00-21:00,具体收费情况以现场公示为主,
113,晋江市动物园,9,1,4,0%,,5.0,泉州市德化县三班镇蔡径村,全年 8:00-18:00,具体收费情况以现场公示为主,
114,阳光时代广场,5,0,20,0%,,4.8,泉州市南安市洪梅镇玳瑁山灵应风景旅游区内,全年 7:30-18:00,具体收费情况以现场公示为主,
115,戴云寺,5,1,43,0%,,4.5,泉州市晋江市青阳区五店市传统街区内,全年 全天开放,具体收费情况以现场公示为主,
116,郑成功公园,6,0,21,0%,,4.1,泉州市晋江市世纪大道384号,"全年 周一-周二 全天不开放 ;全年 周三-周日 08:30-11:30,15:00-17:00",需微信公众号预约,
117,洞上陶艺村,8,0,54,0%,,4.4,泉州市石狮市区北环路与二环北路之间,全年 全天开放,具体收费情况以现场公示为主,
118,灵应寺,8,2,7,0%,,4.4,泉州市永春县蓬壶镇观山村,全年 8:00-17:00,具体收费情况以现场公示为主,
119,蔡氏家庙,18,1,14,0%,,4.4,泉州市鲤城区爱国路2号,全年 周日 12:00-17:00;全年 周一-周六 10:00-20:00,具体收费情况以现场公示为主,
120,晋江市科技馆,30,0,53,0%,,4.4,东涂街1号,全年 6:00-22:30,具体收费情况以现场公示为主,
121,龟湖公园,18,1,41,0%,,4.6,泉州市惠安县山霞镇201省道附近,全年 全天开放,内部项目另收费，资费详情可提前电话咨询景区。,
122,百丈岩风景区,101,2,83,0%,天下功夫出少林，来看看传说中的南少林寺。 在观音阁看造型奇特的荷瓶观音。 在演武堂看少林武术表演。,4.4,泉州市丰泽区古道街（清源山余脉东岳山下）,全年 9:00-17:00,具体收费情况以现场公示为主,
123,华侨新村,15,0,52,0%,,4.5,泉州市晋江市华表山麓,全年 08:00-17:00,具体收费情况以现场公示为主,
124,刺桐公园,29,0,11,0%,,4.2,湖头镇中山街,全年 8:00-17:30,具体收费情况以现场公示为主,
125,青山湾,11,1,1,0%,石狮城隍庙位于湖滨街道龙泉巷，距今已有快500年的历史，经过 不断的修葺扩建，成为现在的规模。,0.0,泉州市石狮市湖滨街道龙泉巷,8:00~19:00,免费,
126,泉州少林寺,17,1,38,0%,,4.5,泉州市晋江市金井镇围头村中环北路99号,全天开放,免费,
127,草庵寺,18,1,362,3%,该桥是中古时代世界最长的梁式石桥，也是我国现存最长的海港大石桥，有“天下无桥长此桥”之誉。,4.6,晋江市安海镇兴安路3号,全年 9:00-18:00,免费,
128,李光地故居,157,2,38,1%,,4.1,泉州市鲤城区南门天后宫正对面德济门遗址(近李贽故居),全年 全天开放,免费,
129,石狮城隍庙,50,1,1,0%,位于福建省金门县金城镇的水头村，由于滨海之故，一直饱受盗匪的侵扰，为了捍卫家园，远赴他乡经商有成的华侨们，纷纷斥资构筑拥有防御自卫能力的枪楼。,0.0,泉州市金门县金城镇的水头村,全天,免费,
130,围头村,23,3,40,9%,,4.3,泉州市鲤城区南门万寿路123号,全年 8:00-17:30,具体收费情况以现场公示为主,
131,安平桥,55,1,25,4%,,4.6,状元街,全年 8:00-17:30,具体收费情况以现场公示为主,
132,德济门遗址,17,1,54,0%,,4.6,泉州市丰泽区泉秀街刺桐南路领show天地创艺乐园,全年 全天开放,<strong>公交：</strong><br /></p><p>乘坐202路、210路至【客运中心站】，沿泉秀街向西北步行即可到。,
133,得月楼,52,1,27,5%,,4.1,中山南路北段西畔,全年 8:00-17:00,具体收费情况以现场公示为主,
134,李贽故居,24,2,17,6%,福建泉州东禅少林寺，相传为唐初嵩山少林寺武僧智空入闽所建，址在清源山之东岳山麓，一向为我国南禅及南少林武术之中心，声名远播。,4.1,泉州市丰泽区 北郊清源山,全天,免费,63.4
135,元妙观,34,1,1,1%,"走进文庙广场,扑面而来的是雄浑广阔的气势,让人感受到古文化与现代风格融合的交响，体现文化与生态性的同时，张扬着以人为本的设计理念。",5.0,泉州市鲤城区后城街 ,,免费,
136,领show天地,68,1,1,0%,"安溪紫云山海拔1341米，是安溪境内第二高峰，因清晨紫云缭绕而得名。其所在的芦田镇位于安溪西南部，紫云山气势雄伟、奇峰突兀、怪石嶙峋、
　　风光旖旎。登高远眺，美不胜收，令人心旷神怡。紫云山地表水经检验含多种对人体有益的有机质和矿物质…",4.0,龙岩市新宁县与东安县交界处,8：00--18：00,免费,
137,花桥慈济宫,2,1,22,1%,,4.8,南安,全年 08:00-17:30,具体收费情况以现场公示为主,
138,东禅少林寺,3,2,21,0%,,4.4,泉州市南安市洪梅镇玳瑁山,全年 7:30-18:00,具体收费情况以现场公示为主,100
139,文庙广场,43,1,10,0%,,4.8,凌霄路,全年 8:00-18:00,具体收费情况以现场公示为主,
140,紫云山自然保护区,46,1,38,0%,,4.6,泉州市晋江市海八中路242号,星期一至五：9：00-17：00 星期六：9：00-13:00,具体收费情况以现场公示为主,
141,郑成功陵墓,69,1,11,0%,千年古刹广化寺座落在市区凤凰山麓。凤凰山亦称南山、南湖。这里松柏苍翠，山泉鸣涧，清幽宁静。人行其间，绿蔓牵衣，别有一番禅意。相传千年之前，滔滔东海之水，直涌至南山脚下，行云流霞与青翠松柏交相辉映，构成了一幅无比生动的画卷。故有“南…,3.5,福建泉州市凤凰山麓,,3元,
142,灵应风景旅游区,70,0,0,0%,绝对是您从未有过的特殊体验。,--,福建省泉州市安溪县安溪龙门森林公园桫椤谷,8:00-17:30,158元,
143,宿燕寺,0%,0,0,0%,,--,泉州市晋江市罗裳村大道,,,
144,龙山寺,0%,0,0,0%,,0.0,泉州市鲤城区模范巷86号,,,
145,广化寺,0%,0,0,0%,,--,崇武镇台湾街大岞村金山仔,,,
146,桫椤谷激情漂流,0%,0,0,0%,,--,泉州市德化县美湖镇小湖村委会旁边,,,
147,罗裳村,0%,0,0,0%,,0.0,福建省泉州市南安市海一路1号中骏世界城M301、M358,,,
148,小山丛竹书院,0%,0,0,0%,,--,泉州市南安市,,,
149,动漫水上乐园,0%,0,0,0%,,5.0,泉州市丰泽区北山路镜山文创园内,,具体收费情况以现场公示为主,
150,听海,0%,0,0,0%,,--,泉州市南安市X337林口旁,,具体收费情况以现场公示为主,
151,千年樟树王,0%,0,0,0%,,--,泉州市安溪县蓬莱镇鸿福村蔡洋水库,,具体收费情况以现场公示为主,
152,铭迪冰雪乐园（水头店）,0%,0,0,0%,,--,丰海路与东滨大道交汇处东海泰禾广场,,具体收费情况以现场公示为主,
153,莲花峰石亭寺,0%,0,0,0%,,0.0,东海街道江滨北路,,,
154,镜山文创园·防空洞1977,0%,0,0,0%,,--,泉州市晋江市泉州环城高速,,具体收费情况以现场公示为主,
155,良山樱花观赏园,0%,0,0,0%,,5.0,福建省泉州市台商投资区东园镇凤浦村南北大道915-3号,,,
156,安溪石镜山风景区,0%,0,0,0%,,0.0,泉州市安溪县上西村九峰岩,,具体收费情况以现场公示为主,
157,水秀广场(东海泰禾广场),0%,0,0,0%,,5.0,泉州市南安市蓬华镇华美村水尾,,具体收费情况以现场公示为主,
158,北滨江公园浦西园,0%,0,0,0%,,--,泉州市泉港区前黄村西南面,,具体收费情况以现场公示为主,
159,盐田温泉,0%,0,0,0%,,--,泉州市安溪县蓬莱镇,,具体收费情况以现场公示为主,
160,慧莲寺,0%,0,0,0%,,--,府西路与滨海街交叉路口东北侧,,具体收费情况以现场公示为主,
161,水岸花田景区,0%,0,0,0%,,4.0,福建省泉州市晋江市安海镇土垵村吉隆路1号,,,
162,九峰岩四面佛,0%,0,0,0%,,0.0,模范巷33号,,具体收费情况以现场公示为主,
163,南安千华寺,0%,0,0,0%,,--,丰泽街63号,,具体收费情况以现场公示为主,
164,黄素石楼,0%,0,0,0%,,--,永宁城隍庙,,具体收费情况以现场公示为主,
165,安溪县九峰岩寺,0%,0,0,0%,,0.0,东岳前街泉州少林寺南50米,,,
166,泉州市科技与规划馆,0%,0,0,0%,,0.0,濠沟墘15号1附近,,,
167,安海吉隆园,0%,0,0,0%,,4.0,泉州市晋江市顶塘南路227号,,具体收费情况以现场公示为主,
168,白耇古庙,0%,0,0,0%,,,,,,
169,仁风街土地公宫,0%,0,0,0%,,--,泉州市鲤城区台魁巷7-1号,,具体收费情况以现场公示为主,
170,片仔癀博物馆,0%,0,0,0%,,5.0,泉州市鲤城区池峰路554号,,,
171,永宁城隍庙,0%,0,0,0%,,--,泉州泉港区樟脚村樟脚78号,,,
172,东岳行宫,0%,0,0,0%,,--,鸿海路220号,,具体收费情况以现场公示为主,
173,真济宫,0%,0,0,0%,,--,星光路14号,,具体收费情况以现场公示为主,
174,灵源山风景区,0%,0,0,0%,,--,甲第巷95号,,具体收费情况以现场公示为主,
175,石狮绵羊农场,0%,0,0,0%,,--,大深路,,具体收费情况以现场公示为主,
176,金国粘氏古民居,0%,0,0,0%,,--,中山北街210号附近,,具体收费情况以现场公示为主,
177,金银岛欢乐世界,0%,0,0,0%,,--,天后路30号,,,
178,金樟谷森林公园,0%,0,0,0%,,--,坝头路与通港路交叉路口往东北约190米,,具体收费情况以现场公示为主,
179,南天禅寺,0%,0,0,0%,,--,崇武古城风景区试酒井,,具体收费情况以现场公示为主,
180,水心禅寺,0%,0,0,0%,,--,泉州市惠安县辋川镇峰崎村,,具体收费情况以现场公示为主,
181,南山寺,0%,0,0,0%,,0.0,泉州市丰泽区城东街道浔美社区,,,
182,甲第宫,0%,0,0,0%,,--,月亮湾,,具体收费情况以现场公示为主,
183,深沪湾森林公园,0%,0,0,0%,,--,苏内村草庵寺华表山路北东南门,,具体收费情况以现场公示为主,
184,惠安孔庙,0%,0,0,0%,,--,福建省泉州市惠安县G1502(泉州环城高速),,具体收费情况以现场公示为主,
185,泉郡天王宫,0%,0,0,0%,,--,泉州市鲤城区大城隍口1号,,具体收费情况以现场公示为主,
186,玉笏朝天,0%,0,0,0%,,--,泉州市鲤城区古榕巷60号院内,,,
187,惠安海潮庵,0%,0,0,0%,,--,泉州市德化县,,具体收费情况以现场公示为主,
188,峰崎华侨建筑群,0%,0,0,0%,,0.0,象峰巷65号附近,,,
189,林銮渡,0%,0,0,0%,,0.0,洛阳街468号,,具体收费情况以现场公示为主,
190,青莲寺,0%,0,0,0%,,3.0,永宁黄金海岸,,具体收费情况以现场公示为主,
191,月亮湾,0%,0,0,0%,,5.0,桃城镇花石公园西面,,,
192,大华严寺,0%,0,0,0%,,0.0,泉州市安溪县,,具体收费情况以现场公示为主,
193,花田小镇,0%,0,0,0%,,5.0,泉州市石狮市聚仁路5号附近,,,
194,泉州府城隍庙,0%,0,0,0%,,--,福建省泉州市南安市溪东村前房,,具体收费情况以现场公示为主,
195,泉州南外宗正司遗址陈列馆,0%,0,0,0%,,4.0,泉州市石狮市石湖村,,,
