,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,中文名,英文名
10,厦门双子塔Xiamen Twin Towers,15,86.0,厦门新地标，登上55层观光厅，眺望鼓浪屿，俯瞰鹭岛风情。,8.0,118.0951599497,24.4419278574,103,0.0,https://img1.qunarzz.com/travel/poi/1701/77/632416c107d0f337.jpg_r_480x360x95_db1a9a3b.jpg,厦门双子塔,XiamenTwinTowers
11,钟鼓索道Zhonggu Cableway,32,92.0,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。,42.0,118.100307,24.459431,540,0.04,https://img1.qunarzz.com/travel/d3/1704/70/8d7ec930cf2f5cb5.jpg_r_480x360x95_74912510.jpg,钟鼓索道,ZhongguCableway
12,集美大学Jimei University,27,94.0,,32.0,118.101029,24.58848,154,0.0,https://img1.qunarzz.com/travel/d8/1601/a1/c98d26f4293d58f7.jpg_r_480x360x95_b8f20356.jpg,集美大学,JimeiUniversity
13,日光岩Sunlight Rock,184,90.0,鼓浪屿的最佳观景点，从上而下俯视鼓浪屿全岛及厦门市区景象。,3.0,118.073971,24.448605,3951,0.55,https://img1.qunarzz.com/travel/d5/201404/22/e5121055bcc29047ddb12cfb.jpg_r_480x360x95_1a7c1604.jpg,日光岩,SunlightRock
14,集美学村Jimeixue Village,129,90.0,风格中西合璧的大学城，可以在校园里感受浓重的学术氛围。,16.0,118.099097,24.572556,934,0.16,https://img1.qunarzz.com/travel/d5/1509/bf/e2ca9996457fec.jpg_r_480x360x95_9a26c0db.jpg,集美学村,JimeixueVillage
15,南华路文化吧一条街Nanhualu Wenhua Ba Yi Tiao Street,11,88.0,,28.0,118.099124,24.447236,70,0.0,https://img1.qunarzz.com/travel/d9/1708/bc/402e32d5fcc68b5.jpg_r_480x360x95_08651db9.jpg,南华路文化吧一条街,NanhualuWenhuaBaYiTiaoStreet
16,港仔后海滨浴场Gangzai Beach,7,88.0,,46.0,118.074523,24.44599,214,0.01,https://img1.qunarzz.com/travel/d8/1607/e5/7161cb7f4ac8159a.jpg_r_480x360x95_f2afecdb.jpg,港仔后海滨浴场,GangzaiBeach
17,海湾公园Bay Park,37,90.0,可在公园内远眺大海，吹海风，附近的酒吧街更是泡吧族们的最爱。,36.0,118.0827129933,24.4794001296,303,0.02,https://img1.qunarzz.com/travel/d4/1605/10/c7873c803bdd6bf7.jpg_r_480x360x95_fd1708ec.jpg,海湾公园,BayPark
18,沙坡尾艺术西区Shapowei Art Zone West District,32,88.0,,3.0,118.093722,24.443942,92,0.0,https://img1.qunarzz.com/travel/d5/1707/42/34b105d03500b2b5.jpg_r_480x360x95_45649dc8.jpg,沙坡尾艺术西区,ShapoweiArtZoneWestDistrict
19,厦门海底世界Xiamen Underwater World,22,82.0,有迄今为止中国发现最大的抹香鲸骨架。,2.0,118.077712,24.452178,1004,0.18,https://img1.qunarzz.com/travel/d8/1704/89/61b1b387f03d73b5.jpg_r_480x360x95_d88540e9.jpg,厦门海底世界,XiamenUnderwaterWorld
20,天竺山森林公园Tianzhu Mountain Forest Park,2,82.0,来“厦门后花园”亲近自然，感受绿意盎然的山林风光，欣赏澄澈镜面的湖水倒影。,137.0,117.933101,24.596271,126,0.0,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20209/1310ee5c01cda8fcdb6afeb42355c658.jpg_r_480x360x95_a7ef25f0.jpg,天竺山森林公园,TianzhuMountainForestPark
21,菽庄花园Xinzhuang Garden,137,90.0,看闽南风格融合西洋色彩的园林景观。这里也有很好的观海点。,7.0,118.076176,24.445221,2261,0.48,https://img1.qunarzz.com/travel/d7/1701/a6/e5e50b2ea36af8b5.jpg_r_480x360x95_6cd42fc3.jpg,菽庄花园,XinzhuangGarden
22,珍珠湾Pearl Bay,57,92.0,沙细水清，还有轻风拂面，来到海边千万不要错过这个沙滩浴场。,86.0,118.118407,24.434435,233,0.0,https://img1.qunarzz.com/travel/poi/1706/a8/c18ebca4694d5c37.jpg_r_480x360x95_1857b49a.jpg,珍珠湾,PearlBay
23,猫咪博物馆Cat Museum,97,84.0,,13.0,118.097946,24.446405,170,0.0,https://img1.qunarzz.com/travel/d7/1807/de/8c5baca0493f48b5.jpg_r_480x360x95_90e423d3.jpg,猫咪博物馆,CatMuseum
24,黄厝沙滩Huangcuo Beach,27,90.0,,39.0,118.170182,24.449303,53,0.0,https://img1.qunarzz.com/travel/d5/1708/ac/911b21fd19492b5.jpg_r_480x360x95_935c67e8.jpg,黄厝沙滩,HuangcuoBeach
25,厦门科技馆Xiamen Science and Technology Museum,36,92.0,可以带孩子来这里感受新科技带来的乐趣，开拓孩子们的视野。,14.0,118.114726,24.496719,758,0.0,https://img1.qunarzz.com/travel/d5/1706/f9/766ea422fb4eddb5.jpg_r_480x360x95_c20ad048.jpg,厦门科技馆,XiamenScienceandTechnologyMuseum
26,大德记浴场Dadeji Bathing,5,86.0,,3.0,118.081550192,24.4464626312,26,0.0,https://img1.qunarzz.com/travel/d8/1702/be/937eb29c8e6f46b5.jpg_r_480x360x95_c0839096.jpg,大德记浴场,DadejiBathing
27,海角八号,2,80.0,,19.0,118.074075,24.451883,10,0.02,https://img1.qunarzz.com/travel/d2/1508/46/829b443c80aea3.jpg_r_480x360x95_9f5c6d7f.jpg,海角八号,
28,云顶山Yunding Mountain,2,90.0,,127.0,118.1620147226,24.8985689251,10,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d63c1bc71aba6a126b19e5ea5a774dc0.jpg_r_480x360x95_284e74ab.jpg,云顶山,YundingMountain
29,蔡尖尾山公园Caijianwei Mountain Park,0,90.0,,204.0,118.0355784944,24.5042730121,8,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/f45eb7595b071c211076d436a075056a.jpg_r_480x360x95_ff63146a.jpg,蔡尖尾山公园,CaijianweiMountainPark
30,风琴博物馆Organ Museum,57,88.0,在音乐之岛鼓浪屿逛风琴博物馆，看各种复古的风琴。,14.0,118.075014,24.453414,724,0.14,https://img1.qunarzz.com/travel/d0/1706/2f/396ff9cabcee5db5.jpg_r_480x360x95_7b4a224c.jpg,风琴博物馆,OrganMuseum
31,金銮湾,6,94.0,从福建 漳州市铜陵镇沿西铜公路西行2公里处，有一条宽阔、笔直的水泥大道，把你引向海滨，这就是闻名遐迩的马銮湾海滨浴场。,565.0,117.49395,23.711138,11,0.0,https://img1.qunarzz.com/travel/d5/1604/81/8038051e3b7d2f7.jpg_r_480x360x95_04b6fd8b.jpg,金銮湾,
32,白鹭洲公园Bailuzhou Park,56,90.0,草坪修建得很漂亮，有个很大的湖，环境很好的免费公园！,34.0,118.099812,24.480246,501,0.15,https://img1.qunarzz.com/travel/d7/1702/1b/eb1a95c0e833fb5.jpg_r_480x360x95_ae71778f.jpg,白鹭洲公园,BailuzhouPark
33,皓月园Haoyue Garden,83,90.0,看郑成功巨型石像，纪念人民英雄。,18.0,118.082034,24.448247,1094,0.35,https://img1.qunarzz.com/travel/d3/1611/b3/7def5f41474073b5.jpg_r_480x360x95_46eee7c7.jpg,皓月园,HaoyueGarden
34,北辰山Beichen Mountain,1,88.0,可以看十二龙潭瀑布，形态各异，水潭清澈见底。,220.0,118.257953,24.807123,94,0.0,https://img1.qunarzz.com/piao/fusion/1912/a7/3ca97bab4868cc02.jpg_r_480x360x95_1aeb0b0f.jpg,北辰山,BeichenMountain
35,梧村影剧院,0,0.0,,,118.1321946461,24.4766191715,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,梧村影剧院,
36,观音山Mount Guanyin,32,90.0,,26.0,118.204636,24.501242,47,0.01,https://img1.qunarzz.com/piao/fusion/1501/2d/aacadda9ddf079.jpg_r_480x360x95_c5a5c466.jpg,观音山,MountGuanyin
37,厦门园林博览苑Xiamen Horticultural Expo Garden,11,90.0,园林大观园，一次性参观多种园林风格，空气清新很适合漫步。,41.0,118.0795386296,24.5791044969,391,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/103bbeb7df211812c0078e433ce847fb.jpg_r_480x360x95_e3a6d48e.jpg,厦门园林博览苑,XiamenHorticulturalExpoGarden
38,胡里山炮台Hulishan Fort,245,92.0,这里有着大大小小的炮台，带你走近并了解那段历史。,11.0,118.112945,24.435578,2622,0.44,https://img1.qunarzz.com/travel/d4/1606/fe/7cdbdb6de7d5f79a.jpg_r_480x360x95_00af2ca5.jpg,胡里山炮台,HulishanFort
39,上李水库公园Shanglishuiku Park,0,90.0,,,118.13068,24.4534,9,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/6d93e1f754568ccc5545a5d255448673.jpg_r_480x360x95_a4927fe2.jpg,上李水库公园,ShanglishuikuPark
40,彩虹沙滩Rainbow Beach,0,98.0,,397.0,118.1547185912,24.6309768021,2,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1a371b3fc13550bbfa3ecf64df1ad337.jpg_r_480x360x95_770da5d4.jpg,彩虹沙滩,RainbowBeach
41,一国两制沙滩One Country Two Systems Sand Beach,3,96.0,,128.0,118.1791202732,24.4564039814,9,0.0,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/36f6d5f3-eb63-4ba0-88b6-9f559d83e957.jpg_480x360_2fef3956.jpg_480x360_75568ddd.jpg,一国两制沙滩,OneCountryTwoSystemsSandBeach
42,八怪谷,0,0.0,,,118.1678499793,24.8655839971,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,八怪谷,
43,最美转角Most Beautiful Corner,0,88.0,,,118.07475,24.455736,14,0.0,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/adf29b64-44e2-460d-af89-502ad026fa85.jpg_480x360_4ee07723.jpg_480x360_b5aa2160.jpg,最美转角,MostBeautifulCorner
44,大屏山郊野公园Dapingshan Jiaoye Park,0,94.0,,,118.063367,24.502966,34,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/7bf87d9d926ed94d33208b9825e7c962.jpg_r_480x360x95_286b6d02.jpg,大屏山郊野公园,DapingshanJiaoyePark
45,顶村村,1,0.0,顶村村位于厦门市西北部山区，西北与泉州市的南安市、安溪县接壤，是同安区汀溪镇的“后花园”，水资源丰沛。,243.0,118.0970019496,24.8570077212,1,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/f00a0c3e04589c9c791969af9fea9260.jpg_r_480x360x95_4bd74021.jpg,顶村村,
46,曾山,7,80.0,厦门岛内多山。在厦门岛南端，白石炮台遗址以北，有座曾山。曾山南部隔海与金门的大担岛、二担岛相望。,563.0,118.137553,24.438973,3,0.0,https://img1.qunarzz.com/travel/d8/1702/4d/5bb91cad56a5c9b5.jpg_r_480x360x95_b6908f2a.jpg,曾山,
47,顶澳仔猫街Ding'aozai,0,86.0,,,118.098148,24.446382,51,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/27e8005079858a89c130a11537ddf3a2.jpg_r_480x360x95_c4afbf5a.jpg,顶澳仔猫街,Dingaozai
48,顶上生态风景区,1,0.0,顶村村，距厦门岛约40公里，该山村平均海拔400米，有着600多年历史。如诗如画的山水、绿意盎然的植被、善良 淳朴的民风闻名遐迩。,244.0,118.090563,24.850649,2,0.0,https://img1.qunarzz.com/piao/fusion/1804/88/448df0e2b1bdbd02.jpg_r_480x360x95_888b49d5.jpg,顶上生态风景区,
49,鼓浪屿名人蜡像馆Gulangyu Celebrity Wax Museum,9,86.0,,6.0,118.08161,24.450796,424,0.02,https://img1.qunarzz.com/travel/poi/201406/06/aa3df01fddee63cdddb12cfb.jpg_r_480x360x95_78b910a8.jpg,鼓浪屿名人蜡像馆,GulangyuCelebrityWaxMuseum
50,厦门市鼓浪屿风景名胜区-天主教堂Xiamenshi Gulangyu Fengjing Mingshengqu-Tianzhu Church,0,94.0,,,118.079202317,24.4500984161,1,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5755179cbbe561adb604fb98693b8b76.jpg_r_480x360x95_b7fd19b7.jpg,厦门市鼓浪屿风景名胜区天主教堂,XiamenshiGulangyuFengjingMingshengquTianzhuChurch
51,古龙产品体验中心Gulong Chanpin Tiyan Center,0,0.0,,,118.148,24.6517,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,古龙产品体验中心,GulongChanpinTiyanCenter
52,造水村Zaoshuicun,0,86.0,,448.0,118.192196,24.841985,7,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/c1fb628b4da5b758ddfc9bfef00efb4b.jpg_r_480x360x95_2ce79458.jpg,造水村,Zaoshuicun
53,松柏公园Songbai Park,1,90.0,,156.0,118.1302240937,24.497078856,80,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,松柏公园,SongbaiPark
54,厦门老院子景区Xiamen Old Courtyard Scenic Spot,4,84.0,置身渔村古厝，身临其境感受传统文化，观看大型实景演出，寻找闽南民族文化脉络。,33.0,118.081444,24.630215,220,0.0,https://img1.qunarzz.com/piao/fusion/2011/31/631e2ad8a5ebce02.jpg_r_480x360x95_f2fcbf09.jpg,厦门老院子景区,XiamenOldCourtyardScenicSpot
55,观音山沙滩Guanyin Mountain Beach,0,96.0,,,118.206089,24.499412,34,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/19f20cdb8582dfe961504c2a0f9c0271.jpg_r_480x360x95_f8ab2838.jpg,观音山沙滩,GuanyinMountainBeach
56,三一堂Trinity Church,7,84.0,白色的顶，红色的墙，漂亮的教堂。,11.0,118.073498,24.450697,92,0.02,https://img1.qunarzz.com/travel/poi/1410/14/dee91d5ad8f5dbd7ffffffffc8d65eac.jpg_r_480x360x95_c69d8992.jpg,三一堂,TrinityChurch
57,五老峰Wulao Peak,59,90.0,享受游山的乐趣，站在山顶可以鸟瞰厦门大学和鼓浪屿。,55.0,118.104068,24.45244,264,0.11,https://img1.qunarzz.com/travel/d8/1704/ca/8ffc4220c92e2eb5.jpg_r_480x360x95_f6f0bb43.jpg,五老峰,WulaoPeak
58,观海园Guanhai Garden,3,92.0,,51.0,118.0780875199,24.4440979645,74,0.02,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/7fbda3bb-23c1-4c9f-aa73-b23ac9bd3d82.jpg_480x360_0cf823f9.jpg_480x360_8c2af3d0.jpg,观海园,GuanhaiGarden
59,嘉庚公园Jiageng Park,20,90.0,陈嘉庚建筑群的重要组成部分，了解陈嘉庚先生的生平。,82.0,118.111944,24.571767,422,0.02,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1560021766822100715000000xvexo1E9B_D_640_10000.jpg_r_480x360x95_21f9ec30.jpg,嘉庚公园,JiagengPark
60,厦门市博物馆Xiamen City Museum,8,88.0,,48.0,118.115823,24.497075,137,0.01,https://img1.qunarzz.com/travel/poi/1803/c7/b84cff6d62276737.jpg_r_480x360x95_57bd990d.jpg,厦门市博物馆,XiamenCityMuseum
61,厦门青少年天文科技馆Xiamen Youth Astronomy Science & Technology Museum,2,96.0,,74.0,118.0911867013,24.4881820679,502,0.0,https://img1.qunarzz.com/travel/poi/201303/14/866f269607599716ddb12cfb.jpg_r_480x360x95_3ae23cfe.jpg,厦门青少年天文科技馆,XiamenYouthAstronomyScienceTechnologyMuseum
62,内厝澳路,7,100.0,,32.0,118.073205,24.45094,7,0.0,https://img1.qunarzz.com/travel/poi/1411/2b/2b11887226739de4213a9cdb.jpg_r_480x360x95_b9d01c45.jpg,内厝澳路,
63,梵天寺Fantian Buddhist Temple,1,88.0,,314.0,118.164733,24.746361,61,0.0,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/a76b8a33-1cf2-49ad-b0db-d5ff4035efa5.jpg_480x360_1d8505c7.jpg_480x360_7e6badaf.jpg,梵天寺,FantianBuddhistTemple
64,金光湖Jinguang Lake,2,86.0,,96.0,117.973631,24.755763,107,0.0,https://img1.qunarzz.com/travel/d7/1602/54/4e214c41ef0f4ef7.jpg_r_480x360x95_21fb8989.jpg,金光湖,JinguangLake
65,德安古堡,0,78.0,,232.0,118.169896,24.855321,36,0.0,https://img1.qunarzz.com/travel/poi/1408/26/8d5284c02d024093ffffffffc8d65eac.jpg_r_480x360x95_22cc2292.jpg,德安古堡,
66,水秀广场,0,0.0,,,118.0873162494,24.6033762222,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,水秀广场,
67,云顶岩寺Yunding Cliff Temple,0,0.0,,,118.155125,24.469441,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,云顶岩寺,YundingCliffTemple
68,UncommonPlace不凡之地艺术空间UncommonPlace Art Space,0,60.0,,,118.3238962464,24.6047855114,0,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3b37a6d1efd0fcb8806963354bbaa53b.jpg_r_480x360x95_6c854e23.jpg,不凡之地艺术空间,UncommonPlaceUncommonPlaceArtSpace
69,乐玩街Lewan Street,0,100.0,,,118.1326696384,24.4350082209,2,0.0,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/32ff0809-c1f1-4982-a29f-9e7b07ed9260.jpg_480x360_2303f20c.jpg_480x360_1aeed2d0.jpg,乐玩街,LewanStreet
70,集美后田渔村,0,0.0,厦门最干净的海岸之一。,,118.139073,24.608174,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,集美后田渔村,
71,集美区24小时自助图书馆,0,0.0,,,118.113335108,24.5896448686,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,集美区小时自助图书馆,
72,西竺寺Xizhu Temple,0,90.0,,,118.0628317071,24.5677940659,1,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/93609765312197d4fd8c1333d5717d5d.jpg_r_480x360x95_babac5b0.jpg,西竺寺,XizhuTemple
73,饶美宫Raomei Palace,0,86.0,,,118.0586560924,24.5995358093,1,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/09dcc76e95b6a364c1a5a9616d82680a.jpg_r_480x360x95_4164cae9.jpg,饶美宫,RaomeiPalace
74,中岩寺Zhongyan Temple,0,96.0,,375.0,118.1074373168,24.4590349876,3,0.0,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/566ebb2e-2b9b-47f2-9aaf-246d29d99eb6.jpg_480x360_4284649f.jpg_480x360_56ae086d.jpg,中岩寺,ZhongyanTemple
75,厦门大学科技园Xiamen University National University Science Park,0,92.0,,272.0,118.108573,24.442324,8,0.0,https://flight-feed.qunarzz.com/as3/203/image/poi_vishnu/271ed108-2d55-4f53-ab54-04644703b856.jpg_480x360_e48ae63c.jpg_480x360_362ada2f.jpg,厦门大学科技园,XiamenUniversityNationalUniversitySciencePark
76,宝珠屿Baozhu Islet,0,100.0,,267.0,118.077337,24.543351,1,0.0,https://img1.qunarzz.com/travel/poi/1712/d4/61042ae9a3ee9037.jpg_r_480x360x95_e6d7c59d.jpg,宝珠屿,BaozhuIslet
77,曾溪水库Zengxi Reservoir,0,84.0,,459.0,118.301097,24.742818,9,0.0,https://img1.qunarzz.com/travel/poi/1712/f8/ee73b52935944137.jpg_r_480x360x95_57c171cc.jpg,曾溪水库,ZengxiReservoir
78,福州大学厦门工艺美院鼓浪屿校区,0,84.0,,83.0,118.0656994949,24.4514522552,11,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,福州大学厦门工艺美院鼓浪屿校区,
79,厦门音乐广场Xiamen Music Square,18,88.0,,488.0,118.136105,24.429465,165,0.0,https://img1.qunarzz.com/travel/d2/1802/43/02d9696e95a7a0b5.jpg_r_480x360x95_2b0d9a83.jpg,厦门音乐广场,XiamenMusicSquare
80,云上厦门观光厅Clouds Above Xiamen Viewing Platform,4,84.0,,22.0,118.095728,24.441585,231,0.0,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20222/7e0d727122deb2507fb4e16e2eb6ae74.jpg_r_480x360x95_1d4a8e37.jpg,云上厦门观光厅,CloudsAboveXiamenViewingPlatform
81,东坪山公园Dongping Mountain Park,1,86.0,,546.0,118.148952,24.472878,19,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3f356d29be4a8238da06208dba4ddc2c.jpg_r_480x360x95_6aa677e7.jpg,东坪山公园,DongpingMountainPark
82,颠倒博物馆Inverted Photo Gallery,4,90.0,,4.0,118.0895114726,24.460464622,69,0.0,https://img1.qunarzz.com/travel/d4/1710/71/6272ad5b8253ffb5.jpg_r_480x360x95_d5323e7e.jpg,颠倒博物馆,InvertedPhotoGallery
83,大帽山三角梅园Damao Mountain Bougainvillea  Garden,0,80.0,,570.0,118.3228204357,24.7788762218,3,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/028fb695f2ec37ed24b3f2026f55f3e2.jpg_r_480x360x95_164f0c97.jpg,大帽山三角梅园,DamaoMountainBougainvilleaGarden
84,大同路,29,90.0,清新雅致，小资必选。,207.0,118.080221,24.461109,6,0.0,https://img1.qunarzz.com/travel/poi/1509/64/df613198bc6639.jpg_r_480x360x95_65f70263.jpg,大同路,
85,五缘湾湿地公园Wuyuanwan Wetland Park,46,92.0,漫步木栈道，看水鸟在氤氲雾气中起落飞翔，享受城市绿肺的清新空气。,31.0,118.183063,24.524161,301,0.0,https://img1.qunarzz.com/travel/d2/1508/23/afd256d05c9a8c.jpg_r_480x360x95_e1aa098f.jpg,五缘湾湿地公园,WuyuanwanWetlandPark
86,演武大桥Yanwu Bridge,40,92.0,,176.0,118.0995,24.438477,116,0.0,https://img1.qunarzz.com/travel/poi/1410/16/6adcdb4a4a927b18ffffffffc8d65eac.jpg_r_480x360x95_06431f2a.jpg,演武大桥,YanwuBridge
87,海上明珠观光塔Sea Pearl Tourist Tower,2,90.0,,17.0,118.091386,24.488075,90,0.0,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/77f0daa6-7ecc-4132-bf0a-de9a4cacdb45.jpg_480x360_b215d047.jpg_480x360_ab6d17ca.jpg,海上明珠观光塔,SeaPearlTouristTower
88,海天堂构Sea paradise,15,92.0,看中西合并的建筑风格，随意遐想当时人们的生活。,10.0,118.079399,24.44942,442,0.14,https://img1.qunarzz.com/travel/d5/1611/69/df047e52984c80b5.jpg_r_480x360x95_09b3b726.jpg,海天堂构,Seaparadise
89,钢琴博物馆Piano museum,63,88.0,在音乐之岛鼓浪屿逛钢琴博物馆，看各种造型奇特的的古钢琴。,5.0,118.07624,24.444581,827,0.21,https://img1.qunarzz.com/travel/d1/1606/2b/e14ab8d11f92389a.jpg_r_480x360x95_9f0062de.jpg,钢琴博物馆,Pianomuseum
90,东方鱼骨艺术馆Oriental Fish Bone Gallery,1,92.0,,24.0,118.074947,24.452783,93,0.0,https://img1.qunarzz.com/travel/d3/1706/f7/d78c32f05260ddb5.jpg_r_480x360x95_9ed32da1.jpg,东方鱼骨艺术馆,OrientalFishBoneGallery
91,毓园Yu Garden,10,86.0,为纪念林巧稚大夫而建的纪念馆，恬静的园林景观，景色不错。,50.0,118.079654,24.447017,258,0.2,https://img1.qunarzz.com/travel/d4/1512/3d/b075731857534f7.jpg_r_480x360x95_8946754c.jpg,毓园,YuGarden
92,钢琴码头The Piano Dock,20,92.0,,20.0,118.079932,24.452592,114,0.04,https://img1.qunarzz.com/travel/d7/1504/56/3dcfe774343a29.jpg_r_480x360x95_9e191bc5.jpg,钢琴码头,ThePianoDock
93,鳌园Turtle Garden,23,86.0,,43.0,118.113323,24.57178,240,0.04,https://img1.qunarzz.com/travel/d9/1605/c7/b32e1b667c2807f7.jpg_r_480x360x95_747e4003.jpg,鳌园,TurtleGarden
