sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,经纬度
715478,恭王府,43,92.0,曾经和珅的宅邸，也是如今保存完整的王府。,5.0,116.392599,39.943381,3350,0.28,https://img1.qunarzz.com/travel/d8/1507/5f/99a94d683a1acf.jpg_r_480x360x95_456350c8.jpg,[116.392599  39.943381]
710501,中国国家博物馆,26,96.0,超大的博物馆，四羊方尊、司母戊鼎等众多国宝所在地。,7.0,116.408018,39.911449,1531,0.15,https://img1.qunarzz.com/travel/d5/1507/9e/fd875e83dd85b7.jpg_r_480x360x95_7c5256a9.jpg,[116.408018  39.911449]
23342745,人间花海景区,0,84.0,,,117.210108,40.577356,7,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1311ec4a705db929a4e6a9d82bc3f30f.jpg_r_480x360x95_aa05a580.jpg,[117.210108  40.577356]
712812,龙庆峡,4,90.0,京郊夏季休闲避暑的胜地，每年冬季的冰灯展也非常壮观。,2.0,116.009343,40.557851,726,0.0,https://img1.qunarzz.com/travel/d3/1501/2a/9ad22618b18c41.jpg_r_480x360x95_356f49bf.jpg,[116.009343  40.557851]
722949,南锣鼓巷,107,88.0,老北京胡同与小资情调结合，文艺青年的必逛之地。,2.0,116.4095,39.943166,4081,0.4,https://img1.qunarzz.com/travel/d8/1708/1a/06551ff87ed6a5b5.jpg_r_480x360x95_04c4b733.jpg,[116.4095    39.943166]
38135852,珊瑚岛大冒险探险乐园,0,60.0,,,116.2921031109,39.8182409096,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,[116.29210311  39.81824091]
708913,双龙峡,3,90.0,春季千亩杏花盛开，香味扑鼻，如同到了花的海洋。,1.0,115.720747,39.959169,151,0.0,https://img1.qunarzz.com/travel/poi/1803/ef/a6374f235a6e5537.jpg_r_480x360x95_30420ce3.jpg,[115.720747  39.959169]
711400,海坨山,5,94.0,,174.0,115.825543,40.565287,63,0.0,https://img1.qunarzz.com/travel/d5/1607/7d/51d4600462a7cf9a.jpg_r_480x360x95_f11bcbe9.jpg,[115.825543  40.565287]
708106,石林峡,4,90.0,京郊罕见的石林峡谷，可以观看陡峭奇幻的地貌风光。,1.0,117.24851,40.268794,681,0.0,https://img1.qunarzz.com/travel/d3/1610/5f/9740f2c72c0db4b5.jpg_r_480x360x95_da1da931.jpg,[117.24851   40.268794]
712359,爨底下村,9,88.0,参观古色古香的明清老建筑，在古村漫步、睡火炕、吃农家菜。,98.0,115.652612,40.001593,237,0.0,https://img1.qunarzz.com/travel/d1/1510/94/8e12f040ce46d7.jpg_r_480x360x95_c20799b4.jpg,[115.652612  40.001593]
18700109,三里屯,0,92.0,北京时尚潮流生活的地标，想要体验京城夜生活，更是不得不去。,,116.460972,39.940723,442,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/861b8bd23744aa2f29888aaf14a87b90.jpg_r_480x360x95_fe0e5a3c.jpg,[116.460972  39.940723]
714358,北京野生动物园,5,94.0,开放式的动物园，坐在铁笼车里近距离给动物喂食，趣味十足。,45.0,116.340954,39.502139,2832,0.0,https://img1.qunarzz.com/travel/d4/1511/63/7e20c6447b3149f7.jpg_r_480x360x95_8b5fc004.jpg,[116.340954  39.502139]
32733631,白河湾,0,100.0,,,116.696083,40.677656,0,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/99c5da72df7fdb1096d8403581b95023.jpg_r_480x360x95_03fc94da.jpg,[116.696083  40.677656]
706680,雍和宫,30,92.0,乾隆皇帝的出生地，北京知名的藏传佛教寺院，香火极旺。,17.0,116.423776,39.953314,1115,0.17,https://img1.qunarzz.com/travel/d6/1810/a6/d0356c9e182b19b5.jpg_r_480x360x95_98e32a6d.jpg,[116.423776  39.953314]
713871,前门大街,31,90.0,京味十足的商业老街，各类小吃让人大快朵颐！,13.0,116.40452,39.899651,3012,0.29,https://img1.qunarzz.com/travel/d9/1508/f8/5be372f0d9022d.jpg_r_480x360x95_4f6a95a5.jpg,[116.40452   39.899651]
704630,圆明园,62,94.0,古老中国最深的一道伤疤，通过断壁残垣寻找当年帝国的辉煌掠影。,8.0,116.309736,40.016191,5542,0.32,https://img1.qunarzz.com/travel/d7/1702/81/1600930097a2a2b5.jpg_r_480x360x95_d3f25438.jpg,[116.309736  40.016191]
705983,什刹海,57,92.0,历史街区簇拥的优雅湖泊，环境优美，也是北京夜生活的核心地带。,12.0,116.391243,39.948373,3731,0.29,https://img1.qunarzz.com/travel/d1/1505/2b/cb8644b593c8e9.jpg_r_480x360x95_86c6a393.jpg,[116.391243  39.948373]
712028,北京喇叭沟原始森林公园,2,88.0,北京保存最好的原始森林，春天看杜鹃花，秋天赏红叶。,188.0,116.495711,40.965737,320,0.0,https://img1.qunarzz.com/travel/d0/1611/e2/ac139d8ff5c145b5.jpg_r_480x360x95_1bb422e9.jpg,[116.495711  40.965737]
708991,天坛,55,92.0,明清时期皇帝祭天之处，建筑精巧奇特，还可以参观祭天仪式表演。,6.0,116.419289,39.889918,5123,0.36,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/69512414b79d4e51b71ab17b44b86f7d.jpg_r_480x360x95_1e1abfe6.jpg,[116.419289  39.889918]
701671,十渡风景名胜区,8,90.0,戏水漂流×高山峡谷×游乐项目，京郊周末放松休闲的绝佳胜地！,200.0,115.606473,39.644148,946,0.0,https://img1.qunarzz.com/travel/d3/1712/45/c1880f8dd21b30b5.jpg_r_480x360x95_7f126c87.jpg,[115.606473  39.644148]
715653,慕田峪长城,7,96.0,慕田峪是长城里的一枝独秀，其危岭雄关是长城险要气势的代表。,3.0,116.575896,40.440146,4188,0.02,https://img1.qunarzz.com/travel/d7/1510/c2/e3e03e16c20a6f.jpg_r_480x360x95_26e452e8.jpg,[116.575896  40.440146]
9195606,红砖美术馆,5,86.0,一砖一瓦都充满了浓烈的艺术气息，美术爱好者不容错过。,49.0,116.506291,40.048543,144,0.0,https://img1.qunarzz.com/travel/d3/1805/b0/24a22e19a03171b5.jpg_r_480x360x95_afcf54ea.jpg,[116.506291  40.048543]
7475096,乐谷银滩景区,4,90.0,,378.0,115.674467,39.623508,77,0.0,https://img1.qunarzz.com/travel/poi/1409/03/79c0073e81a54c05ffffffffc8d65eac.jpg_r_480x360x95_7a623033.jpg,[115.674467  39.623508]
705462,红螺寺,4,94.0,“南有普陀，北有红螺”自古便是北京地区祈福的胜地。,1.0,116.634124,40.389488,601,0.0,https://img1.qunarzz.com/travel/d4/1506/9e/08287be2653dbd.jpg_r_480x360x95_798cb6c6.jpg,[116.634124  40.389488]
708942,青龙峡风景区,5,90.0,青山绿水、空气清新，还有游船、快艇、蹦极、攀岩等娱乐项目。,121.0,116.688751,40.467603,310,0.0,https://img1.qunarzz.com/travel/d2/1611/1e/92e072bcd3e9efb5.jpg_r_480x360x95_c27fede9.jpg,[116.688751  40.467603]
722360,雁栖湖,8,90.0,清新自然的山水风光中，体验众多水上娱乐项目，周末郊游好去处。,5.0,116.6751771931,40.3985718632,684,0.0,https://img1.qunarzz.com/travel/d4/1510/58/afdd21de4d13c1f7.jpg_r_480x360x95_2338ac30.jpg,[116.67517719  40.39857186]
9475676,乾清宫,4,94.0,紫禁城内廷三大宫的正殿，曾是专属于皇帝的寝宫。,374.0,116.403275,39.926469,95,0.0,https://img1.qunarzz.com/travel/d2/1705/ce/d8dcb68fea46eeb5.jpg_r_480x360x95_eabd2cd4.jpg,[116.403275  39.926469]
715110,清华大学,37,92.0,赏水木清华之美景，品百年名校之韵味。,10.0,116.333374,40.009645,1641,0.27,https://img1.qunarzz.com/travel/d8/201404/21/c316116d5a9bb46dddb12cfb.jpg_r_480x360x95_fa70cbf1.jpg,[116.333374  40.009645]
704620,灵山,7,90.0,,196.0,115.508638,40.045961,109,0.0,https://img1.qunarzz.com/travel/d6/1509/34/e8ad2b20429a2c.jpg_r_480x360x95_33136d48.jpg,[115.508638  40.045961]
23125274,北京世园公园,3,92.0,,,115.957449,40.450315,1068,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/7bb25197ee766bf322b22ae7a0dce50e.jpg_r_480x360x95_f1157ca3.jpg,[115.957449  40.450315]
706260,香山公园,41,92.0,漫山红叶驰名中外，来此感受京城最美秋色。,75.0,116.194051,39.995693,2038,0.04,https://img1.qunarzz.com/travel/d5/1705/49/3d86b19b8bca8b5.jpg_r_480x360x95_3a98c774.jpg,[116.194051  39.995693]
702401,北京自然博物馆,4,92.0,能够看到很多已经灭绝动植物的化石，逼真的恐龙模型，还有免费的4D电影。,28.0,116.406249,39.889596,489,0.02,https://img1.qunarzz.com/travel/d3/1712/7f/863ec68a922af9b5.jpg_r_480x360x95_f27e3dd7.jpg,[116.406249  39.889596]
7475092,永宁古城,3,82.0,,16.0,116.172981,40.529187,61,0.0,https://img1.qunarzz.com/travel/d2/1601/b5/60d7f8d834c36bf7.jpg_r_480x360x95_0f16b8cc.jpg,[116.172981  40.529187]
31974030,中坞公园,0,96.0,,,116.2671649494,39.9869692883,12,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/79032510cb846f8e1c23516c8c110648.jpg_r_480x360x95_33ab1b5d.jpg,[116.26716495  39.98696929]
5852834,帽儿胡同,7,92.0,北京城十大胡同之一，保留着老北京四合院以及昔日贵族的宅邸。,51.0,116.402564,39.943108,161,0.01,https://img1.qunarzz.com/travel/d3/1506/1c/b0406a30237199.jpg_r_480x360x95_d86bc7ce.jpg,[116.402564  39.943108]
701952,圣莲山景区,3,90.0,,865.0,115.737588,39.847532,73,0.0,https://img1.qunarzz.com/travel/d7/1509/30/5b41ef8dcb3000.jpg_r_480x360x95_7c6b0bc0.jpg,[115.737588  39.847532]
712625,神堂峪自然风景区,1,88.0,百余种野生药材和山野菜遍布全区，正是赏花踏青的好地方。,11.0,116.61996,40.445536,112,0.0,https://img1.qunarzz.com/travel/poi/1409/18/edb44402c9076d5cffffffffc8d65eac.jpg_r_480x360x95_e4ba42ae.jpg,[116.61996   40.445536]
709074,潭柘寺,9,92.0,千年古刹、珍稀古木、著名古迹齐聚，是京城附近的拜佛胜地。,157.0,116.03762,39.91122,880,0.0,https://img1.qunarzz.com/travel/d4/1701/de/2d4cd1f0ed4620b5.jpg_r_480x360x95_5da353bd.jpg,[116.03762  39.91122]
709419,野鸭湖国家湿地公园,3,90.0,湿地、芦苇荡景致清新，还可以带小朋友来喂野鸭。,3.0,115.864832839,40.4148653341,440,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/982d8be5de6e5dc22a7bbac8c2ce0835.jpg_r_480x360x95_7a5762fd.jpg,[115.86483284  40.41486533]
714736,中国人民革命军事博物馆,1,94.0,陈列了众多武器装备，还能观看大型主题展览，军事历史迷必去。,26.0,116.33021,39.914968,500,0.02,https://img1.qunarzz.com/travel/poi/1501/c3/8a6307e5d91b14.jpg_r_480x360x95_eb20c5a4.jpg,[116.33021   39.914968]
23344512,楼台村,0,92.0,,,116.6039565162,40.0395122977,6,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/abbe7692cd292f61ea115dfe7aaf15e9.jpeg_r_480x360x95_76f0d075.jpeg,[116.60395652  40.0395123 ]
709698,中国科学技术馆,11,94.0,有适合小朋友的科学乐园，还有全世界最大的球幕影院。,11.0,116.404938,40.012333,809,0.04,https://img1.qunarzz.com/travel/d3/201407/21/147b26d32be72ed6c8d65eac.jpg_r_480x360x95_9d7e6f6f.jpg,[116.404938  40.012333]
715333,箭扣长城,16,90.0,北京郊县一处古朴自然的长城。,125.0,116.541102,40.449137,193,0.0,https://img1.qunarzz.com/travel/d6/1702/64/02828ed8b31ec8b5.jpg_r_480x360x95_c3c045be.jpg,[116.541102  40.449137]
7473931,白河湾湿地公园,0,86.0,,3367.0,116.670544,40.687296,6,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d0e55472f9226b402348ecacd2fff179.jpg_r_480x360x95_e24109f2.jpg,[116.670544  40.687296]
715418,百花山自然保护区,5,90.0,徒步爬山，亲近大自然，登上山顶欣赏野花覆盖的高山草甸。,312.0,115.5805304071,39.8297680923,135,0.0,https://img1.qunarzz.com/travel/d5/1607/ea/886be75b706a5f9a.jpg_r_480x360x95_3d61785e.jpg,[115.58053041  39.82976809]
713524,捧河湾风景区,2,80.0,,17.0,116.820412,40.620371,24,0.0,https://img1.qunarzz.com/travel/poi/1409/03/1406bfbc87dc2010ffffffffc8d65eac.jpg_r_480x360x95_c742cca4.jpg,[116.820412  40.620371]
704546,北海公园,43,94.0,“让我们荡起双桨”中歌唱的地方，白塔树木湖水相依，静谧优美。,19.0,116.395006,39.934167,2993,0.23,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/b1a2cafa56249788ce6e197fc1fa1a06.jpg_r_480x360x95_413bfc61.jpg,[116.395006  39.934167]
709109,毛主席纪念堂,15,92.0,瞻仰开国伟人的遗容，了解第一代革命家的丰功伟绩。,15.0,116.404145,39.908876,396,0.18,https://img1.qunarzz.com/travel/d3/1508/90/f04371cdba078d.jpg_r_480x360x95_ed741e3a.jpg,[116.404145  39.908876]
722952,艺术区,57,90.0,厂房改造的艺术中心，雕塑、画廊、特色店铺等文艺范十足。,9.0,116.501104,39.991061,1279,0.14,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/7edd5c374af8bf4eb4624ee233be194c.jpg_r_480x360x95_a4706713.jpg,[116.501104  39.991061]
9475601,白瀑寺,1,90.0,,35.0,115.927283,40.124144,21,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/5463aabf5358db9c9009c0961b31575e.jpg_r_480x360x95_ffce6670.jpg,[115.927283  40.124144]
38599442,北京门头沟西达摩村,0,0.0,,,115.6401222857,39.9210460564,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,[115.64012229  39.92104606]
708824,北京海洋馆,5,90.0,世界最大的内陆水族馆，有上千种水族动物，亲子游好去处。,1.0,116.347445,39.950257,1142,0.02,https://img1.qunarzz.com/travel/d9/1707/38/70aa3d8dbd58d8b5.jpg_r_480x360x95_4eabe0e9.jpg,[116.347445  39.950257]
18701622,首钢工业遗址公园,0,90.0,,,116.170035,39.915904,114,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0ea4232d67645d633fcdf58145e21817.jpg_r_480x360x95_814ad6a1.jpg,[116.170035  39.915904]
5475392,五道营胡同,15,92.0,北京最新兴的文艺小资聚集地，被称为“下一站南锣”。,29.0,116.416503,39.954776,300,0.02,https://img1.qunarzz.com/travel/d6/1611/eb/17694041a54e21b5.jpg_r_480x360x95_fcae8746.jpg,[116.416503  39.954776]
713994,明十三陵,7,90.0,规模庞大、保存完好的皇家陵园，了解古代帝王陵墓建筑必去。,22.0,116.231846,40.263544,2394,0.14,https://img1.qunarzz.com/travel/d6/1506/ea/ef4d4e1274baf6.jpg_r_480x360x95_b598ca7c.jpg,[116.231846  40.263544]
710997,北京动物园,27,90.0,规模巨大，珍贵动物种类繁多，亲子游玩的必选去处。,18.0,116.342331,39.947726,2563,0.05,https://img1.qunarzz.com/travel/d3/1501/64/20c1e62a6ad762.jpg_r_480x360x95_547f343e.jpg,[116.342331  39.947726]
10006243,国家图书馆,3,94.0,中国最气派的书房，内部空间宏大，各类书籍馆藏丰富。,248.0,116.3298939035,39.9496888733,314,0.0,https://img1.qunarzz.com/piao/fusion/1507/39/3e3621b2b1680d.jpg_r_480x360x95_78903294.jpg,[116.3298939   39.94968887]
722941,烟袋斜街,30,88.0,京味儿十足的一条繁华老街，逛逛钟表铺、毛笔铺、老字号小吃店。,23.0,116.400974,39.945443,695,0.22,https://img1.qunarzz.com/travel/d8/1810/ca/69aefce2a5984cb5.jpg_r_480x360x95_49fb4dcb.jpg,[116.400974  39.945443]
713073,北京后花园白虎涧风景区,1,82.0,,887.0,116.1050741462,40.1335917195,181,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/e6b91b2d94e45b3768a6f8cea7b40095.jpg_r_480x360x95_d6d2e7ed.jpg,[116.10507415  40.13359172]
10011947,王府井,23,88.0,国际化大型商业区，北京逛街购物的老牌胜地。,36.0,116.418038,39.91979,1247,0.0,https://img1.qunarzz.com/travel/d7/1804/37/7c5a7b4198bfc2b5.jpg_r_480x360x95_3d343cec.jpg,[116.418038  39.91979 ]
706725,水立方国家游泳中心,47,90.0,建筑外观独特，夜晚灯光美轮美奂，适合拍摄夜景。,37.0,116.396829,39.999266,2754,0.24,https://img1.qunarzz.com/travel/d7/1605/c7/7f1529bc9d7a84f7.jpg_r_480x360x95_dc375c27.jpg,[116.396829  39.999266]
18717840,玉东园,0,92.0,,,116.2630662497,39.9980204091,23,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/44effeaf6eed3cd9483732f1e24e5abb.jpg_r_480x360x95_ca1f4a61.jpg,[116.26306625  39.99802041]
712837,龙门涧风景区,2,86.0,,521.0,115.567102,40.028529,60,0.0,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/15574827913131557430260782100g0z000000niglf05C2D64010000jpgprocautoorient.jpg_r_480x360x95_087470e8.jpg,[115.567102  40.028529]
707336,百泉山,2,90.0,,12.0,116.668266,40.500437,72,0.0,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20219/1a6b31743d3892149e47c7eb07b8ecee.jpg_r_480x360x95_cff1677f.jpg,[116.668266  40.500437]
705231,司马台长城,13,92.0,我国唯一一段保留明长城原貌的古长城，秋天来在这里，可以看到满山的红叶。,4.0,117.292856,40.663649,852,0.0,https://img1.qunarzz.com/travel/d3/1710/cc/8bb103c9b9967cb5.jpg_r_480x360x95_2c51fd24.jpg,[117.292856  40.663649]
715692,黄花城水长城,4,94.0,拥有全国仅有的“长城戏水”奇观，每到夏季黄花绽放，景色秀美。,6.0,116.307167,40.419287,513,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/b7961c850ad8939d6dcc50d429f745e5.jpg_r_480x360x95_efdae004.jpg,[116.307167  40.419287]
35198162,鬼笑石,0,94.0,,,116.193957,39.985331,7,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,[116.193957  39.985331]
722359,北京市规划展览馆,1,88.0,,533.0,116.407729,39.90623,124,0.0,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559502040655100s14000000xa50oD5E5_D_640_10000.jpg_r_480x360x95_5f899316.jpg,[116.407729  39.90623 ]
707711,京东大峡谷,1,88.0,峡谷内山清水秀空气清新，非常适合放松锻炼，山间滑道也很刺激。,267.0,117.180659,40.251256,189,0.0,https://img1.qunarzz.com/travel/d4/1603/e3/1b74a598f69a4df7.jpg_r_480x360x95_dcf87d01.jpg,[117.180659  40.251256]
7474138,坡峰岭,10,92.0,,3.0,115.84427,39.709779,268,0.0,https://img1.qunarzz.com/travel/d6/1710/87/6fc29d53b6d40cb5.jpg_r_480x360x95_b395b8f2.jpg,[115.84427   39.709779]
36411552,翠鸟谷,0,0.0,,,116.5298174605,40.6432397789,0,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/b7b822ab285f6a778ce5296863fd3fd7.jpg_r_480x360x95_05777dd7.jpg,[116.52981746  40.64323978]
30920820,谷山村,0,0.0,,,116.065568,39.997626,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,[116.065568  39.997626]
9512585,交泰殿,2,92.0,,763.0,116.403322,39.926822,31,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/9a76e396ba66373b725df6c1e0a50898.jpg_r_480x360x95_940e1536.jpg,[116.403322  39.926822]
18718693,罗红摄影艺术馆,0,94.0,,,116.58091,40.048705,41,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4190da3efd5db7174c33b921e99d42da.jpg_r_480x360x95_f5f126bd.jpg,[116.58091   40.048705]
9136494,水峪村,1,84.0,,3264.0,115.835088,39.764802,12,0.0,https://img1.qunarzz.com/piao/fusion/1805/22/bd5619df712cf02.jpg_r_480x360x95_9e63c363.jpg,[115.835088  39.764802]
705344,八达岭野生动物世界,1,84.0,亲子游推荐，园内有上百种动物，自驾游玩还能与动物近距离接触。,1.0,116.001343,40.359586,843,0.0,https://img1.qunarzz.com/travel/d7/1509/d7/560b7ec2d7d40f.jpg_r_480x360x95_2bbed9f1.jpg,[116.001343  40.359586]
704421,灵水村,2,86.0,《爸爸去哪儿》取景地，找一找林志颖和KIMI住过的蜘蛛房。,3.0,115.74066,40.008129,105,0.0,https://img1.qunarzz.com/travel/d1/1703/28/bb9f3d3145f99eb5.jpg_r_480x360x95_30e74831.jpg,[115.74066   40.008129]
7468859,密云人间花海薰衣草庄园,1,82.0,,2.0,117.2101049653,40.5773332579,74,0.0,https://img1.qunarzz.com/travel/d4/1509/4b/3cd18097788aa1.jpg_r_480x360x95_3d0043f2.jpg,[117.21010497  40.57733326]
7467925,北京汽车博物馆,1,94.0,参观众多古老汽车原型，还可以参加模拟赛车、汽车设计等游戏。,30.0,116.308108,39.835043,1146,0.0,https://img1.qunarzz.com/travel/d2/1703/93/d4d557022a6133b5.jpg_r_480x360x95_f060b5ee.jpg,[116.308108  39.835043]
704330,奥林匹克森林公园,27,100.0,,68.0,116.396802,40.025223,750,0.06,https://img1.qunarzz.com/travel/d7/1510/f0/b9836cd8514dc.jpg_r_480x360x95_8071291c.jpg,[116.396802  40.025223]
5855692,张裕爱斐堡国际酒庄,5,90.0,京郊红酒庄，可以体验制作红酒，还可以在欧式风情庄园里拍照留念。,2.0,116.90818,40.382065,530,0.0,https://img1.qunarzz.com/travel/d7/1710/24/cef363cdeea882b5.jpg_r_480x360x95_2ca90178.jpg,[116.90818   40.382065]
9196762,大运河森林公园,4,94.0,在天然大氧吧中呼吸新鲜空气，还可以露营、野餐、骑行、乘船。,29.0,116.748895,39.882386,234,0.0,https://flight-feed.qunarzz.com/as3/271/image/poi_vishnu/027e2dba-2f8c-4f32-a19c-f3014ebb025d.jpg_480x360_6cee9c4f.jpg_480x360_c0a43096.jpg,[116.748895  39.882386]
714987,虎峪,2,74.0,,7.0,116.113417,40.331262,42,0.0,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559244336073100e14000000w7kviEF40_D_640_10000.jpg_r_480x360x95_18617aae.jpg,[116.113417  40.331262]
24400146,后海,0,90.0,,,116.3947762796,39.9481833406,9,0.0,https://flight-feed.qunarzz.com/as3/203/image/poi_vishnu/0e309325-8c8e-43eb-a292-71c3e74b8edb.jpg_480x360_38e47544.jpg_480x360_ab6dd80d.jpg,[116.39477628  39.94818334]
712269,北京大学,42,92.0,中国的知名学府，校园曾经是皇家园林。,25.0,116.3173921614,39.9987895805,1844,0.29,https://img1.qunarzz.com/travel/d2/1502/7c/113ae3a4b6980.jpg_r_480x360x95_d49a6e66.jpg,[116.31739216  39.99878958]
704836,八大处公园,1,94.0,京郊拜佛祈福的胜地，有多处历史悠久的佛教寺院，秋天还能观赏漂亮的红叶和银杏叶。,102.0,116.1892117937,39.9683518444,605,0.0,https://img1.qunarzz.com/travel/poi/201305/09/ad10d300ab6213ccddb12cfb.jpg_r_480x360x95_865ddb2a.jpg,[116.18921179  39.96835184]
703209,中山公园,14,94.0,春天赏郁金香，秋季看银杏，园内还有明清皇帝用来祭祀的社稷坛。,490.0,116.400516,39.916729,496,0.01,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/559c8d7ee7fcea0b2eb447b9e388d5ed.jpg_r_480x360x95_953eb69c.jpg,[116.400516  39.916729]
7468741,保利艺术博物馆,4,92.0,,381.0,116.439208,39.938534,66,0.0,https://img1.qunarzz.com/travel/poi/1408/25/f2ec6dcd61836f9bffffffffc8d65eac.jpg_r_480x360x95_5e8b6c66.jpg,[116.439208  39.938534]
7468941,紫谷伊甸园,5,92.0,景色很美的花园，鲜花盛开的时候景色美不胜收。,403.0,116.266211,39.816103,163,0.0,https://img1.qunarzz.com/travel/poi/1409/16/788638990ab33311ffffffffc8d65eac.jpg_r_480x360x95_2d7f8dc1.jpg,[116.266211  39.816103]
23286404,妙峰山风景区,0,88.0,,,116.0325622786,40.0692366222,9,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3fd6975f20c460fa9b25356f4ff3c399.jpg_r_480x360x95_df6f0b4d.jpg,[116.03256228  40.06923662]
