,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
27,泛船浦天主教堂,34,1,41,0%,作为福建最大的教堂，独具哥特式建筑，每日可参加教堂礼拜。,4.6,福州市仓山区朝阳路新民街54号,全年 周一-周五 09:00-18:00,具体收费情况以现场公示为主,
28,猴研岛,8,6,28,0%,,4.5,福州市平潭县澳前镇东澳村梦山猴研岛,全年 08:30-18:00,,30.0
29,嵩口古镇,2,6,55,1%,,4.3,福州市永泰县嵩口镇,全年 全天开放,具体收费情况以现场公示为主,
30,十八重溪,6,1,38,0%,,4.0,福州市闽侯县南通镇福秀路,全年 全天开放,具体收费情况以现场公示为主,
31,福州云顶,5,1,989,0%,坐山崖峡谷观光索道，观峡谷风貌与瀑布流水，理想的避暑游览胜地。,4.5,福州市永泰县青云山顶,2月1日-10月31日8:00-17:00；11月1日-次年1月31日8:00-16:00；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,190元,157.0
32,罗源湾海洋世界,3,0,581,0%,福建省大型海洋馆，300多种海洋生物，是孩子们亲近海洋、拓宽视野的天堂。,4.5,福州市罗源县罗源湾开发区江滨南路1号,8/1-8/31 09:00-17:00,成人价180元，优惠价120,
35,皇帝洞生态旅游景区,328,1,37,0%,,4.3,福州市晋安区日溪乡梓山村,04/22-12/31 08:30-17:30,198元,30.0
36,奇达村,17,1,11,0%,,4.5,福州市连江县安凯乡凤下尾角,全年 全天开放,,
37,金山寺,23,1,69,1%,闽江的一个著名景点，著名的金山寺八景也出于此。,4.5,福州市仓山区西三环路,全年 8:00-17:00,20元,
38,东海仙境,26,5,86,0%,,4.1,福州市平潭县流水镇东美村王爷山南麓,全年 9:00-18:00,具体收费情况以现场公示为主,
39,九峰村,19,3,96,0%,这里是动物的天堂，因地制宜的分区展馆，使人更直观地游览。,4.3,福州市晋安区新店镇新园路100号,全年 08:00-18:00,30元,198.0
40,福州动物园,41,1,22,0%,,3.9,福州市平潭综合实验区龙凤头海滨浴场平潭沙雕园,景区暂时停业，详情请以景区公示为准。原开放时间9月1日-次年7月14日9:00-22:00（19:30停止入场）；7月15日-8月31日9:00-21:00。,具体收费情况以现场公示为主,
41,平潭沙雕园,15,0,10,0%,,4.8,福州市福清市东张镇三星村灵石山国家森林公园内,全年 7:30-18:30,,
42,龙潭山水风景区,269,5,3,0%,位于北部的长江澳风力田，不仅提供了最洁净的能源，也是摄影爱好者们眼里的绝佳景致。,4.0,福建省福州市平潭县平原镇上攀村(近十八楼),全天,免费,
43,长江澳风车田,18,12,274,12%,参观著名的乌塔，观摩福州现存最古老的石刻“般若台”，是个安静闲适的小憩之地。,4.5,福州市鼓楼区乌山路,全年 全天开放,免费,
45,渔夫岛风景区,183,2,39,0%,,4.5,福州市仓山区梅坞路14号,全年 全天开放,具体收费情况以现场公示为主,
46,烟台山公园,24,10,290,17%,全国最大的林则徐纪念馆，古典园林式祠堂建筑，可以看到各种有关林则徐的资料展示。,4.7,福州市鼓楼区澳门路16号,8:30-17:00 (16:30停止入场),凭借身份证或其他有效证件进行登记后，领取免费参观券。,
47,林则徐纪念馆,3,2,107,0%,穿越惊险石廊，观赏各型瀑布，享受理想的避暑游览胜地。,4.5,福州市永泰县城10多公里的岭路乡,8:00-16:30，15:00停止入场。,27元,32.0
48,青云山,115,1,67,6%,白塔为福建省文物保护单位，历史悠久。,4.4,福州市鼓楼区于山路于山风景区定光塔寺内,全年 8:00-17:00,具体收费情况以现场公示为主,
49,白塔,2,0,0,0%,芦际潭森林公园位于位于福建省福州市长乐市航城街道五竹村，占地面积约12000亩，以我市西北山区蟛蜞山为中心，包括复老山、狮头山、石龙山等山林。,,,,,
50,芦际潭森林公园,87,2,3,0%,闽安是中国东南沿海著名的千年古镇，位于福建省福州市马尾区。公元893年，唐朝已在闽安设巡检司衙门，宋代时列福建四大名镇之首，元明清时沿袭为军事与海上贸易重镇，也是千年来兵家必争之地和古战场，保存有大量唐、宋、元、明、清文物古迹。,4.7,福州市马尾区	,,,
51,闽安古镇,42,3,16,0%,,4.5,福州市仓山区乐群路,全年 全天开放,免费,
52,仓山旧领事馆区遗址,319,7,77,0%,,4.3,福州市平潭县流水镇东美村东海仙境景区内,8:00-17:00,25元,21.0
53,仙人井,12,14,229,13%,福州城内“三坊七巷”的中轴，古色古香，另有名人故居，是传统与现代相结合的休闲文化商业街。,4.6,福州市鼓楼区杨桥东路与达明路交叉口南50米,全年 全天开放,具体收费情况以现场公示为主,
54,南后街,105,3,103,4%,是福州现存最古老的佛寺之一，内有许多珍贵文物。,4.5,福州市鼓楼区开元路78号,全年 07:00-17:30,具体收费情况以现场公示为主,
61,福州儿童公园,177,1,5,0%,,4.8,福州市晋安区鼓山西北风池山西侧凤池白云洞景区,全年 全天开放,,
62,永泰大樟溪,7,3,31,0%,,4.5,福州市平潭县敖东镇青观顶村平潭海坛国家风景名胜区青观顶片区,6月1日-9月30日8:00-18:00，17:00停止进入；10月1日-次年5月31日8:00-17:30，16:30停止进入。,10元,18.9
63,白云洞,2,0,23,0%,,4.1,福州市罗源县近郊霍口畲族乡冈尾村,全年 08:30-17:00,40元,36.0
64,将军山,19,1,23,0%,,4.1,福州市福清市东张镇三星村内,7:30-18:30，节假日正常开放；信息仅供参考，具体开放时间以景区披露为准。,15元,0.9
65,畲山水景区,20,0,15,0%,,4.1,福州市永泰县青云山风景区内,1/1-12/31 08:00-17:00,15元,
66,灵石山国家森林公园,21,0,12,0%,,4.6,福州市福清市渔溪镇，再向西北10公里联华村黄檗山,全年 8:00-17:30,具体收费情况以现场公示为主,
68,万福寺,93,1,2,0%,康山里是一条小巷，当地有12座别具一格的花园式洋房，颇具诗意。,0.0,福建省福州市仓山区,全天,免费,
70,康山里,52,1,80,0%,是福建省重点建设3所高水平大学之一，校内风景优美。,4.8,福州市仓山区上下店路15号,疫情期间不对外开放；非疫情期间全天开放。,疫情期间不对外开放；非疫情期间免费开放。,
71,长乐海西动漫之都,8,1,74,0%,绝美的岭南风光，在森林氧吧中悠闲漫步，登山访古。,4.3,福州市闽侯县南屿镇双峰村,全年 09:00-17:00,具体收费情况以现场公示为主,
74,大目埕村,47,1,56,0%,,4.6,福州市鼓楼区福飞南路139号屏山公园内,9:00-17:00（16:00停止入场）。,具体收费情况以现场公示为主,
82,后沙海滩,10,0,4,0%,,4.3,福州市福清市东张镇三星村灵石山国家森林公园内,全年 7:30-18:30,,
83,沙滩公园,18,1,81,0%,,4.5,福州市永泰县梧桐镇大胃口往前1公里,8:30-16:30；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,40元,36.0
84,中洲岛,20,1,11,0%,,4.3,福州市闽侯县大湖乡雪峰村,全年 全天开放,具体收费情况以现场公示为主,
85,灵石寺,222,5,56,0%,作为我国近代工业的摇篮和海军发源地，具有非常重大的历史意义。,4.6,福州市马尾区马尾镇,全年 全天开放,具体收费情况以现场公示为主,
86,百漈沟景区,307,3,39,0%,,4.3,福州市平潭县塘屿岛,全年 全天开放,10元,
87,雪峰寺,321,2,102,0%,,,,,,
88,马尾,27,7,171,11%,一座规模较大的综合性博物馆，馆内展品极具福建特色。,4.4,福州市鼓楼区湖头街96号,周二-周日9:00-17:00，16:00停止进场；周一闭馆整修，如遇特殊情况闭馆，则另行公告。,免费,
89,塘屿岛,108,4,88,6%,福州市鼓山涌泉寺为“闽刹之冠”，又是全国重点寺庙之一。,4.4,福州市晋安区鼓山上,全年 7:00-17:30,40元,
90,石牌洋景区,32,3,64,0%,,4.4,福州市晋安区文博路8号,全年 周二-周日 09:00-17:00,免费,
91,福建博物院,4,1,119,0%,,4.2,福州市鼓楼区铜盘路29号（左海公园内）,8/4-08/31 08:30-17:00;09/01-06/30 08:30-17:00,80元,90.0
92,鼓山涌泉寺,4,1,25,0%,,4.3,福州市闽清县坂东镇新壶村,全年 08:00-17:00,25元,47.0
93,福州市博物馆,1,1,14,0%,,4.3,福州市福清市海口镇牛宅村,全年 7:30-18:30,具体收费情况以现场公示为主,
94,左海海底世界,3,1,32,0%,,4.6,福州市连江县贵安新天地世纪金源大道,5月1日-10月31日：周一-周五10:00-18:00，周六、周日9:00-18:00；11月1日-次年4月30日：周一-周日 10:00-17:00。具体开放时间详见景区公示。,100元,
105,晋安河公园,12,1,14,0%,,4.6,福州市连江县,全年 全天开放,具体收费情况以现场公示为主,
106,达明美食街,10,1,5,0%,,4.1,福州市永泰县葛岭镇葛岭村山腰,全年 7:00-18:30,具体收费情况以现场公示为主,
107,黄岐镇,179,0,16,0%,,4.3,福州市马尾区登龙路与文体路交叉口,全年 全天开放,具体收费情况以现场公示为主,
108,马厂街基督教堂,20,0,25,0%,,4.3,福州市福清市沙埔镇南部的一个滨海小岛，与牛头尾隔海相望,全年 全天开放,具体收费情况以现场公示为主,
109,龙门峡谷景区,223,1,72,0%,福州三山之一，风景如画。,4.5,福州市鼓楼区福飞南路139号,全年 8:30-22:00,具体收费情况以现场公示为主,
110,北茭村,39,1,23,0%,这是一个传统的小渔村，背山面海，配以碧蓝的海水，层次分明的花田，宛如一幅素雅的水墨画。,4.5,福建省福州市平潭县北港村,全天开放,,190.0
112,天马山公园,85,2,62,0%,师范类大学，为福建省重点建设三所高水平大学之一，校内风景优美。,4.4,福州市仓山区上三路8号福建师范大学仓山校区,全天开放，疫情期间禁止校外人员入内。,疫情期间禁止校外人员入内。,
113,目屿岛,104,3,38,0%,是中国第一个以船政为主题的博物馆，弘扬文化，具有历史意义。,4.4,福州市马尾区昭忠路7号,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,凭有效证件领票免费参观。,
114,屏山公园,109,3,73,2%,三坊七巷之一。,4.5,"福州市鼓楼区三坊七巷区域,西接通湖路，东连吉庇巷。",全年 全天开放,免费,
115,北港村石头厝,83,2,109,2%,到著名的水榭戏台，听听古典特色的闽南曲艺。,4.5,福州市鼓楼区三坊七巷区域内,全天开放,公交：福州市区乘坐54路、70路车到“衣锦坊”站下车，步行1分钟可达<br />,
116,晦翁岩龙峰寺,113,2,70,1%,,4.6,福州市鼓楼区三坊七巷区域内，郎官巷以南，西通南后街。,全天开放,,
117,福建师范大学,51,1,45,2%,福州华林寺是全国重点文物保护单位，我国长江以南最古老的木建筑寺院，具有历史纪念意义。,4.3,华林路78号,9:00-17:00，周一闭馆。,具体收费情况以现场公示为主,
118,中国船政文化博物馆,117,3,125,5%,具有其独特的闽江流域文化特色和榕城风情，是市民和游客游憩、休闲活动的公共绿地。,4.7,福州市台江区西江滨大道1号,全年 全天开放,具体收费情况以现场公示为主,
119,光禄坊,118,1,1,0%,"方圆五平方公里洞瀑联缀的百祭沟景区，位于福州市永泰县城西四十一公里处，与花岗岩鼓石堆叠如陈、洞径犬牙交错的玉石岭景区隔溪相望。
若说百祭沟，民间早有传说：世人如为柴米油盐谋续，或为单身寻偶，或为商场问利，或为仕途求，只要站在百祭沟…",4.0,福建福州永泰县城西四十一公里处,,,
120,衣锦坊,23,2,80,0%,榕城古街是一条古色古香的美食街，展示福州灿烂的榕城美食文化和地方民俗特色。,4.1,福州市台江区环河路61号,全年 全天开放,具体收费情况以现场公示为主,
121,塔巷,3,0,26,0%,,3.9,福州市闽侯县白沙镇白沙湾,9:00-17:00,具体收费情况以现场公示为主,
122,华林寺,5,1,36,0%,,4.5,福州市永泰县岭路乡青云山,8:30-16:00,35元,
123,江滨公园,65,2,14,0%,,4.7,琯尾街195号,,具体收费情况以现场公示为主,
124,百祭沟,36,1,92,0%,,4.4,福州市鼓楼区西洪路598号,全年 全天开放,具体收费情况以现场公示为主,
125,榕城古街,136,2,6,0%,,4.0,福州市晋安区莲花峰路4号,全年 8:00-18:00,具体收费情况以现场公示为主,
126,军博园,5,1,88,0%,,4.2,福州市长乐漳港镇仙岐村,7:00-17:00,25元,2.5
127,青龙瀑布,138,1,24,0%,,4.5,湖头街96号,全年 周一 全天不开放 ;全年 周二-周日 10:00-17:00,美术馆是免费开放的，馆内的部分展览会收费的。,
128,地藏寺,140,1,129,0%,闽江两岸风景优美，其中解放大桥和三县洲大桥的景观比较好。,4.6,福州市马尾区闽江(江滨东大道南400米),全年 全天开放,,
160,永泰大樟溪蹦极,103,0,2,0%,,3.4,福州市晋安区宦溪镇鹅鼻村,全年 09:30-17:30,,6.0
161,芹壁村,2,0,2,0%,,4.5,福州市平潭县中楼镇韩厝村,全年 全天开放,具体收费情况以现场公示为主,
162,苔菉镇,155,1,5,0%,,4.5,赤星村,7:00-16:00，有时延至17:00。,具体收费情况以现场公示为主,
163,海坛镇总兵署,15,0,10,0%,,4.8,福州市连江县,全年 全天开放,,
164,罗源湾白鲸馆,14,1,11,0%,,4.6,福州市福清市龙田镇西南约五华里的福庐山上（福庐北路）,全年 8:00-17:30,具体收费情况以现场公示为主,
165,牛头寨,18,0,10,0%,,3.9,漳港镇仙岐村,全年 7:00-17:00,包含在显应宫门票内,
166,梅瓷纪念馆,19,1,36,0%,,4.5,吴航街道南山南路与鳌山路交叉口南50米,全年 全天开放,具体收费情况以现场公示为主,
167,琅岐大桥,28,1,16,0%,,4.3,福州市马尾区琅岐镇,全年 全天开放,具体收费情况以现场公示为主,
168,快乐园,21,0,1,0%,,0.0,福州市长乐市古槐镇董奉山国家森林公园董奉山中心景区内,全年 全天开放,具体收费情况以现场公示为主,
169,金岚山,26,0,4,0%,,4.2,福州市长乐区漳港镇锦绣路南段,全年 全天开放,具体收费情况以现场公示为主,
170,升山寺,184,0,27,0%,,4.3,芳沁路,9:00-17:00，16:00停止进场，周一闭馆整修。,具体收费情况以现场公示为主,
171,黄歧半岛,70,0,4,0%,,4.4,福州市晋安区宦溪镇创新村,10:00-16:30,60元,70.0
172,福庐寺,8,0,25,0%,,4.3,福州市闽清县三溪乡山墩村58号,全年 全天开放,具体收费情况以现场公示为主,
173,显应宫泥塑像,198,0,3,0%,,5.0,福州市马尾区亭江镇白眉溪中游白眉村,全年 全天开放,,
174,长乐南山公园,11,2,29,0%,,4.4,福州市平潭县南海乡塘屿南中村南海中,全年 9:00-18:00,40元,30.0
175,琅岐岛,19,0,19,0%,,3.9,福州市永泰县岭路乡青云山白马峡谷景区,9:00-16:00,35元,32.0
178,自然馆,69,0,79,0%,,4.4,金山街道江滨大道1号,全年 全天开放,具体收费情况以现场公示为主,
180,闽清白岩山,4,0,17,0%,,4.1,福州市连江县晓澳镇道澳村,01/01-12/31 09:00-21:00,128元,388.0
181,白眉水库,273,1,1,0%,白鸽楼前身为塔亭医院附属护士学校，建于30-40年代；陈为信医师亲自参与了该楼的建设。,0.0,福州市公园西路2号 ,全天,免费,
182,海坛天神,91,1,1,0%,"马厂街宽不足3米,街巷幽静,民风纯朴。两侧院落以围墙为界,独立成院,院内绿树成荫,形成了一个独有的古香古色的庭院式小区。",0.0,福州市仓山区,全天,免费,
183,青云山白马峡谷,288,1,1,0%,月洲村位于永泰县西南部大樟溪畔，距县城56.3公里，距嵩口镇区11.21平方公里，距203省道3.3公里。东与梧桐镇白杜村接壤，西与本镇芦洋、东坡、月洲村交界，南与本镇溪口村相连，北邻本镇村洋村。,5.0,<p>全天开放</p>,全天开放,免费,
184,坛南湾鹅头湾度假村,24,0,32,0%,,4.5,福州市永泰县水帘宫（202省道东120米）,8:00-16:00,35元,32.0
185,金光湖生态旅游景区,302,1,9,0%,,4.3,福州市晋安区寿山乡寿山村福建寿山国家矿山公园内,08:30-17:00。,90元,
186,闽江公园,33,2,166,0%,,4.7,福州市晋安区金鸡山路60号,全年 6:30-21:30,具体收费情况以现场公示为主,
187,兔耳山风景区,57,1,1,0%,“琅山十景，观日为最。”,5.0,福州市琅岐岛芙蓉峰之巅,全天,免费,
188,连江赶海一号亲子滩涂主题乐园,16,4,164,6%,福州市区面积最大的公园，集文化、娱乐、餐饮、休闲为一体，是放松心情的好去处。,4.4,福州市鼓楼区铜盘路29号,8:30-17:00其中景区内各景点开放时间详见景区现场公示。,入园免费,90.0
189,白鸽楼,11,1,212,4%,一座具有欧式风格的休闲公园，可以听音乐会，可以欣赏花卉树木。,4.5,福州市鼓楼区温泉公园路8号,全年 5:30-22:00,具体收费情况以现场公示为主,
190,马厂街,81,3,31,0%,,4.6,福州市鼓楼区白马北路勺园1号文化创意园,全年 全天开放,具体收费情况以现场公示为主,
191,月洲村,107,2,73,3%,参观宋代诗人陈烈、清代名人严复的故居，感受浓浓的文化气息。,4.6,福州市鼓楼区三坊七巷区域内，在杨桥巷南，南后街的东侧。,全天开放，里面大部分小景点开放时间为8:30-17:00，详情请见景区公示,景区免费进入，内部部分景点需另收费，详情请见景区内公示,
192,青云山九天瀑布,75,2,31,7%,,4.3,福州市晋安区鼓山路鼓山风景区内，位于涌泉寺之西,全年 10:00-16:00,具体收费情况以现场公示为主,
193,寿山石古矿洞,110,3,84,2%,,4.5,福州市鼓楼区三坊七巷区域内，在安民巷的西面。,全天开放,免费,
194,金鸡山公园,111,3,46,1%,,4.5,福州市晋安区杨桥巷,景区本身全天开放，里面大部分的小景点开放时间为8:30-17:00。,如果只是逛逛吃吃小吃，外观下建筑，无需门票。但是里面出名的景点需要购买套票，套票费用120元，包含三坊七巷中二梅书屋、小黄楼、水榭戏台、林聪彝故居、严复故居、王麟故居、谢家祠、刘家大院、郭柏荫故居、鄢家花厅、尤氏民居、刘齐衔故居、周哲文艺术馆等13处景点的联票。也可以单独购买小门票，具体可以查看官网http://www.sfqx.gov.cn/,
195,白云寺,112,2,47,1%,,4.3,福州市鼓楼区三坊七巷区域内，黄巷以南，西通文儒坊。,景区本身全天开放，里面大部分的小景点开放时间为8:30-17:00。,三坊七巷本身是一个区域，如果你只是逛逛吃吃小吃，外观下建筑，无需门票。但是里面出名的景点需要购买套票，套票费用120元，包含三坊七巷中二梅书屋、小黄楼、水榭戏台、林聪彝故居、严复故居、王麟故居、谢家祠、刘家大院、郭柏荫故居、鄢家花厅、尤氏民居、刘齐衔故居、周哲文艺术馆等13处景点的联票。也可以单独购买小门票，具体可以查看官网http://www.sfqx.gov.cn/,
196,左海公园,84,2,65,1%,,4.4,福州市鼓楼区三坊七巷区域内吉庇巷,景区本身全天开放，里面大部分的小景点开放时间为8:30-17:00。,四季皆宜,
197,温泉公园,114,2,68,1%,,4.5,福州市鼓楼区三坊七巷区域内,全天开放,公交：福州市区乘坐117路、159路、121路、11路、66路等车到“南街”站下，步行3分钟可达<br />,
198,芍园一号文化创意园,116,2,16,5%,,4.0,福州市晋安区鼓山镇鼓山风景名胜区喝水岩,全年 全天开放,具体收费情况以现场公示为主,
199,郎官巷,79,2,28,0%,,4.5,福州市马尾区江滨东大道139号马尾造船厂内,全天,具体收费情况以现场公示为主,
200,达摩洞十八景,1,2,48,0%,,4.4,闽江下游航城镇石龙山峭壁之下,全年 全天开放,免费,
201,文儒坊,76,1,32,0%,,4.4,福州市鼓楼区道山路305号乌山风景区内,全年 7:00-21:30,包含在乌山风景区内，通用于乌山风景区门票。,
202,杨桥巷,3,3,45,0%,,4.5,福州市荆溪镇仁洲村上洋91号,9:00-17:30 ，17:00停止入场；具体开放时间详见景区现场公示。,20元,
203,安民巷,9,1,3,0%,,4.4,福州市闽侯县大湖乡境内,全年 全天开放,具体收费情况以现场公示为主,
204,吉庇巷,126,1,25,0%,古时登鼓山之道，经过“七亭七里路”就可到达涌泉寺山门。,4.3,福州市晋安区鼓山路鼓山风景区内,全年 全天开放,具体收费情况以现场公示为主,
205,黄巷,127,2,35,0%,,4.4,福州市马尾区昭忠路1号,8:30-12:00，13:30-17:30（16:30停止发票，17:20清场），农历除夕日闭馆一天。,免费但不免票，每天限量参观券不超过500张。,
206,喝水岩,128,1,33,0%,,4.1,鼓楼区江滨大道,全年 全天开放,具体收费情况以现场公示为主,
207,马尾造船厂船史纪念馆,7,1,35,0%,,4.7,福州市闽侯县尚干镇歧尾村境内,全年 全天开放,具体收费情况以现场公示为主,
209,道山亭,6,0,10,0%,,3.8,白云乡白云村3号,全年 6:00-18:00,20元,
211,雪峰山,130,1,16,0%,,4.4,福州市鼓楼区道山路第一山弄7号,全年 周二-周日 9:00-17:00,具体收费情况以现场公示为主,
212,登山古径,131,1,1,0%,"中国近代海军博物馆位于福州市经济技术开发区（马尾）昭忠路马限山东麓，于1998年5月对外开馆。该馆为五层建筑，依山而建，建筑面积4100平方米，正面造型如两艘乘风破浪的战舰，是一座颇具现代建筑风格的馆宇。
馆内陈列分为：创建船政、造船育才、…",3.5,福州市经济技术开发区,"7:30-18:30(旺季),8:30-17:30(淡季）","通票60元(含潜水艇参观),普通门票50元",
213,福州马江海战纪念馆,8,1,5,0%,,4.2,福州市连江县南部闽江入海处,全年 全天开放,,
214,福州望龙台公园,50,2,14,0%,,3.9,福州市鼓楼区于山顶一号于山上的护国禅院之后,全年 全天开放,,
215,五虎山,1,3,3,0%,,4.0,福州市罗源县白塔乡七步自然村,全年 全天开放,具体收费情况以现场公示为主,
217,姬岩风景区,134,1,52,1%,俗称“白塔寺”，为宫殿式建筑，历史悠久。,4.6,安泰街道于山路9号,全年 8:00-17:00,具体收费情况以现场公示为主,
218,复兴村,135,1,0,0%,,4.0,福州市鼓楼区郎官巷30号,全年 09:00-17:00,50元,
219,邓拓故居,4,1,15,0%,,4.3,福建省福州市长乐区朝阳中路259号,全年 周二-周日 9:00-16:30;全年 周一 全天不开放,具体收费情况以现场公示为主,
220,中国近代海军博物馆,7,1,12,0%,,3.0,福州市永泰县塘前乡大樟村,全年 7:30-17:30,具体收费情况以现场公示为主,
221,壶江岛,68,1,25,0%,,4.1,福州市鼓楼区于山路10号,全年 8:30-17:00,具体收费情况以现场公示为主,
222,状元峰,137,1,2,0%,在乐清雁荡山灵岩之阳，寺以岩名，四周奇峰嶙峋，古木参天。始建于979年（北宋太平兴国四年），寺有殿宇、禅房百余间，号称“东南首刹”，为雁荡十八古刹之一，名闻京师。宋太宗赐御书经书，真宗赐额“灵岩禅寺”，仁宗赐金字藏经。明清时重建，规…,0.0,福建省福州市,,,
225,定光寺,141,0,21,0%,,4.6,福州市台江区下杭路与三通路交叉处,全年 全天开放,具体收费情况以现场公示为主,
226,畲族馆,4,1,17,0%,,4.4,福州市福清市宏路镇石竹山风景区内,全年 全天开放,免费,
227,福建省冰心文学馆,142,2,34,0%,,4.5,于山顶一号于山风景区内,全年 全天开放,具体收费情况以现场公示为主,
228,千江月休闲农场,5,1,6,0%,,4.8,福州市闽清县坂东街四,全年 8:00-18:00,具体收费情况以现场公示为主,
230,灵岩寺,144,1,40,0%,,4.3,安泰街道圣庙路10号,全年 8:30-17:00,免费,
350,鼓浪屿,1,495,30724,68%,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。,4.4,厦门市思明区鼓浪屿,全天开放；游客登岛时间跟随游船发船时间。,登岛需购买轮渡或游船票；内部景点单独收费。,90.0
351,中山路步行街,3,632,3390,53%,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。,4.5,厦门市思明区中山路56号,全天开放,免费,67.0
352,曾厝垵,1,1071,5815,51%,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。,4.4,厦门市思明区环岛南路,全天开放,免费,136.0
353,白城沙滩,10,369,864,28%,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。,4.6,厦门市思明区大学路,全天开放,免费,22.2
354,厦门大学,2,1189,12520,79%,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。,4.6,厦门市思明区思明南路422号,疫情防控期间暂停校园参观，详情可电话咨询。,参观人员从大南校门、群贤校门进校，游客进入厦门大学需提前至“厦门大学访客预约系统”微信号进行预约。,
355,环岛路,6,637,5453,44%,享受海边骑行的快乐，边骑边看美丽风景。,4.7,厦门市思明区环岛路,全天开放,免费,136.0
356,南普陀寺,5,724,4768,67%,全国闻名的佛教寺院，寺内的素斋和素饼都获过奖，还可登高望远。,,,,,
357,厦门园林植物园,12,137,1910,10%,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。,4.6,福建省厦门市思明区虎园路25号,6:30-18:00；内部景点开放时间不一致，详情见景区公示。,厦门园林植物园已于2022年9月5日恢复门票收费。,30.0
358,沙坡尾避风坞,7,115,290,2%,,4.4,厦门市思明区沙坡尾,全年 全天开放,免费,299.0
