,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
31,金銮湾,565,6,11,0%,从福建 漳州市铜陵镇沿西铜公路西行2公里处，有一条宽阔、笔直的水泥大道，把你引向海滨，这就是闻名遐迩的马銮湾海滨浴场。,4.7,福建省漳州市东山县康美镇百亿新城金銮大道,全天,免费,
32,白鹭洲公园,34,56,501,15%,草坪修建得很漂亮，有个很大的湖，环境很好的免费公园！,4.6,厦门市思明区白鹭洲路569号,全年 全天开放,具体收费情况以现场公示为主,2238.0
33,皓月园,18,83,1094,35%,看郑成功巨型石像，纪念人民英雄。,4.5,厦门市思明区鼓浪屿,10/1-5/31(冬令时) 08:00-17:30,15元,10.0
34,北辰山,220,1,94,0%,可以看十二龙潭瀑布，形态各异，水潭清澈见底。,4.4,厦门市同安区五显镇北辰山景区,周一-周五9:00-16:30，周六、周日9:00-17:00。,30元，退休老人、60周岁以上老人，学生20元,25.0
36,观音山,26,32,47,1%,,4.5,厦门市思明区环岛东路,全年 全天开放,免费,
37,厦门园林博览苑,41,11,388,0%,园林大观园，一次性参观多种园林风格，空气清新很适合漫步。,4.5,厦门市集美区集杏海堤66号,4/1-10/31 07:30-19:00;11/1-3/31 07:30-18:00,60元,799.0
38,胡里山炮台,11,245,2622,44%,这里有着大大小小的炮台，带你走近并了解那段历史。,4.6,厦门市思明区曾厝垵路2号,10月1日至次年5月31日08:00-17:30，6月1日至9月30日 08:00-18:00,成人票25元，儿童、学生票15元,22.2
39,上李水库公园,397,0,2,0%,,4.9,环东海域金都·新蓝湾项目旁(BRT蔡店站),全年 全天开放,具体收费情况以现场公示为主,
40,彩虹沙滩,128,3,9,0%,,4.8,环岛路会展中心往西,全年 全天开放,具体收费情况以现场公示为主,2288.0
45,顶村村,563,7,3,0%,厦门岛内多山。在厦门岛南端，白石炮台遗址以北，有座曾山。曾山南部隔海与金门的大担岛、二担岛相望。,4.0,厦门市思明区,全天,免费,
48,顶上生态风景区,6,9,424,2%,,4.4,厦门市鼓浪屿鹿礁路111号(上鼓浪屿左转150米),01/01-12/31 08:00-18:00,60元,77.0
51,古龙产品体验中心,448,0,7,0%,,4.2,厦门市同安区汀溪镇造水村,全年 全天开放,具体收费情况以现场公示为主,
52,造水村,156,1,80,0%,,4.6,嘉莲街道松柏路,全年 全天开放,具体收费情况以现场公示为主,
53,松柏公园,33,4,220,0%,置身渔村古厝，身临其境感受传统文化，观看大型实景演出，寻找闽南民族文化脉络。,4.2,厦门市集美区华夏路9号（厦门北站南400米，软件学院对面）,01/01-12/31 09:00-18:00,120元/人-719元/人,95.5
55,观音山沙滩,11,7,92,2%,白色的顶，红色的墙，漂亮的教堂。,4.4,厦门市思明区安海路67号,景区暂时停业，详情请以景区公示为准；原开放时间：只有做礼拜时才开放，一般为周日9:00-10:30；其余时间不对外开放。,免费,
56,三一堂,55,59,265,11%,享受游山的乐趣，站在山顶可以鸟瞰厦门大学和鼓浪屿。,4.7,厦门市思明区思明南路南普陀寺后,全年 6:30-18:00,免费,
57,五老峰,51,3,74,2%,,4.7,观海路,全天,免费,
58,观海园,82,20,422,2%,陈嘉庚建筑群的重要组成部分，了解陈嘉庚先生的生平。,4.6,厦门市集美区银江路50-1号,5:30-22:30；预约入园，详情可提前电话咨询或查看集美鳌园官网。,具体收费情况以现场公示为主,0.69
59,嘉庚公园,48,8,137,1%,,4.4,厦门市思明区体育路95号文化艺术中心的东北部,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,免费开放,
60,厦门市博物馆,74,2,502,0%,,4.8,厦门市思明区气象台路85号,全年 9:00-18:00,具体收费情况以现场公示为主,110.0
61,厦门青少年天文科技馆,32,7,7,0%,,5.0,福建省厦门市思明区鼓浪屿,全天,免费,
62,内厝澳路,314,1,61,0%,,4.7,厦门市同安区轮山路99号,全年 6:00-19:00,具体收费情况以现场公示为主,
63,梵天寺,96,2,107,0%,,4.3,厦门市同安区莲花镇内田村,营业状态调整频繁，建议提前咨询景区。 开放时间：9:00-16:00,具体收费情况以现场公示为主,25.0
64,金光湖,232,0,36,0%,,3.6,厦门市同安区五峰土楼39号,9:30-17:00,15元,27.0
72,西竺寺,375,0,3,0%,,4.8,厦门市思明区虎园路25-67号,,具体收费情况以现场公示为主,
73,饶美宫,272,0,8,0%,,4.6,思明南路422号厦门大学,现学校处管制封校，原开放时间：全天开放,,
74,中岩寺,267,0,1,0%,,5.0,厦门市集美区,,具体收费情况以现场公示为主,
75,厦门大学科技园,459,0,9,0%,,4.3,新圩镇凤路村,全年 全天开放,具体收费情况以现场公示为主,
76,宝珠屿,83,0,11,0%,,4.2,厦门市思明区鼓浪屿康泰路151号,全天开放,免费开放。,
77,曾溪水库,488,18,165,0%,,4.6,厦门市思明区环岛路（珍珠湾再过去）,全年 全天开放,具体收费情况以现场公示为主,
78,福州大学厦门工艺美院鼓浪屿校区,22,4,231,0%,,4.2,厦门市思明区大学路世茂海峡大厦B塔55F,8/3-12/31 周一-周五 10:00-20:00;8/3-12/31 周六-周日 09:00-20:00,180元,158.0
79,厦门音乐广场,546,1,19,0%,,4.3,厦门市思明区东坪山,全天,免费,
80,云上厦门观光厅,4,4,69,0%,,4.5,厦门市思明区中山路318号,全年 09:00-18:00,35元,65.0
81,东坪山公园,570,0,3,0%,,4.0,大帽山农场场部东北方约2公里处,全天。,具体收费情况以现场公示为主,
82,颠倒博物馆,207,29,6,0%,清新雅致，小资必选。,4.5,福建省厦门市思明区,全天开放,免费,
83,大帽山三角梅园,31,46,301,0%,漫步木栈道，看水鸟在氤氲雾气中起落飞翔，享受城市绿肺的清新空气。,4.7,厦门市湖里区五缘湾道,全天开放,免费,54.0
84,大同路,176,40,116,0%,,4.6,厦门市思明区环岛路海军码头附近,全年 全天开放,具体收费情况以现场公示为主,299.0
85,五缘湾湿地公园,17,2,90,0%,,4.5,厦门市思明区气象台路85号(近东渡狐尾山顶),夏令时（4月-10月）参观时间8:00-21:00（20:00停止售票），冬令时（11月-12月、1月-3月）参观时间8:00-19:00（18:30停止售票）。,15元,50.0
86,演武大桥,10,15,442,14%,看中西合并的建筑风格，随意遐想当时人们的生活。,4.7,厦门市思明区鼓浪屿福建路38号,全年 08:30-15:30,88元,77.0
87,海上明珠观光塔,5,63,827,21%,在音乐之岛鼓浪屿逛钢琴博物馆，看各种造型奇特的的古钢琴。,4.6,厦门市思明区港仔后路7号菽庄花园内,10/1-5/31(冬令时) 08:00-17:30," <span>四季皆宜。在任何时节聆听钢琴演出都是一场美妙的听觉盛宴。</span> </p> 
<p> &nbsp; ",129.0
88,海天堂构,24,1,93,0%,,4.7,厦门市思明区鼓浪屿鼓新路27号,全年 全天开放,60元,
89,钢琴博物馆,50,10,258,20%,为纪念林巧稚大夫而建的纪念馆，恬静的园林景观，景色不错。,4.6,厦门市思明区复兴路,8:00-17:30,免费,168.0
90,东方鱼骨艺术馆,20,20,114,4%,,4.6,厦门市思明区鹿礁路6-2号,全天开放,码头免费参观，乘船需购买船票。,
91,毓园,43,23,240,4%,,4.5,厦门市集美区集美学村,10月1日-次年5月31日8:00-17:30，6月1日-9月30日8:00-18:00。,20元,
92,钢琴码头,296,6,92,2%,,4.8,厦门市思明区虎园路25号厦门园林植物园内,包含于厦门园林植物园景区，景区开放时间6:30-18:00，景点开放时间详见景区现场公示。,40元,
93,鳌园,81,22,460,2%,,4.7,厦门市思明区思明南路422号,全年 全天开放,免费开放，现阶段学院禁止非本校人员进入。,
94,万石岩,22,192,127,5%,鼓浪屿龙头路是鼓浪屿主要街道之一，美食、购物，应有尽有，小资情调十足。,4.6,厦门市 思明区鼓浪屿岛,全天,免费开放,179.0
95,厦门大学芙蓉湖,225,5,0,0%,"紫云岩位于醉仙岩东面，周围群山峥嵘，时有云雾潦绕，瞵息之间，气象万千，仿佛飘浮在茫茫烟海之中。清人郑光沂在危岩下刻“紫云得路”四字，固而名声远扬。
紫云岩有达中庵，建于明代，清废，民国十九年（公元1930年）重修，有大雄宝殿、客堂、积…",5.0,福建厦门市,全天,,
96,鼓浪屿龙头路,59,5,56,0%,,4.3,厦门市思明区鼓浪屿福建路32号,全年 09:00-17:30,免费,44.8
98,中国唱片博物馆,162,22,11,0%,上弦场是厦门大学主体育场，是一个半椭圆形的大运动场，利用楼群与运动场之间的落差，因地制宜地砌成可容纳两万人的大看台，由于运动场与看台都呈弧形，恰似上弦月，故称之为“上弦场”。,4.8,厦门市思明区思明南路422号厦门大学内	,全天,全年适宜来游览厦门大学的上弦场。,
99,王艺大师素描,39,1,8,0%,,3.4,厦门市鼓浪屿龙头路102号,9:00-18:00,,
100,上弦场,160,2,107,0%,,4.6,厦门市海沧区海沧台商投资区马青路青礁村岐山东鸣岭,全年 8:30-17:30,具体收费情况以现场公示为主,
101,鼓浪屿邮电支局,238,8,111,0%,,4.6,厦门市思明南路422号厦门大学集美楼2楼,全年 8:30-17:00,4元,
111,清水宫,189,0,17,0%,,4.8,厦门市海沧区滨湖北路741号,全年 8:00-21:00,公园免费开放，内部娱乐项目需另外收费,
112,集美大学诚毅校区,402,0,3,0%,,5.0,集美中学校舍,,具体收费情况以现场公示为主,
113,大学路,277,0,5,0%,,4.5,敬贤公园内,,具体收费情况以现场公示为主,
114,厦门儿童公园,104,1,22,0%,,4.8,体育路95-9号,"全年 周五 08:00-12:00;全年 周一-周四,周六-周日 08:00-21:00",,
115,寨遗址,439,0,17,0%,,4.6,东浦路与莲前西路交叉口东北100米,全年 全天开放,具体收费情况以现场公示为主,
116,陈敬贤墓塔,449,3,22,0%,,4.7,厦门市思明区文曾路,全年 全天开放,具体收费情况以现场公示为主,
117,厦门市图书馆,183,0,16,0%,,4.2,海沧钟山村,全年 9:00-21:00,具体收费情况以现场公示为主,
118,不争公园,475,0,13,0%,,4.9,厦门市集美区浔江路179号,全年 全天开放,具体收费情况以现场公示为主,
119,上李水库,479,1,16,0%,,4.4,厦门市集美区嘉庚路8号集美鳌园景区鳌园内,全年 全天开放,包含在嘉庚公园门票内,
120,石峰岩寺,484,0,29,0%,,4.2,杏林街道杏林东路32号,全年 17:00-05:00,具体收费情况以现场公示为主,
121,集美礼拜堂,485,0,54,0%,,4.6,杏滨街道杏林日东二路288号,全年 全天开放,具体收费情况以现场公示为主,
123,杏东公园,13,1,91,0%,洛可可风格融入中国特色的漂亮建筑物，拥有岛上最高大的门楼。,4.3,厦门市思明区鼓浪屿安海路36号,,外观免费参观。,87.0
124,日东公园,191,0,57,0%,,4.4,厦门市海沧区阳顺路8号,,免费,
125,太空飞梭,12,6,8,0%,郑成功雕像屹立在鼓浪屿东南端的覆鼎岩，面朝波澜壮阔的大海，身披盔甲，手按宝剑，形象挺拨刚劲，气势雄伟。,4.2,厦门市思明区鼓浪屿漳州路3号皓月园内	,全天,免费,
126,番婆楼,566,1,45,0%,,4.7,厦门市同安区同集中路1666号古龙工业园区,周二-周日9:00-17:00，周一闭馆。,古龙酱文化园目前免费开放，内部景点另收费。,5.0
127,石室禅院,171,10,65,0%,,4.5,厦门市思明区黄厝村,全年 全天开放,具体收费情况以现场公示为主,
128,郑成功雕像,104,1,3,0%,百年鼓浪屿博物馆位于福建省厦门市鼓浪屿福建路62号。,0.0,福建省厦门市思明区鼓浪屿福建路62号	,8:00-18:00,60元,88.0
129,古龙酱文化园,194,4,48,0%,,4.6,福建省厦门市集美区集美大道668号,全年 全天开放,景区暂时停业，详情请以景区公示为准；原门票免费。,
130,黄厝村,89,3,6,2%,,4.8,思明区环岛路曾厝垵车站旁,,具体收费情况以现场公示为主,
131,百年鼓浪屿博物馆,24,32,327,0%,,4.0,厦门市思明区环岛路35号,全年 8:30-17:30,68元,
132,华侨大学,46,2,19,0%,景色优美的同安汀溪水库风景区，幽雅舒适的环境，天然纯净的温泉，汇粹了闽南地域文化。,4.2,厦门市同安区汀溪街777号翠丰温泉旅游区,温泉公园开园时间：周一-周五11:00-24:00，周六、周日及公众假期9:30-次日0:30。,168元,
133,圣妈宫,27,54,313,6%,,4.7,厦门市思明区公园南路（近共和路）,全年 全天开放,免费,468.0
134,台湾民俗村,30,14,148,0%,,3.3,厦门市翔安区大嶝街道,全年 全天开放,具体收费情况以景区现场公示为主。,49.0
135,翠丰温泉,21,11,60,2%,,4.3,厦门市思明区文曾路通往半岭宫的路上,全年 全天开放,具体收费情况以现场公示为主,
136,中山公园,17,13,415,24%,各种风格各异、中西合壁的中外建筑非常值得一看。,4.6,厦门市思明区鼓浪屿,全天开放,免费,129.0
137,大嶝岛,30,17,289,8%,是国内非常大的郑成功文物文献收藏中心和研究基地。,4.6,厦门市思明区永春路73号,周二-周日8:30-16:45，16:30停止入场，周一闭馆。,包含于日光岩门票内，日光岩门票60元,129.0
138,怪坡,37,3,262,0%,,4.4,厦门市思明区鼓浪屿街道龙头路3、5、7、9号,全年 08:30-20:00,60元,78.0
139,万国建筑博览,41,1,73,0%,一个凉爽的隧道 ，夏天是个避暑的好地方。,4.1,厦门市思明区鼓浪屿鼓新路,全天开放,免费,
140,郑成功纪念馆,23,6,67,1%,连接龙头路到内厝奥的一条隧道，感觉充满了故事。,4.2,厦门市思明区鼓浪屿港后路,全天开放,免费,
141,帷幕开啦红地毯蜡像艺术馆,31,18,284,11%,鼓浪屿核心景点之一，百鸟园就在这个景区内。,4.3,厦门市思明区市鼓浪屿英雄山,8:00-18:00,包含于日光岩景区门票内，通用于日光岩景区门票。,
142,龙山洞,149,19,142,5%,,4.6,厦门市集美区嘉庚路149号,全年 8:00-18:00,四季皆宜,
143,笔山洞,224,22,136,2%,,4.5,厦门市集美区石鼓路与龙船路交叉附近,全年 8:00-18:00,免费,328.0
144,琴园,93,9,161,2%,,4.4,厦门市湖里区319国道,全年 全天开放,免费,1329.0
145,陈嘉庚先生故居,297,15,37,1%,,4.6,东渡路牛头山1号,全年 全天开放,海沧大桥旅游区60元/人,
146,龙舟池,42,1,72,1%,,4.7,思明区鸡山路西侧,7:30—18:00,40元,
147,厦门大桥,125,4,121,1%,,4.7,厦门市思明区公园路东侧,全年 6:00-18:00,具体收费情况以现场公示为主,
148,海沧大桥,298,2,32,1%,,4.5,集美游泳池东北面,全年 6:00-20:00,10元,
149,华侨亚热带植物引种园,299,1,46,0%,厦门小八景之一，可焚香祈福，也可登高赏美景。,4.7,开元街道天界路3号,全年 6:00-18:00,具体收费情况以现场公示为主,
150,狮山,21,3,12,1%,日本领事馆建于1897年，由中国工匠王天赐设计承建，以拱券宽廊仿英式别墅为基调，使用西洋双柱桁架与中国传统坡顶相折衷，具有维多利亚时代的某些建筑特征，女墙和廊沿压条下均采用闽南土陶烧制的花瓶为装饰，古朴典雅。领事馆面积600平方米，两层…,3.3,鹿礁路24号,,,159.0
151,延平故垒,300,3,64,1%,,4.5,厦门市思明区虎溪岩路5号,全年 8:00-17:00,40元,
152,仙洞天界寺,107,7,146,0%,全面及系统地展示华侨华人历史的综合性博物馆。,4.4,厦门市思明区思明南路493号,"全年 周一-周五,周日 09:30-16:30",具体收费情况以现场公示为主,
153,鼓浪屿日本领事馆旧址,175,2,4,0%,"景州乐园以“山水有情、人间有爱”为主题,园里的布局典雅、浪漫,五彩缤纷的花园里，错落着形态各异的艺术雕像，充满了欧美的艺术情调。",2.5,厦门市黄厝海滨,7:00—19:00,68元,
155,华侨博物院,53,3,85,1%,,4.6,厦门市思明区鼓浪屿漳州路44号,全天开放，仅可以参观外观，不能入内。,仅可在外部参观，无法进入。,
156,景州乐园,174,5,68,0%,,4.7,厦门市思明区湖光路12号,全年 全天开放,具体收费情况以现场公示为主,
157,英国领事馆旧址,133,8,125,0%,,4.6,厦门市思明区思明南路331号,全年 全天开放,具体收费情况以现场公示为主,
158,林语堂故居,150,1,1,0%,,0.0,思明区 顶澳仔路39号,,39元,
159,南湖公园,54,2,3,0%,,4.2,厦门市思明区鼓浪屿复兴路2号,全天开放（仅限外观）,,
160,鸿山公园,40,2,17,0%,,4.4,厦门市思明区旗山路5-7号,外部可全天参观，内部不开放。,外部免费参观，内部不对外开放。,
161,黑糖(顶澳仔店),55,1,3,0%,一朵一果是专卖特色的明信片和笔记本的小店。,4.0,思明区鼓浪屿龙头路129号,9:00-23:00,14元,
162,复兴堂,56,1,24,0%,,4.3,福建省厦门市思明区鼓浪屿鼓声洞，靠近英雄园。,全天开放,包含在鼓浪屿门票内,
163,李清泉别墅,305,1,1,0%,,4.0,鼓浪屿晃岩路30号,全天,具体收费情况以现场公示为主,
164,一朵一果,173,10,229,0%,,4.6,厦门市思明区金榜路,全年 全天开放,具体收费情况以现场公示为主,
165,鼓声洞,233,29,38,1%,这是一处将花店和书店融为一体的小小天堂，不定期举办读书会、民谣演出等活动。,3.8,福建省厦门市思明区华新路13号,10:00-22:00,45元,
166,货币文化馆,306,1,57,0%,,4.4,白鹿路5号玉屏山南侧(与虎溪岩山相对应),6：00～18：00,具体收费情况以现场公示为主,
167,金榜公园,60,1,4,0%,文曾路的花溪，每年的春节以后盛开。盛开期间，吸引了众多的市民，前来赏花摄影。,4.0,厦门市思明区文曾路（靠近植物园东门）,全天,免费,
168,不在书店,88,13,106,0%,,4.7,厦门市思明区天湖路白鹭洲公园水上广场,全年 全天开放,具体收费情况以现场公示为主,
169,白鹿洞寺,309,3,49,0%,,4.6,厦门市翔安区大嶝镇环嶝南路,全年 8:00-18:00,具体收费情况以现场公示为主,38.0
170,文曾路花溪,311,3,8,0%,,4.2,厦门市同安区北山的山岩间,全年 周一-周五 9:00-16:30;全年 周六-周日 9:00-17:00,包含在北辰山门票内,
171,筼筜湖,38,3,46,0%,,4.3,厦门市思明区鼓浪屿鼓声路,具体开放时间请咨询景区,免费,
172,英雄三岛,54,12,148,3%,,4.5,环岛路书法广场,全年 周四 11:00-20:00;全年 周五-周六 11:00-21:00;全年 周三 11:00-17:00,具体收费情况以现场公示为主,
173,厦门十二龙潭,58,1,28,0%,,4.4,厦门市思明区鹿礁路(近天主堂),全天开放,免费,129.0
174,鼓浪石,72,1,7,0%,,4.2,厦门市海沧区海沧街道海沧大桥南250米,全年 9:00-16:00,具体收费情况以现场公示为主,
175,书法广场,223,2,1,0%,座落在同安县城东溪西畔，始建于五代，现存的建筑是清朝乾隆年间重建的大成殿。现在的孔庙已成为同安区博物馆，陈列着200多件从全县各地收集的石雕、碑刻，神态各异，造型逼真，精湛的工艺令游人赞叹不已，人称“同安兵马俑”。,4.0,厦门市同安县城东溪西畔,8:00～11:30 15:00～17:30,4元,
176,协和礼拜堂,44,1,25,0%,,4.2,厦门市思明区鼓浪屿安海路,全天开放,免费,
177,火烧屿,38,38,86,0%,隐藏着厦门半个世纪的历史，漫步每栋建筑，寻找背后的历史故事。,4.7,厦门市思明区华新路,全年 全天开放,具体收费情况以现场公示为主,
178,孔庙,83,22,125,0%,,4.7,厦门市思明区思明南路422号厦门大学内,全天开放，疫情期间禁止校外人员入内。,疫情期间禁止校外人员入内。,
179,笔山公园,312,1,24,0%,,4.8,厦门市同安区洗墨池路23号,全年 8:00-17:30,9元,
180,华新路,61,1,103,0%,,4.6,厦门市思明区环岛南路曾厝垵，靠近胡里山炮台,全年 全天开放,具体收费情况以现场公示为主,
182,苏颂故居,139,1,47,0%,,4.7,厦门市海沧区东渡路127-17号,全年 8:00-17:00,成人票60元，学生票（凭学生证）30元,
183,胡里山海滨浴场,60,1,1,0%,,0.0,思明区 福州路85号,,134元,
184,1号海岸沙滩音乐餐厅,141,1,142,0%,,4.7,厦门市集美区鳌园路24号,全年 8:00-18:30,成人票：30元。半价票：15元，适用于国内教师（凭教师证）、国内全日制大学本科及以下学历学生个人参观（须提供本人学生证）。贵宾票：10元，持厦门市集美学校委员会参观凭证的。免费：现役军人、残障人士、离休人员；70周岁以上老人；未满18周岁的未成年人（1.4米以上要提供有效证件）；省级以上劳模、道德模范；大中小学校学生集体参观（提供本人学生证和学校集体参观证明）。,0.3
186,泰慢,158,1,1,0%,,0.0,思明区曾厝垵社110号(近阿川海鲜大排档),10：30--23：00,,
187,陈嘉庚纪念胜地,9,1,21,0%,,4.1,厦门市思明区鼓浪屿三明路26号,全天开放,,
188,厦门国防教育展览馆,231,1,85,0%,,4.3,厦门市湖里区环岛干道4707号五缘湾文化展览苑A1-A3号,4月1日-9月30日8:30-18:00，17:30停止入场；10月1日-次年3月31日8:30-17:30，17:00停止入场。现暂时停业，具体营业时间以景区公示为准。,现暂时停业，具体营业时间以景区公示为准。,
189,溜溜公社,316,4,3,0%,,0.0,汀溪水库左侧,全年 7:00-19:00,具体收费情况以现场公示为主,
190,美国领事馆旧址,97,19,46,0%,,4.7,福建省厦门市思明区,全天,具体收费情况以现场公示为主,
192,宋代瓷窑遗址,237,8,34,0%,,4.8,厦门市思明区东坪山山脉中部,全年 全天开放,具体收费情况以现场公示为主,
193,鹭江道,226,2,2,0%,"厦门海洋珍稀物种自然保护区位于福建省厦门市海域，总面积33088公顷。保护区保护区由原有的厦门中华白海豚省级保护区、厦门大屿白鹭省级保护区和厦门文昌鱼市级保护区合并而成。
保护区保护12种珍稀物种及其生境，分别是国家一级保护动物中华白海豚…",0.0,福建省厦门市海域,全天,免费,
194,Cantone,62,3,111,0%,用色大胆，造型奇特，漂亮的建筑物。,4.5,厦门市思明区泉州路99号,全天开放,免费,
195,梅海岭,317,3,12,0%,,4.0,福建省厦门市同安区,全年 全天开放,具体收费情况以现场公示为主,419.0
196,厦门海洋珍稀物种自然保护区,106,5,56,0%,,4.8,厦门市湖里区仙岳路与环岛东路交汇处附近,全年 全天开放,具体收费情况以现场公示为主,49.0
197,金瓜楼,63,1,37,0%,,4.5,厦门市思明区笔山路9号,全天开放,,
198,汀溪水库,319,1,2,0%,厦门清真寺，位于福建省厦门市玉屏路西侧。该寺坐西朝东，呈狭长方形，总共分为三进，入门是天井庭院，二门内为大厅和厢房，三门内是礼拜殿，殿顶为悬山式建筑。,5.0,厦门市 思明区公园南路27号,全天,免费,
199,五通灯塔公园,234,2,24,0%,,4.5,厦门市集美后溪镇城内村117号,全天开放,免费,
201,厦门清真寺,50,29,164,0%,,4.6,厦门市思明区会展路198号,全年 08:30-18:00,部分展会凭身份证免费办理入场参观证即可入场，个别展会收费情况不一，具体以各展览举办方定价为准，详情可电话咨询。,
202,闽台小镇,322,1,1,0%,,5.0,厦门市集美区鳌园路27号延平楼西面,9：00-17：30,具体收费情况以现场公示为主,
