sid,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,price
10012116,天府广场Tianfu Square,54,92.0,成都的中心广场，城市的地标和象征，还是两条地铁线的换乘中心。,552.0,104.072424,30.663443,362,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/97b718dedff1f3697551c45be1055f1b.jpeg_r_480x360x95_15ae1087.jpeg,¥88
23352777,黄龙溪欢乐田园Huanglongxi Happy Pastoral,0,98.0,,,103.989587,30.338163,857,0.0,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20222/a05e26f79dd02c78605bde12cbd19583.jpg_r_480x360x95_5d349c59.jpg,¥105
712191,平乐古镇Pingle Ancient Town,6,86.0,以原生态的川西古建筑和古朴民风著称，还有川西一绝“乐善桥”。,1.0,103.339879,30.348685,445,0.01,https://img1.qunarzz.com/travel/d5/1704/40/9fbacd3bc5702fb5.jpg_r_480x360x95_fb14dca9.jpg,¥239
720358,金沙遗址博物馆Jinsha Site Museum,77,94.0,商周时代遗址，出土的“太阳神鸟”饰品，是中国文化遗产的标志。,16.0,104.019188,30.687728,2514,0.1,https://img1.qunarzz.com/travel/d7/1610/36/ebd6c0b8d18d6eb5.jpg_r_480x360x95_fa72a026.jpg,¥66
9474880,成都博物馆Chengdu Museum New Hall,11,96.0,,94.0,104.070226,30.663457,157,0.0,https://img1.qunarzz.com/travel/d6/1709/68/4248842833e19db5.jpg_r_480x360x95_825d0da3.jpg,¥25
9280028,五凤溪古镇Wufengxi Ancient Town,2,86.0,历史悠久的古镇，镇内的清代民居丰富且独具特色。,3.0,104.489522,30.61175,124,0.0,https://img1.qunarzz.com/travel/d5/1607/e7/6a11eba04447d79a.jpg_r_480x360x95_f506f383.jpg,¥98
7468896,安仁古镇Anren Ancient Town,4,88.0,古镇内有建川博物馆和刘氏庄园，还有很多复古老公馆。,1.0,103.626007,30.513598,506,0.0,https://img1.qunarzz.com/travel/d4/1810/24/db0d38766bcb21b5.jpg_r_480x360x95_a50511bf.jpg,¥128
7523924,四川科技馆Sichuan Science and Technology Museum,10,88.0,,20.0,104.072224,30.666088,163,0.0,https://img1.qunarzz.com/travel/poi/1706/73/d85acd49f7f94c37.jpg_r_480x360x95_b167fd0e.jpg,¥69
7644866,海滨城浩海立方海洋公园Cube Oceanarium,0,90.0,创世界吉尼斯纪录的单体海洋馆，海洋生物丰富。,12.0,103.916696,30.609978,290,0.0,https://img1.qunarzz.com/travel/d2/1607/d1/ceb16cce076959b6.jpg_r_480x360x95_f5b7b739.jpg,¥149
7335851,南桥South Bridge,7,90.0,仿古廊桥，有精美的彩绘和木雕，夜景很漂亮，附近有美食街。,5.0,103.622481,31.002028,849,0.01,https://img1.qunarzz.com/travel/d7/1508/99/bcf457098f34a2.jpg_r_480x360x95_a76fcd16.jpg,¥398
7587164,灌县古城Guanxian Ancient City,5,92.0,,22.0,103.629505,31.001108,149,0.0,https://img1.qunarzz.com/travel/d1/1804/50/066012d58e3779b5.jpg_r_480x360x95_5afd1c0f.jpg,¥739
712528,四川博物院Sichuan Museum,47,90.0,国内收藏张大千作品最丰富的博物馆，尤其是大师的临摹敦煌壁画。,19.0,104.040142,30.666735,579,0.07,https://img1.qunarzz.com/travel/d6/1707/2d/e4a4b7939c0c80b5.jpg_r_480x360x95_fc4acfed.jpg,¥126
10093114,海窝子古镇Haiwozi Ancient Town,0,82.0,,9.0,103.858147,31.125879,25,0.0,https://img1.qunarzz.com/piao/fusion/1905/d6/1a5dfef096c72402.jpg_r_480x360x95_759d0125.jpg,¥118
7476942,桃花故里Taohua Scenic Resort,1,88.0,,204.0,104.324964,30.559234,79,0.0,https://img1.qunarzz.com/travel/d3/1704/69/c9af4a92837dccb5.jpg_r_480x360x95_b8d38c14.jpg,¥6
7477008,浣花溪公园Huanhuaxi Park,42,94.0,成都市区内面积最大的免费公园，距离杜甫草堂不远。,14.0,104.035644,30.663799,472,0.03,https://img1.qunarzz.com/travel/d4/1508/e7/a5b3e7c54d0e95.jpg_r_480x360x95_fde72755.jpg,¥49.8
18718635,麓湖水城Luxelakes Water City,0,92.0,,,104.0751076854,30.4634081414,8,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/4cbc99b2fc18469b757ac460a0e81f54.jpg_r_480x360x95_f1313d5c.jpg,¥19
710800,成都动物园Chengdu Zoo,10,94.0,来这里观看萌萌的大熊猫吧，还有大象、老虎等众多的动物。,18.0,104.112537,30.715302,1203,0.01,https://img1.qunarzz.com/piao/fusion/2201/27/82ad7562c4daf602.jpg_r_480x360x95_a4f6a03c.jpg,¥19.8
7646705,都江堰中华大熊猫苑（原熊猫乐园）Dujiangyan China Giant Panda Garden (formerly known as Panda Paradise),3,92.0,有许多萌萌的大熊猫，是一个亲子游的好地方。,6.0,103.583705,30.866632,413,0.0,https://img1.qunarzz.com/travel/d5/1610/a2/154cc7496d6cbdb5.jpg_r_480x360x95_74d99fd2.jpg,¥53
18700266,成都环球中心Chengdu Global Center,1,92.0,娱乐、购物和休闲中心，吃喝玩乐俱全，是目前世界最大单体建筑。,,104.066151,30.574961,249,0.0,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20198/dead63622462ebe99ee3e86be90481d6.jpg_r_480x360x95_b88b3ab1.jpg,¥157
711808,"金堂云顶山风景区Yunding Mountain Scenic Area, Jintang",1,84.0,不错的登山休闲之地，非常的清幽，山上还有千年古寺可以祈福。,49.0,104.494004,30.742917,91,0.0,https://img1.qunarzz.com/travel/d5/1511/62/246bd0520ef19ef7.jpg_r_480x360x95_e828b6a4.jpg,¥9.9
7523899,东郊记忆Eastern Suburb Memory,82,90.0,工业区改建的景区，文艺青年的最爱，还有李宇春名人的手模墙。,24.0,104.1296,30.674722,446,0.01,https://img1.qunarzz.com/travel/d8/1706/5a/f7e9d22265bfa4b5.jpg_r_480x360x95_4d11423d.jpg,¥6
7467896,中国泰迪熊博物馆China Teddy Bear Museum,3,84.0,全球最大的泰迪熊博物馆，处处都有泰迪熊可爱的身影。,11.0,103.804057,30.643965,541,0.0,https://img1.qunarzz.com/travel/d5/1508/4a/48bc2bb0cd4382.jpg_r_480x360x95_ef27bff8.jpg,¥49.9
5942222,老君阁Laojun Temple,4,92.0,位于青城山第一峰绝顶上，可以远眺岷江和天府平川的美景。,30.0,103.567074,30.914196,149,0.0,https://img1.qunarzz.com/piao/fusion/2105/c8/f213c92432522902.jpg_r_480x360x95_0e6fe873.jpg,¥369
36451825,奇彩乐园,0,66.0,,,103.867639,30.457488,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,¥36
10024335,漫花庄园Manhua Manor,1,88.0,有种类繁多的鲜花，适合摄影爱好者。,526.0,104.147245,30.768026,158,0.0,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/ef9295fc3f43c8eb4b9cfd787b164f3a.jpg_r_480x360x95_f7c671b5.jpg,¥60
9208671,日月坪Riyue Plateau,6,92.0,在这里可以遥望峨眉山、贡嘎山等一些著名的高山。,2.0,103.175399,30.698681,129,0.0,https://img1.qunarzz.com/travel/d0/1608/8b/2b143fac20abe2b5.jpg_r_480x360x95_5cb7c269.jpg,¥198
7477136,丹景山Danjing Mountain,1,82.0,登山赏景、锻炼身体的不错选择。,262.0,103.840218,31.086128,128,0.0,https://img1.qunarzz.com/piao/fusion/2104/d2/3dc1fcbbe4aa9002.jpg_r_480x360x95_27881966.jpg,¥28
709450,青羊宫Qingyang Palace,100,88.0,成都现存最古老的道观，敬香祈福，感受玄妙的道家气息。,12.0,104.047565,30.666364,917,0.23,https://img1.qunarzz.com/travel/d4/1704/19/51fe624bef0541b5.jpg_r_480x360x95_e8f6518d.jpg,¥398
714729,离堆公园Lidui Park,3,90.0,都江堰景区的入口，有伏龙观和都江堰博物馆等景点。,6.0,103.619894,31.002529,299,0.01,https://img1.qunarzz.com/travel/d7/1507/74/28fe65dd4e1106.jpg_r_480x360x95_51c63dc4.jpg,¥238
705269,刘氏庄园博物馆Liu's Manor Museum,1,92.0,国内保存最完好的地主庄园，庄内文物和泥塑“收租院”值得一看。,3.0,103.632788,30.510271,532,0.0,https://img1.qunarzz.com/travel/d3/1707/e6/04898abc06b803b5.jpg_r_480x360x95_7f53de32.jpg,¥30
715161,大慈寺Daci Temple,98,90.0,闹市区的古寺，有1600年的历史，玄奘法师在这里受戒、讲学。,42.0,104.0903454139,30.6600614331,396,0.01,https://img1.qunarzz.com/travel/d8/1607/78/e1bd81e92ce8f19a.jpg_r_480x360x95_3d90a434.jpg,¥66
702454,九峰山风景名胜区Jiufeng Mountain Scenic Area,2,88.0,驴友徒步的好地方，日出非常壮丽。,30.0,103.8896767545,31.3811928437,65,0.0,https://img1.qunarzz.com/travel/d9/1602/be/acdbb4c99776d9f7.jpg_r_480x360x95_c1bd06c5.jpg,¥100
7477081,三道堰Sandaoyan,1,86.0,一座历史悠久的西蜀古镇，拥有独特的建筑风格。,1.0,103.9197229964,30.8733433295,147,0.0,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1563305453934100k16000000zwvppC2B1_D_640_10000.jpg_r_480x360x95_338757ea.jpg,¥268
719914,宝瓶口Baopingkou,6,92.0,宝瓶口是人工挖掘的一个水渠，是控制内江进水量的关键。,17.0,103.619402,31.004263,171,0.02,https://img1.qunarzz.com/travel/d2/201212/12/b0159712f3764cf5ddb12cfb.jpg_r_480x360x95_6d1dfa09.jpg,¥226
716751,天师洞Tianshi Cave,3,88.0,据说天师道的创始人——张道陵，曾经在这里修炼布道。,13.0,103.567207,30.90844,138,0.0,https://img1.qunarzz.com/travel/d9/1607/68/7fa142518363e09a.jpg_r_480x360x95_37970395.jpg,¥369
7523975,玉垒阁Yulei Pavilion,1,90.0,,48.0,103.621079,31.007552,559,0.0,https://img1.qunarzz.com/travel/d8/1703/e2/1741cfb4b7bd29b5.jpg_r_480x360x95_20e7400b.jpg,¥226
9479047,太阳湾风景区Solar Tower Scenic Area,0,70.0,原始的自然景观，野生动物遍布。,22.0,103.78806,31.242962,29,0.0,https://img1.qunarzz.com/p/tts6/1801/21/ff869a0780654202.jpg_r_480x360x95_ea4c1287.jpg,¥40
7647567,成都国际非物质文化遗产博览园International Intangible Cultural Heritage Exposition Park,1,84.0,国内首个“非遗文化”园区，汇聚了世界各地的非遗文化。,219.0,103.9365506386,30.6745015191,94,0.0,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20209/69503f4bf6cd3e77e1fdf4df12169341.jpg_r_480x360x95_d0249ce1.jpg,¥9
718083,二王庙Erwang Temple,5,88.0,纪念都江堰工程的开凿者——李冰父子的祀庙，背山面水，环境幽静。,36.0,103.616882,31.012152,296,0.01,https://img1.qunarzz.com/piao/fusion/2107/23/70a9214233545b02.jpg_r_480x360x95_a439d4e5.jpg,¥226
5186623,琴台故径Qintai Trail,13,86.0,,103.0,104.053398,30.668842,397,0.02,https://img1.qunarzz.com/travel/d7/1501/20/298ff2b44681e9.jpg_r_480x360x95_2f572e74.jpg,¥118
720538,安澜索桥Anlan Cable Bridge,6,92.0,横跨在都江堰内江和外江的分水处，走在桥面上，摇摇晃晃很刺激。,43.0,103.61475,31.011383,508,0.01,https://img1.qunarzz.com/travel/d7/1803/6b/958c7085faa706b5.jpg_r_480x360x95_18262f81.jpg,¥238
715437,玉垒山公园Yuleishan Park,5,88.0,公园内树木茂盛，还有一段明代的古城墙，是当地人晨练的地方。,23.0,103.621596,31.006127,120,0.0,https://img1.qunarzz.com/travel/d7/1804/9b/b9d7a5fdd36c8b5.jpg_r_480x360x95_54c9d780.jpg,¥218
702012,成都植物园Chengdu Botanical Garden,4,88.0,有许多植物和中外珍稀树种，休闲放松的好去处。,226.0,104.135259,30.771388,298,0.0,https://img1.qunarzz.com/travel/d2/1603/62/59942fd7cfceb8f7.jpg_r_480x360x95_c6b6a26e.jpg,¥10
7468872,花舞人间Flower Dance World,1,90.0,园内有大量的花卉，是赏花休闲的好地方，还能参加亲子采摘活动。,1.0,103.804054,30.395208,684,0.0,https://img1.qunarzz.com/travel/d6/1704/b0/d44a50f8fde35eb5.jpg_r_480x360x95_7b947960.jpg,¥49.2
5850261,成都蜀锦织绣博物馆Chengdu Shujin Embroidery Museum,1,90.0,国内唯一一家保存有全套蜀锦手工制作工艺的场馆。,110.0,104.043405,30.663515,84,0.0,https://img1.qunarzz.com/travel/d5/1409/25/89ca750535b7f436ffffffffc8d65eac.jpg_r_480x360x95_3f8f1d08.jpg,¥29.9
702777,望丛祠Pi County Wangcong Memorial,1,86.0,纪念古蜀国两位著名君主望帝和丛帝合葬的墓地和祠宇。,202.0,103.881016,30.815146,194,0.0,https://img1.qunarzz.com/travel/d2/1806/b4/b60eccddb1aab2b5.jpg_r_480x360x95_b4eab49b.jpg,¥298
7468847,成都川菜博物馆Sichuan Cuisine Museum,1,90.0,唯一以菜系文化为陈列内容的主题博物馆，吃货们的必去之地。,6.0,103.937026,30.901292,297,0.0,https://img1.qunarzz.com/travel/d7/1802/eb/fd92294f54c861b5.jpg_r_480x360x95_3c6327fe.jpg,¥58.5
7477207,花水湾第一村温泉Huashuiwan First Village Hot Spring Hotel,1,88.0,毗邻西岭雪山的大型温泉。,13.0,103.266973,30.56872,158,0.0,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562786629402100l16000000z59ezD9DA_D_640_10000.jpg_r_480x360x95_6a565932.jpg,¥128
