,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
29,十渡风景名胜区Shidu Scenic Area,8,90.0,戏水漂流×高山峡谷×游乐项目，京郊周末放松休闲的绝佳胜地！,200.0,115.606473,39.644148,946,0.0,十渡风景名胜区,ShiduScenicArea
30,慕田峪长城Mutianyu Great Wall,7,96.0,慕田峪是长城里的一枝独秀，其危岭雄关是长城险要气势的代表。,3.0,116.575896,40.440146,4187,0.02,慕田峪长城,MutianyuGreatWall
31,红砖美术馆Red Brick Art Museum,5,86.0,一砖一瓦都充满了浓烈的艺术气息，美术爱好者不容错过。,49.0,116.506291,40.048543,144,0.0,红砖美术馆,RedBrickArtMuseum
32,乐谷银滩景区Happy Valley Silver Beach Scenic Area,4,90.0,,378.0,115.674467,39.623508,77,0.0,乐谷银滩景区,HappyValleySilverBeachScenicArea
33,红螺寺Hongluo Temple,4,94.0,“南有普陀，北有红螺”自古便是北京地区祈福的胜地。,1.0,116.634124,40.389488,601,0.0,红螺寺,HongluoTemple
34,青龙峡风景区Qinglong Gorge Scenic Area,5,90.0,青山绿水、空气清新，还有游船、快艇、蹦极、攀岩等娱乐项目。,121.0,116.688751,40.467603,310,0.0,青龙峡风景区,QinglongGorgeScenicArea
35,雁栖湖Yanqi Lake,8,90.0,清新自然的山水风光中，体验众多水上娱乐项目，周末郊游好去处。,5.0,116.6751771931,40.3985718632,684,0.0,雁栖湖,YanqiLake
36,乾清宫Palace of Heavenly Purity,4,94.0,紫禁城内廷三大宫的正殿，曾是专属于皇帝的寝宫。,374.0,116.403275,39.926469,95,0.0,乾清宫,PalaceofHeavenlyPurity
37,清华大学Tsinghua University,37,92.0,赏水木清华之美景，品百年名校之韵味。,10.0,116.333374,40.009645,1641,0.27,清华大学,TsinghuaUniversity
38,灵山Lingshan,7,90.0,,196.0,115.508638,40.045961,109,0.0,灵山,Lingshan
39,"北京世园公园World Horticultural Exposition in Beijing, China",3,92.0,,,115.957449,40.450315,1068,0.0,北京世园公园,WorldHorticulturalExpositioninBeijingChina
40,香山公园Fragrant Hills Park,41,92.0,漫山红叶驰名中外，来此感受京城最美秋色。,75.0,116.194051,39.995693,2038,0.04,香山公园,FragrantHillsPark
41,北京自然博物馆Beijing Museum of Natural History,4,92.0,能够看到很多已经灭绝动植物的化石，逼真的恐龙模型，还有免费的4D电影。,28.0,116.406249,39.889596,489,0.02,北京自然博物馆,BeijingMuseumofNaturalHistory
42,永宁古城Yongning Ancient City,3,82.0,,16.0,116.172981,40.529187,61,0.0,永宁古城,YongningAncientCity
43,中坞公园Zhongwu Park,0,96.0,,,116.2671649494,39.9869692883,12,0.0,中坞公园,ZhongwuPark
44,帽儿胡同Mao’er Hutong,7,92.0,北京城十大胡同之一，保留着老北京四合院以及昔日贵族的宅邸。,51.0,116.402564,39.943108,161,0.01,帽儿胡同,MaoerHutong
45,圣莲山景区Shenglianshan Sceneic Area,3,90.0,,865.0,115.737588,39.847532,73,0.0,圣莲山景区,ShenglianshanSceneicArea
46,神堂峪自然风景区Shentangyu Scenic Resort,1,88.0,百余种野生药材和山野菜遍布全区，正是赏花踏青的好地方。,11.0,116.61996,40.445536,112,0.0,神堂峪自然风景区,ShentangyuScenicResort
47,潭柘寺Tanzhe Temple,9,92.0,千年古刹、珍稀古木、著名古迹齐聚，是京城附近的拜佛胜地。,157.0,116.03762,39.91122,880,0.0,潭柘寺,TanzheTemple
48,野鸭湖国家湿地公园Beijing Wild Duck Lake National Wetland Park,3,90.0,湿地、芦苇荡景致清新，还可以带小朋友来喂野鸭。,3.0,115.864832839,40.4148653341,440,0.0,野鸭湖国家湿地公园,BeijingWildDuckLakeNationalWetlandPark
49,中国人民革命军事博物馆Chinese People's Revolutionary Military Museum,1,94.0,陈列了众多武器装备，还能观看大型主题展览，军事历史迷必去。,26.0,116.33021,39.914968,500,0.02,中国人民革命军事博物馆,ChinesePeoplesRevolutionaryMilitaryMuseum
50,楼台村Loutaicun,0,92.0,,,116.6039565162,40.0395122977,6,0.0,楼台村,Loutaicun
51,中国科学技术馆China Science and Technology Museum,11,94.0,有适合小朋友的科学乐园，还有全世界最大的球幕影院。,11.0,116.404938,40.012333,809,0.04,中国科学技术馆,ChinaScienceandTechnologyMuseum
52,箭扣长城Jiankou Great Wall,16,90.0,北京郊县一处古朴自然的长城。,125.0,116.541102,40.449137,193,0.0,箭扣长城,JiankouGreatWall
53,白河湾湿地公园Baihewan Wetland Park,0,86.0,,3367.0,116.670544,40.687296,6,0.0,白河湾湿地公园,BaihewanWetlandPark
54,百花山自然保护区Baihuashan Nature Reserve,5,90.0,徒步爬山，亲近大自然，登上山顶欣赏野花覆盖的高山草甸。,312.0,115.5805304071,39.8297680923,135,0.0,百花山自然保护区,BaihuashanNatureReserve
55,捧河湾风景区Penghewan Sceneic Area,2,80.0,,17.0,116.820412,40.620371,24,0.0,捧河湾风景区,PenghewanSceneicArea
56,北海公园Beihai Park,43,94.0,“让我们荡起双桨”中歌唱的地方，白塔树木湖水相依，静谧优美。,19.0,116.395006,39.934167,2993,0.23,北海公园,BeihaiPark
57,毛主席纪念堂Chairman Mao Memorial Hall,15,92.0,瞻仰开国伟人的遗容，了解第一代革命家的丰功伟绩。,15.0,116.404145,39.908876,396,0.18,毛主席纪念堂,ChairmanMaoMemorialHall
58,798艺术区798 Art Zone,57,90.0,厂房改造的艺术中心，雕塑、画廊、特色店铺等文艺范十足。,9.0,116.501104,39.991061,1279,0.14,艺术区,ArtZone
59,白瀑寺Baipu Temple,1,90.0,,35.0,115.927283,40.124144,21,0.0,白瀑寺,BaipuTemple
60,北京门头沟西达摩村,0,0.0,,,115.6401222857,39.9210460564,0,0.0,北京门头沟西达摩村,
61,北京海洋馆Beijing Aquarium,5,90.0,世界最大的内陆水族馆，有上千种水族动物，亲子游好去处。,1.0,116.347445,39.950257,1142,0.02,北京海洋馆,BeijingAquarium
62,首钢工业遗址公园Shouganggongye Ruins Park,0,90.0,,,116.170035,39.915904,114,0.0,首钢工业遗址公园,ShouganggongyeRuinsPark
63,五道营胡同Wudaoying Alley,15,92.0,北京最新兴的文艺小资聚集地，被称为“下一站南锣”。,29.0,116.416503,39.954776,300,0.02,五道营胡同,WudaoyingAlley
64,明十三陵Ming Tombs,7,90.0,规模庞大、保存完好的皇家陵园，了解古代帝王陵墓建筑必去。,22.0,116.231846,40.263544,2394,0.14,明十三陵,MingTombs
65,北京动物园Beijing Zoo,27,90.0,规模巨大，珍贵动物种类繁多，亲子游玩的必选去处。,18.0,116.342331,39.947726,2563,0.05,北京动物园,BeijingZoo
66,国家图书馆National Library,3,94.0,中国最气派的书房，内部空间宏大，各类书籍馆藏丰富。,248.0,116.3298939035,39.9496888733,314,0.0,国家图书馆,NationalLibrary
67,烟袋斜街Yandaixie Street,30,88.0,京味儿十足的一条繁华老街，逛逛钟表铺、毛笔铺、老字号小吃店。,23.0,116.400974,39.945443,695,0.22,烟袋斜街,YandaixieStreet
68,北京后花园（白虎涧）风景区Back Garden (White Tiger Gully) Natural Scenic Area,1,82.0,,887.0,116.1050741462,40.1335917195,181,0.0,北京后花园白虎涧风景区,BackGardenWhiteTigerGullyNaturalScenicArea
69,王府井Wangfujing,23,88.0,国际化大型商业区，北京逛街购物的老牌胜地。,36.0,116.418038,39.91979,1247,0.0,王府井,Wangfujing
70,水立方（国家游泳中心）Water Cube (National Aquatics Center),47,90.0,建筑外观独特，夜晚灯光美轮美奂，适合拍摄夜景。,37.0,116.396829,39.999266,2754,0.24,水立方国家游泳中心,WaterCubeNationalAquaticsCenter
71,玉东园Yudong Park,0,92.0,,,116.2630662497,39.9980204091,23,0.0,玉东园,YudongPark
72,龙门涧风景区Scenic Spots of Longmenjian,2,86.0,,521.0,115.567102,40.028529,60,0.0,龙门涧风景区,ScenicSpotsofLongmenjian
73,百泉山Baiquan Mountain,2,90.0,,12.0,116.668266,40.500437,72,0.0,百泉山,BaiquanMountain
74,司马台长城Simatai Great Wall,13,92.0,我国唯一一段保留明长城原貌的古长城，秋天来在这里，可以看到满山的红叶。,4.0,117.292856,40.663649,852,0.0,司马台长城,SimataiGreatWall
75,黄花城水长城Huanghuacheng Underwater Great Wall,4,94.0,拥有全国仅有的“长城戏水”奇观，每到夏季黄花绽放，景色秀美。,6.0,116.307167,40.419287,513,0.0,黄花城水长城,HuanghuachengUnderwaterGreatWall
76,鬼笑石Ghost Laugh Stone,0,94.0,,,116.193957,39.985331,7,0.0,鬼笑石,GhostLaughStone
77,北京市规划展览馆Beijing Urban Planning Exhibition Hall,1,88.0,,533.0,116.407729,39.90623,124,0.0,北京市规划展览馆,BeijingUrbanPlanningExhibitionHall
78,京东大峡谷Jingdong Grand Canyon,1,88.0,峡谷内山清水秀空气清新，非常适合放松锻炼，山间滑道也很刺激。,267.0,117.180659,40.251256,190,0.0,京东大峡谷,JingdongGrandCanyon
79,坡峰岭Pofeng Ridge,10,92.0,,3.0,115.84427,39.709779,268,0.0,坡峰岭,PofengRidge
80,翠鸟谷,0,0.0,,,116.5298174605,40.6432397789,0,0.0,翠鸟谷,
81,谷山村,0,0.0,,,116.065568,39.997626,0,0.0,谷山村,
82,交泰殿Jiaotai Palace,2,92.0,,763.0,116.403322,39.926822,31,0.0,交泰殿,JiaotaiPalace
83,罗红摄影艺术馆Luo Hong Art Museum,0,94.0,,,116.58091,40.048705,41,0.0,罗红摄影艺术馆,LuoHongArtMuseum
84,水峪村Shuiyu Village,1,84.0,,3264.0,115.835088,39.764802,12,0.0,水峪村,ShuiyuVillage
85,八达岭野生动物世界Badaling Wildlife World,1,84.0,亲子游推荐，园内有上百种动物，自驾游玩还能与动物近距离接触。,1.0,116.001343,40.359586,843,0.0,八达岭野生动物世界,BadalingWildlifeWorld
86,灵水村Lingshui Village,2,86.0,《爸爸去哪儿》取景地，找一找林志颖和KIMI住过的蜘蛛房。,3.0,115.74066,40.008129,105,0.0,灵水村,LingshuiVillage
87,密云人间花海薰衣草庄园Miyun Renjian Flower Ocean Lavender Manor,1,82.0,,2.0,117.2101049653,40.5773332579,74,0.0,密云人间花海薰衣草庄园,MiyunRenjianFlowerOceanLavenderManor
88,北京汽车博物馆Beijing Automobile Museum,1,94.0,参观众多古老汽车原型，还可以参加模拟赛车、汽车设计等游戏。,30.0,116.308108,39.835043,1145,0.0,北京汽车博物馆,BeijingAutomobileMuseum
89,奥林匹克森林公园Aolinpike Forest Park,27,100.0,,68.0,116.396802,40.025223,750,0.06,奥林匹克森林公园,AolinpikeForestPark
90,张裕爱斐堡国际酒庄Beijing Chateau Changyu Afip Global,5,90.0,京郊红酒庄，可以体验制作红酒，还可以在欧式风情庄园里拍照留念。,2.0,116.90818,40.382065,530,0.0,张裕爱斐堡国际酒庄,BeijingChateauChangyuAfipGlobal
91,大运河森林公园Grand Canal Forest Park,4,94.0,在天然大氧吧中呼吸新鲜空气，还可以露营、野餐、骑行、乘船。,29.0,116.748895,39.882386,234,0.0,大运河森林公园,GrandCanalForestPark
92,虎峪Natural Scenic Spots of Huyu,2,74.0,,7.0,116.113417,40.331262,42,0.0,虎峪,NaturalScenicSpotsofHuyu
93,后海Back Lakes (Hou Hai),0,90.0,,,116.3947762796,39.9481833406,9,0.0,后海,BackLakesHouHai
94,北京大学Peking University,42,92.0,中国的知名学府，校园曾经是皇家园林。,25.0,116.3173921614,39.9987895805,1844,0.29,北京大学,PekingUniversity
95,八大处公园Badachu Park,1,94.0,京郊拜佛祈福的胜地，有多处历史悠久的佛教寺院，秋天还能观赏漂亮的红叶和银杏叶。,102.0,116.1892117937,39.9683518444,605,0.0,八大处公园,BadachuPark
96,中山公园Zhongshan Park,14,94.0,春天赏郁金香，秋季看银杏，园内还有明清皇帝用来祭祀的社稷坛。,490.0,116.400516,39.916729,496,0.01,中山公园,ZhongshanPark
97,保利艺术博物馆Poly Art Museum,4,92.0,,381.0,116.439208,39.938534,66,0.0,保利艺术博物馆,PolyArtMuseum
98,紫谷伊甸园Purple Valley Eden,5,92.0,景色很美的花园，鲜花盛开的时候景色美不胜收。,403.0,116.266211,39.816103,163,0.0,紫谷伊甸园,PurpleValleyEden
99,妙峰山风景区Miaofengshan Scenery Spot,0,88.0,,,116.0325622786,40.0692366222,9,0.0,妙峰山风景区,MiaofengshanScenerySpot
100,白河峡谷Baihe River Canyon,2,90.0,,110.0,116.253249,40.689939,37,0.0,白河峡谷,BaiheRiverCanyon
101,百瑞谷景区Bairuigu Sceneic Area,0,86.0,,,115.6599792327,39.8619028009,12,0.0,百瑞谷景区,BairuiguSceneicArea
102,北京温榆河公园,0,90.0,,,116.471027,40.081409,0,0.0,北京温榆河公园,
103,蒲洼乡Puwaxiang,1,100.0,,2087.0,115.536908,39.737251,7,0.0,蒲洼乡,Puwaxiang
104,石花洞Shihua Cave,3,92.0,观赏形态各异的石花，洞内景观瑰丽奇幻，是京郊周末出游的好地方。,230.0,115.952749,39.801789,395,0.0,石花洞,ShihuaCave
105,中国电影博物馆China Film Museum,7,88.0,参观关于电影的古老道具，了解中国电影发展史，还能欣赏电影。,50.0,116.5269209762,40.0028002596,141,0.01,中国电影博物馆,ChinaFilmMuseum
106,今日美术馆The Today Art Museum,3,88.0,中国第一家民营公益性美术馆，不定期会举行各种展览。,126.0,116.474243,39.905643,80,0.0,今日美术馆,TheTodayArtMuseum
107,银河SOHOGalaxy SOHO,0,92.0,,,116.439685,39.92661,54,0.0,银河,SOHOGalaxySOHO
108,世贸天阶The Place,0,92.0,一站式休闲购物中心，拥有全球第三大规模的电子梦幻天幕。,,116.457351,39.922145,286,0.0,世贸天阶,ThePlace
109,北京国际鲜花港Beijing International Flower Port,1,92.0,不同季节有相应的花卉节日，是京郊赏花的好去处。,2.0,116.803564,40.187688,621,0.0,北京国际鲜花港,BeijingInternationalFlowerPort
110,九渡河Jiudu River,0,90.0,,,116.387559,40.368507,0,0.0,九渡河,JiuduRiver
111,永顺染坊Yongshun Dyeing Workshop,5,92.0,,6.0,117.27846,40.654341,140,0.0,永顺染坊,YongshunDyeingWorkshop
112,白河湾生态旅游一条川Baihewan Eco-tourism Area,0,100.0,,,116.69584,40.677537,2,0.0,白河湾生态旅游一条川,BaihewanEcotourismArea
113,国家植物园（原北京植物园）Beijing Botanical Garden,18,92.0,一年四季都可以赏花观叶，还可以在自然中踏青游山、探访古迹。,85.0,116.216152,40.008872,799,0.0,国家植物园原北京植物园,BeijingBotanicalGarden
114,黄岭西村Huanglingxi Village,0,100.0,,1713.0,115.653161,39.978684,1,0.0,黄岭西村,HuanglingxiVillage
115,杨梅竹斜街Yangmeizhu Byway,4,92.0,,62.0,116.3985984227,39.901966095,49,0.0,杨梅竹斜街,YangmeizhuByway
116,朝阳公园Chaoyang Park,6,92.0,北京最大城市公园之一，踏青野餐、拍婚纱照、亲子游玩的好去处。,109.0,116.4891144095,39.950001887,669,0.0,朝阳公园,ChaoyangPark
117,中国航空博物馆China Aviation Museum,7,90.0,馆藏丰富，各个款式型号的飞机琳琅满目，军事爱好者不容错过。,164.0,116.372885,40.192095,345,0.0,中国航空博物馆,ChinaAviationMuseum
118,百望山森林公园Baiwangshan Forest Park,3,90.0,是距北京城最近的森林公园，这里的红叶尤其有名。,489.0,116.262167,40.036088,277,0.0,百望山森林公园,BaiwangshanForestPark
119,古崖居风景区Guyaju Cave Dwellings Area,2,90.0,,155.0,115.78223,40.468621,154,0.0,古崖居风景区,GuyajuCaveDwellingsArea
120,城市大道,0,96.0,,,116.6836155539,39.856953132,1,0.0,城市大道,
121,云蒙山风景区Yunmeng Mountain Sceneic Area,0,90.0,,,116.824994,40.552925,11,0.0,云蒙山风景区,YunmengMountainSceneicArea
122,"北京雁栖湖西山步道Xishan Trail, Yanqi Lake, Beijing",0,94.0,,,116.653154,40.389305,0,0.0,北京雁栖湖西山步道,XishanTrailYanqiLakeBeijing
123,后海公园Houhai Park,41,92.0,什刹海的组成部分，白天胡同京味十足，夜晚酒吧霓虹闪烁。,52.0,116.388727,39.948566,661,0.14,后海公园,HouhaiPark
124,大石山森林公园,0,100.0,,,116.9209140933,40.4644308555,0,0.0,大石山森林公园,
125,西湖园Xihu Park,0,90.0,,,116.615726,40.055577,19,0.0,西湖园,XihuPark
126,居庸关长城The Great Wall at Juyong Pass,11,94.0,和“天下第一雄关”匾额合影，欣赏京城八景之一“居庸叠翠”。,16.0,116.078214,40.297394,882,0.01,居庸关长城,TheGreatWallatJuyongPass
127,中国美术馆National Art Museum of China,6,94.0,美术爱好者的天堂，艺术展览更新频繁，设施条件完备。,76.0,116.415454,39.931462,331,0.01,中国美术馆,NationalArtMuseumofChina
128,康西草原Kangxi Grassland,3,62.0,,6.0,115.858315,40.399959,91,0.0,康西草原,KangxiGrassland
129,北京上方山国家森林公园Shangfanshan National Park,3,88.0,上方山森林公园环境宜人，素有“南有苏杭，北有上方”的美誉。,801.0,115.83208,39.680012,136,0.0,北京上方山国家森林公园,ShangfanshanNationalPark
130,十渡东湖港Eastlake Harbor,5,90.0,,829.0,115.530782,39.674008,149,0.0,十渡东湖港,EastlakeHarbor
131,京西古道Jingxi Ancient Path,3,88.0,,871.0,116.0560942064,39.9724643285,73,0.0,京西古道,JingxiAncientPath
132,北京延庆奥林匹克园区,0,88.0,,,115.797049,40.528801,0,0.0,北京延庆奥林匹克园区,
133,百里画廊（硅化木中心）(129号院店),0,0.0,,,116.3562837029,40.7015225482,0,0.0,百里画廊硅化木中心号院店,
134,北京坊Beijing Fun,0,94.0,,,116.402433,39.904283,46,0.0,北京坊,BeijingFun
135,大美儿童世界Damei Children's World,1,92.0,,3097.0,116.190872,40.098399,50,0.0,大美儿童世界,DameiChildrensWorld
136,北坞公园Beiwu Park,1,94.0,,3182.0,116.2631067204,39.9922580118,98,0.0,北坞公园,BeiwuPark
137,云梦仙境自然风景区Yunmeng Fairyland Natural Scenic Area,2,72.0,,38.0,116.701279,40.625502,31,0.0,云梦仙境自然风景区,YunmengFairylandNaturalScenicArea
138,升旗仪式Flag-raising Ceremony,1,94.0,,53.0,116.403931,39.913288,218,0.0,升旗仪式,FlagraisingCeremony
139,南石洋大峡谷森林公园Nanshiyangda Canyon Forest Park,0,90.0,,,115.82358,40.136371,1,0.0,南石洋大峡谷森林公园,NanshiyangdaCanyonForestPark
140,汤河古寨,1,80.0,古水北镇内景点,2.0,117.282632,40.658482,3,0.0,汤河古寨,
141,首都博物馆Capital Museum,4,94.0,这里展示了北京三千年的建城史和八百年的建都史，你还能看到老北京的各种生活习俗。,43.0,116.349192,39.912283,795,0.02,首都博物馆,CapitalMuseum
142,密云水库Miyun Reservoir,8,92.0,是亚洲较大的人工湖，湖鱼鲜美异常。,5.0,116.92017,40.523289,106,0.0,密云水库,MiyunReservoir
143,青龙湖公园Qinglong Lake Park,1,90.0,山清水秀的城市公园，是夏季避暑的好去处。,438.0,116.094874,39.802592,282,0.0,青龙湖公园,QinglongLakePark
144,西峪水库Xiyu Reservoir,0,100.0,,,117.1068521949,40.3229392343,0,0.0,西峪水库,XiyuReservoir
145,戒台寺Jietai Temple,2,94.0,在“天下第一坛”拜佛祈福，观赏形态各异的古松和春夏盛放的牡丹花。,6.0,116.092996,39.87673,300,0.0,戒台寺,JietaiTemple
146,坤宁宫Palace of Earthly Tranquility,3,92.0,,762.0,116.403248,39.927103,36,0.0,坤宁宫,PalaceofEarthlyTranquility
147,珍珠湖Pearl Lake,6,72.0,,7.0,115.7820224114,40.0870099338,34,0.0,珍珠湖,PearlLake
148,爨柏景区Cuanbai Scenic Area,0,82.0,,,115.673165,39.978587,0,0.0,爨柏景区,CuanbaiScenicArea
149,长城公园Changchen Park,0,100.0,,,116.104771,39.957873,0,0.0,长城公园,ChangchenPark
150,大栅栏Dashilar,0,90.0,自古著名的商业街，古老胡同中老字号云集，还有众多特色小吃。,,116.397634,39.901535,731,0.0,大栅栏,Dashilar
151,牛街（回民街）Niu Street (Muslim Street),0,90.0,北京最著名的回民街，街上清真餐厅的牛肉出了名的好吃。,81.0,116.370095,39.891683,182,0.0,牛街回民街,NiuStreetMuslimStreet
152,古北口历史文化公园,1,0.0,古北水镇位于北京市密云区古北口镇，背靠中国最美、最险的司马台长城，坐拥鸳鸯湖水库，是京郊罕见的山水城结合的自然古村落。,15.0,117.271888,40.650619,0,0.0,古北口历史文化公园,
153,故宫珍宝馆The Antiquarium of The Palace Museum,6,96.0,珍宝馆内装饰华丽，乾隆、慈禧曾居住在这，现作为故宫精品文物展馆。,100.0,116.406346,39.925979,437,0.0,故宫珍宝馆,TheAntiquariumofThePalaceMuseum
154,北京大观园Grand View Garden,5,92.0,87央视版《红楼梦》的取景地，感受红楼文化，欣赏雅致风景。,56.0,116.362822,39.877081,1024,0.02,北京大观园,GrandViewGarden
155,云居寺Yunju Temple,1,92.0,,365.0,115.7803836535,39.6152474062,94,0.0,云居寺,YunjuTemple
156,北京密云万科弗农小镇,0,0.0,,,116.841309,40.466524,0,0.0,北京密云万科弗农小镇,
157,城市绿心森林公园,0,90.0,,,116.731822,39.882411,2,0.0,城市绿心森林公园,
158,瓜草地风景区Guacaodi Sceneic Area,0,90.0,,,115.9819817745,39.9543235786,1,0.0,瓜草地风景区,GuacaodiSceneicArea
159,震远镖局Zhen Yuan Escort Agency,3,92.0,,7.0,117.283538,40.659002,72,0.0,震远镖局,ZhenYuanEscortAgency
160,十渡誓言玻璃栈道Shidu Shiyan Glass Skywalk,1,88.0,在浪漫的传说中感受百米凌空俯视的惊险刺激，欣赏峭壁之巅的壮观风景。,48.0,115.591407,39.642657,142,0.0,十渡誓言玻璃栈道,ShiduShiyanGlassSkywalk
161,海淀公园Haidian Park,3,92.0,,776.0,116.302344,39.992401,153,0.0,海淀公园,HaidianPark
162,国家植物园南园Zhongguo Ke Xueyuan Zhiwu Yanjiusuo Beijing Botanical Garden,2,92.0,游客较少，一年四季都有可欣赏的美景。,1011.0,116.2176287753,39.9969668342,54,0.0,国家植物园南园,ZhongguoKeXueyuanZhiwuYanjiusuoBeijingBotanicalGarden
163,东交民巷Dongjiaomin Lane,2,92.0,北京最长的胡同，众多的使馆建筑群坐落于此，充满了西洋风情。,57.0,116.417056,39.90893,163,0.01,东交民巷,DongjiaominLane
164,中华民族博物院China Ethnic Culture Park,1,90.0,参观各民族特色建筑，欣赏民俗表演，穿民族服装拍照留念。,58.0,116.3977926648,39.9891862822,390,0.0,中华民族博物院,ChinaEthnicCulturePark
