,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
72,上海老街Shanghai Old Street,38,92.0,一条汇集了上海最早的钱庄、金店、银楼、茶馆、戏楼等的老街。,10.0,121.503455,31.231018,734,0.18,上海老街,ShanghaiOldStreet
73,外白渡桥Garden Bridge,69,92.0,上海标志性建筑之一，老上海题材影视剧取景地。,35.0,121.49699,31.24957,1334,0.11,外白渡桥,GardenBridge
74,上海滨江森林公园Binjiang Forest Park,2,94.0,观江景、看夕阳，或是在林中漫步，春季赏杜鹃花，夏季可欣赏湿地植物。,569.0,121.534393,31.38897,368,0.0,上海滨江森林公园,BinjiangForestPark
75,花开海上生态园Huakai Haishang Ecological Park,0,92.0,,,121.122985,30.891863,160,0.0,花开海上生态园,HuakaiHaishangEcologicalPark
76,钟书阁(松江泰晤士小镇店)Zhongshuge Bookstore,0,94.0,坐落在泰晤士小镇的“最美书店”，对书情有独钟。,,121.201441,31.040223,193,0.0,钟书阁松江泰晤士小镇店,ZhongshugeBookstore
77,七宝老街Qibao Old Street,4,86.0,参观民俗景点，品尝各色小吃，坐船泛舟水巷，品味古镇风情。,176.0,121.361133,31.157839,1366,0.0,七宝老街,QibaoOldStreet
78,古猗园Guyi Garden,11,92.0,上海最大的园林，吸引无数摄影爱好者，园内上海古猗园餐厅能吃到正宗南翔小笼。,166.0,121.3229,31.297989,1279,0.0,古猗园,GuyiGarden
79,上海动物园Shanghai Zoo,5,94.0,中国第二大城市动物园，观察珍稀动物，体验亲手喂食。,23.0,121.3694183532,31.1986780408,3129,0.0,上海动物园,ShanghaiZoo
80,上海辰山植物园Shanghai Chenshan Botanical Garden,2,94.0,在矿井花园看瀑布，冬天在展馆温室观赏各类珍稀植物。,3.0,121.189078,31.081652,1500,0.0,上海辰山植物园,ShanghaiChenshanBotanicalGarden
81,新场古镇Xinchang Ancient Town,7,88.0,品味明清老建筑、参观历史陈列馆。电影《色戒》曾在此取景。,85.0,121.652503,31.031093,505,0.0,新场古镇,XinchangAncientTown
82,崇明长江三角洲国家地质公园Chongming Yangtze River Delta National Geopark,0,0.0,,,121.237948,31.732706,0,0.0,崇明长江三角洲国家地质公园,ChongmingYangtzeRiverDeltaNationalGeopark
83,陕西南路Shaanxi South Road,2,92.0,,2185.0,121.463239,31.22917,56,0.0,陕西南路,ShaanxiSouthRoad
84,上海电影博物馆Shanghai Film Museum,3,94.0,观赏各种电影海报和拍摄道具，体验有趣的电影后期制作过程。,43.0,121.444536,31.192501,683,0.0,上海电影博物馆,ShanghaiFilmMuseum
85,上海植物园Shanghai Botanical Garden,8,90.0,上海市区的大花园，四季植被茂盛，是散步健身、花卉摄影的好去处。,46.0,121.450949,31.153874,1439,0.0,上海植物园,ShanghaiBotanicalGarden
86,东海大桥Donghai Bridge,4,90.0,,689.0,121.9855053326,30.7265644073,52,0.0,东海大桥,DonghaiBridge
87,哥伦比亚公园,0,40.0,魔都新晋的摩洛哥风公园，度假感十足,,121.433423,31.216059,2,0.0,哥伦比亚公园,
88,黄浦江Huangpu River,58,94.0,上海的地标河流，夜晚在江边散步或坐游船看两岸灯火。,101.0,121.4996049926,31.2441202296,1008,0.0,黄浦江,HuangpuRiver
89,奉浦四季生态园Fengpu Four Seasons Ecological Garden (West Gate),0,90.0,,2386.0,121.476611,30.941056,81,0.0,奉浦四季生态园,FengpuFourSeasonsEcologicalGardenWestGate
90,思南公馆Sinan Mansions,11,94.0,欣赏成片的花园洋房，感受老上海的洋气。,47.0,121.475006,31.220366,343,0.0,思南公馆,SinanMansions
91,上海邮政博物馆Shanghai Postal Museum,4,92.0,历史悠久的邮政大楼，了解中国邮政发展史，参观有趣的邮政工具和邮票珍品。,83.0,121.491381,31.25014,445,0.0,上海邮政博物馆,ShanghaiPostalMuseum
92,淮海路Huaihai Road,26,90.0,在淮海路商业街疯狂购物，夜晚感受霓虹灯下的浪漫情调。,41.0,121.476199,31.224781,610,0.1,淮海路,HuaihaiRoad
93,上海大观园Shanghai Grand View Garden,4,90.0,漫步大型仿古建筑群，置身《红楼梦》的仿真场景之中。,72.0,120.916634,31.079238,739,0.0,上海大观园,ShanghaiGrandViewGarden
94,广富林遗址文化公园,3,88.0,"不远的将来, 追寻上海历史之根,探究海派文化之源,品味自然生态的“广富林文化遗址公园”,将成为上海市民人文旅游的重头戏。",156.0,121.204525,31.068189,16,0.0,广富林遗址文化公园,
95,大淀湖Dadian Lake,1,88.0,,15.0,121.0602410824,31.1238212585,46,0.0,大淀湖,DadianLake
96,商榻古镇Shangta Ancient Town,1,88.0,,2158.0,120.9303197004,31.1211662292,10,0.0,商榻古镇,ShangtaAncientTown
97,徐家汇天主教堂St. Ignatius Cathedral,8,90.0,上海最大的天主教堂，欣赏中世纪哥特式建筑和内部精美的装饰。,50.0,121.442629,31.1975,464,0.09,徐家汇天主教堂,StIgnatiusCathedral
98,南翔古镇Nanxiang Ancient Town,8,88.0,看白墙黑瓦江南水乡，逛上海最大的江南园林古猗园。,62.0,121.313593,31.297143,703,0.0,南翔古镇,NanxiangAncientTown
99,静安别墅Jing'an Villa,1,92.0,上海最大的新式里弄住宅群，曾有很多名门望族居住于此。,580.0,121.464448,31.233855,326,0.0,静安别墅,JinganVilla
100,海上花岛生态度假村Qianwei Ecological Village,1,76.0,,2.0,121.516457,31.723174,111,0.0,海上花岛生态度假村,QianweiEcologicalVillage
101,上海玻璃博物馆Shanghai Museum of Glass,1,88.0,玻璃窑炉车间改建的博物馆，可见各种精美的玻璃艺术品，观看玻璃制作过程。,89.0,121.478542,31.349786,504,0.0,上海玻璃博物馆,ShanghaiMuseumofGlass
102,长江第一滩First Beach of Yangtze River,0,76.0,,,121.797531,31.352119,7,0.0,长江第一滩,FirstBeachofYangtzeRiver
103,上海外滩星空艺术馆Starry Gallery of Shanghai,1,84.0,,170.0,121.50497,31.233565,250,0.0,上海外滩星空艺术馆,StarryGalleryofShanghai
104,愚园路历史风貌保护区Yuyuan Road,3,94.0,繁华中的幽静，凝聚了诸多老上海故事的低调马路。,2393.0,121.444871,31.227868,315,0.0,愚园路历史风貌保护区,YuyuanRoad
105,东林寺Donglin Temple,1,94.0,七百年来香火长旺，有亚洲最高的室内千手观音圣像。,611.0,121.1723895212,30.9003183241,213,0.0,东林寺,DonglinTemple
106,广富林郊野公园Guangfulin Jiaoye Park,0,88.0,,,121.186543,31.074869,24,0.0,广富林郊野公园,GuangfulinJiaoyePark
107,多伦路文化名人街Duolun Road Cultural Street,23,88.0,参观鲁迅、茅盾、郭沫若等名人故居，在复古的洋楼老街散步拍照。,29.0,121.4883520019,31.2680882848,535,0.1,多伦路文化名人街,DuolunRoadCulturalStreet
108,甜爱路Tian'ai Road,40,88.0,上海最浪漫的马路，在爱心邮筒给你的TA寄出盖有爱心邮戳的信函。,22.0,121.490625,31.274099,536,0.07,甜爱路,TianaiRoad
109,上海长风海洋世界Changfeng Ocean World,2,86.0,观看大型海洋动物的表演。,5.0,121.403475,31.230932,2334,0.0,上海长风海洋世界,ChangfengOceanWorld
110,课植园Kezhi Garden,3,88.0,朱家角的园林胜景，漫步于曲径或小憩于水榭，在园林小景中享受恬静惬意。,8.0,121.059973,31.11952,210,0.0,课植园,KezhiGarden
111,方塔园Songjiang Square Pagoda,2,90.0,环境优雅的园林，可见宋代方塔、明代砖雕照壁、清代天妃宫等景点。,10.0,121.253011,31.010392,331,0.0,方塔园,SongjiangSquarePagoda
112,EPSON teamLab 无界美术馆EPSON teamLab: teamLab Borderless Shanghai,0,94.0,,,121.504015597,31.2074602994,35,0.0,无界美术馆,EPSONteamLabEPSONteamLabteamLabBorderlessShanghai
113,玉佛功德园Yufogong Deyuan,0,0.0,,1378.0,120.9885896123,31.0962598617,0,0.0,玉佛功德园,YufogongDeyuan
114,太阳岛沙滩Sun Island Beach,0,88.0,,494.0,121.0893764751,31.0374584198,1,0.0,太阳岛沙滩,SunIslandBeach
115,国家会展中心National Exhibition and Convention Center,1,92.0,,269.0,121.3085816472,31.196214201,261,0.0,国家会展中心,NationalExhibitionandConventionCenter
116,城隍庙旅游区Shanghai City God Temple Tourist Area,61,92.0,参观豫园和老城隍庙，品地道上海小吃和本帮菜。,143.0,121.497994,31.232396,5649,0.0,城隍庙旅游区,ShanghaiCityGodTempleTouristArea
117,醉白池Zuibaichi Park,2,90.0,上海最古老的园林，参观经典明清建筑，欣赏各种名人石刻。,47.0,121.237508,31.007731,356,0.0,醉白池,ZuibaichiPark
118,月湖雕塑公园Shanghai Sculpture Park,1,88.0,在错落着艺术雕塑的月湖畔散步，拥有大面积果岭草地，上海的溜宠胜地。,64.0,121.211287,31.107223,474,0.0,月湖雕塑公园,ShanghaiSculpturePark
119,步高里Bugaoli Scenic Resort,6,86.0,,76.0,121.4691216454,31.2129802704,121,0.0,步高里,BugaoliScenicResort
120,金茂大厦Jinmao Building,39,94.0,上海第三高楼，著名地标之一，在88层观光厅俯瞰上海城市风光。,24.0,121.512255,31.241027,2672,0.13,金茂大厦,JinmaoBuilding
121,黄浦江观光区Huangpu River,14,90.0,黄浦江是上海的地标河流，荟萃了上海城市夜景的精华，乘船夜游的好去处。,56.0,121.4992519294,31.2387436143,50,0.04,黄浦江观光区,HuangpuRiver
122,复旦大学Fudan University,23,94.0,访百年名校复旦大学，仰望光华楼，感受沪上知名学府的人文情怀。,20.0,121.511012,31.301524,698,0.02,复旦大学,FudanUniversity
123,周公馆Former Residence of Zhou Enlai in Shanghai,2,92.0,保存完好的西班牙式花园洋楼，伟人们在沪展开革命之地。,112.0,121.474868,31.22029,143,0.01,周公馆,FormerResidenceofZhouEnlaiinShanghai
124,上海鲜花港Shanghai Flower Port,2,88.0,3月底-5月中旬可赏郁金香，姹紫嫣红的花海极美。,558.0,121.909087,30.950741,361,0.0,上海鲜花港,ShanghaiFlowerPort
125,长风公园Changfeng Park,3,90.0,“勇敢者道路”很受青少年喜爱；长风海洋世界在园内。,93.0,121.406081,31.230871,919,0.0,长风公园,ChangfengPark
126,武康大楼Wukang Mansion,12,92.0,形似熨斗的上海著名建筑大楼，诸多名人曾入住于此。,133.0,121.44472,31.210733,297,0.0,武康大楼,WukangMansion
127,江南三民文化村Jiangnan Sanmin Culture Village,0,84.0,富有民俗特色的文化村，踩高跷推铁环玩童年游戏。,3.0,121.5057,31.724771,59,0.0,江南三民文化村,JiangnanSanminCultureVillage
128,遇见博物馆·上海静安馆,0,88.0,,,121.449386,31.297082,1,0.0,遇见博物馆上海静安馆,
129,米域•有光MIXPACE,0,86.0,,,121.461038,31.233274,7,0.0,米域有光,MIXPACE
130,奉贤博物馆Fengxian Museum,1,88.0,,2081.0,121.509324,30.939284,74,0.0,奉贤博物馆,FengxianMuseum
131,巴金故居Former Residence of Ba Jin,2,90.0,参观巴金生前起居、写作的房间。,2211.0,121.447147,31.215026,228,0.0,巴金故居,FormerResidenceofBaJin
132,金茂大厦88层观光厅Jinmao Tower Observation Deck,1,94.0,上海著名观景平台，能在高空俯瞰繁华的魔都。,142.0,121.512231,31.241024,1802,0.0,金茂大厦层观光厅,JinmaoTowerObservationDeck
133,衡复历史文化风貌区Hengshan Leisure Street,16,90.0,,32.0,121.449293,31.206121,320,0.02,衡复历史文化风貌区,HengshanLeisureStreet
134,徐家汇源,1,100.0,​徐家汇源景区位于上海都市旅游中心圈徐家汇，主要由历史景观风貌、时尚活力购物和绿色休闲娱乐三大板块组成。,608.0,121.443043,31.197086,4,0.0,徐家汇源,
135,上海寻梦源梦水乡Xunmengyuan Herb Farm,0,84.0,,,121.097122,31.047402,17,0.0,上海寻梦源梦水乡,XunmengyuanHerbFarm
136,大宁灵石公园Daning Park,4,92.0,不用远赴海外，就能感受到荷兰赏花胜地“库肯霍夫花园”的郁金风情。,121.0,121.45316,31.284678,957,0.0,大宁灵石公园,DaningPark
137,喜玛拉雅美术馆Shanghai Himalayas Museum,1,88.0,,15.0,121.568386,31.215181,83,0.0,喜玛拉雅美术馆,ShanghaiHimalayasMuseum
138,上海外滩美术馆Rockbund Art Museum,2,94.0,欣赏各种现代艺术作品，在楼顶露台享受咖啡与美景。,63.0,121.494113,31.246931,399,0.0,上海外滩美术馆,RockbundArtMuseum
139,上海马戏城Shanghai Circus World,1,90.0,中国马戏第一城，有适合小朋友观看的《欢乐马戏》，也有享誉海外的《ERA时空之旅》。,8.0,121.457945,31.284439,897,0.0,上海马戏城,ShanghaiCircusWorld
140,上海儿童博物馆Shanghai Children's Museum,2,90.0,寓教于乐的知识殿堂，儿童可在此得到丰富的科普启蒙。,36.0,121.419405,31.199852,161,0.0,上海儿童博物馆,ShanghaiChildrensMuseum
141,寒山寺,17,88.0,寒山寺已有近374年历史。明朝天启四年，杨军门夫人朱氏自苏州驾小船来到崇明。朱氏在岛上削发为尼，法名颠修，建寺名寒山寺，供寒山拾得二像。原寒山寺北至护城河（现崇明中学马路），南至人民路，西至护城河沿界（农业大楼），东至旧大校场（现向…,77.0,121.4080510142,31.6304013168,6,0.0,寒山寺,
142,龙美术馆西岸馆Long Museum (West Bund),2,92.0,室内与室外完美结合的开放式美术馆，让艺术更加亲民。,193.0,121.471366,31.190301,239,0.0,龙美术馆西岸馆,LongMuseumWestBund
143,孔庙Confucian Temple,3,94.0,,636.0,121.4945430417,31.2232846425,31,0.0,孔庙,ConfucianTemple
144,青溪老街,0,84.0,,,121.5891641954,30.9296540962,0,0.0,青溪老街,
145,小灶村体验农场Xiaozaocun Tiyan Farm,0,76.0,,,121.284467,31.395217,5,0.0,小灶村体验农场,XiaozaocunTiyanFarm
146,油罐艺术中心Youguan Art Center,0,86.0,,,121.469743,31.171002,21,0.0,油罐艺术中心,YouguanArtCenter
147,大莲湖湿地Dalianhu Wetland,0,88.0,,,121.003177,31.069671,9,0.0,大莲湖湿地,DalianhuWetland
148,浦江郊野公园奇迹花园Pujiang Jiaoye Gongyuan Qiji Garden,0,88.0,,,121.514217,31.060286,175,0.0,浦江郊野公园奇迹花园,PujiangJiaoyeGongyuanQijiGarden
149,中国兵器博览馆China Ordnance Expo,0,94.0,,1958.0,121.024908,31.109638,23,0.0,中国兵器博览馆,ChinaOrdnanceExpo
150,富民路Fumin Road,1,84.0,,2014.0,121.4572330595,31.2260704041,15,0.0,富民路,FuminRoad
151,风车湾Windmill Bay,1,100.0,,2493.0,121.916124,30.860425,2,0.0,风车湾,WindmillBay
152,古藤园Guteng Garden (East Gate),1,92.0,,2667.0,121.393967,31.007918,62,0.0,古藤园,GutengGardenEastGate
153,新虹桥中心花园Xinhongqiao Center Park,0,92.0,,2722.0,121.411023,31.20618,68,0.0,新虹桥中心花园,XinhongqiaoCenterPark
154,古华公园Guhua Park,1,90.0,,2748.0,121.471003,30.923862,256,0.0,古华公园,GuhuaPark
155,上海宋庆龄故居纪念馆Soong Ching Ling Memorial Residence,1,92.0,繁华淮海路上闹中取静的一处，西式建筑风格优雅别致。,87.0,121.445413,31.210427,243,0.01,上海宋庆龄故居纪念馆,SoongChingLingMemorialResidence
