,Unnamed: 0,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名,属地
65,65,海洋剧场,2,86.0,"海洋伴我心! (11:30，15:30，17:00)
由海洋公园聪明可爱的海豚、海狮和一班训练员呈献一个关于梦想和海洋的故事。园内每天均有乐队在海洋伴我心表演前演奏，以娱乐游客。 
海洋公园内最受欢迎的大型表演，深受欢迎。聪明的海豚、海狮做出美妙的翻腾…",292.0,114.1780153067,22.2432338428,22,0.02,海洋剧场,,香港
66,66,跑马地赛马场,3,92.0,以其刺激的场面，丰厚的奖金，令许多香港人乐此不疲,64.0,114.192166,22.277408,17,0.02,跑马地赛马场,,香港
67,67,香港历史博物馆Hong Kong Museum of History,9,92.0,从小渔村到大都市的华丽转身，香港自然、民俗、历史的集中展示。,33.0,114.188858,22.304876,386,0.03,香港历史博物馆,HongKongMuseumofHistory,香港
68,68,昂坪360缆车Ngong Ping 360,20,94.0,水晶车厢底部全透明玻璃，空中体验凌空感，低头欣赏脚下美景。,21.0,113.912742,22.259372,1084,0.03,昂坪缆车,NgongPing,香港
69,69,金鱼街,1,92.0,介乎旺角道与水渠道之间的一段通菜街以及介乎西洋菜南街与通菜街之间的一段水渠道聚集了六十多间商店，专门售卖观赏鱼及水族用品，故有“金鱼街”之称。另外，十多间宠物店也于该处相继开业，因而有“宠物市场”的美誉。,214.0,114.181212,22.325969,13,0.02,金鱼街,,香港
70,70,香港艺术馆Hong Kong Museum of Art,2,88.0,古今藏品种类繁多，展示了各种特色作品，馆内可赏维港海景。,50.0,114.183598,22.296358,244,0.02,香港艺术馆,HongKongMuseumofArt,香港
71,71,煤气灯街Duddell Street Steps and Gas Lamps,10,86.0,穿越历史的石阶与煤气灯，老香港氛围浓厚，港剧经典取景地。,69.0,114.168226,22.282778,274,0.04,煤气灯街,DuddellStreetStepsandGasLamps,香港
72,72,山顶广场,4,86.0,,239.0,114.156469761,22.2763983748,21,0.01,山顶广场,,香港
73,73,九龙公园Kowloon Park,11,90.0,九龙地区最大的城市公园，自然美景与文娱设施相结合，休闲胜地。,59.0,114.1818669187,22.3035581958,481,0.02,九龙公园,KowloonPark,香港
74,74,SoHo荷南美食区,1,100.0,装修各异的餐厅、布满涂鸦的酒吧吸引着不同肤色的食客,238.0,114.1655534746,22.2858305632,3,0.03,荷南美食区,SoHo,香港
75,75,维多利亚公园Victoria Park,4,88.0,市区的大公园，拥有足底按摩园和儿童游乐区等，设施齐备。,91.0,114.2001756493,22.2854518731,303,0.01,维多利亚公园,VictoriaPark,香港
76,76,终审法院Court of Final Appeal,9,86.0,,146.0,114.1719737735,22.2839631102,20,0.01,终审法院,CourtofFinalAppeal,香港
77,77,荷李活道公园Hollywood Road,8,86.0,,38.0,114.159245,22.289323,59,0.01,荷李活道公园,HollywoodRoad,香港
78,78,尖东海滨,1,86.0,"除了标榜气氛佳的美食厅外，香港还是有不少免费的参观景点，像尖沙咀海滨公园就是适合想与海天融合为一的族群，不论是为了保留经费血拼或让自己的胃从大餐中暂歇一下，都可以信步到此来趟晚间的漫游。
尖沙咀海滨公园从天星码头旁的香港文化中心，…",233.0,114.186048,22.298283,44,0.0,尖东海滨,,香港
79,79,皇后大道东Queen's Road East,4,88.0,,168.0,114.18444,22.277483,58,0.01,皇后大道东,QueensRoadEast,香港
80,80,香港中文大学Chinese University of Hong Kong,9,92.0,香港三大名校之一，依山而建，或现代或复古的教学楼错落有致。,74.0,114.216507,22.419816,190,0.0,香港中文大学,ChineseUniversityofHongKong,香港
81,81,七彩升空天地,1,0.0,充满嘉年华气氛的七彩升空气球，带您进入高耸入云的国度！登上这个直径达22米的氦气球，您将会升上100米高空，居高临下饱览一望无际的港岛南区美景，同场还有谐趣的小丑、艺高人胆大的杂技人和神秘的魔术师向您献技，最适合情侣和一家大小前来游玩…,237.0,114.1813403784,22.2526360408,1,0.0,七彩升空天地,,香港
82,82,香港高等法院High Court,3,88.0,,303.0,114.174895,22.280952,36,0.0,香港高等法院,HighCourt,香港
83,83,聖安德烈堂St Andrew's Church,1,86.0,九龙区最悠久的基督教教堂，红砖外墙散发典雅的欧陆色彩。,230.0,114.1840052484,22.3050226431,91,0.0,聖安德烈堂,StAndrewsChurch,香港
84,84,百老汇电影中心,1,80.0,,125.0,114.1856728721,22.3247258036,3,0.0,百老汇电影中心,,香港
85,85,西洋菜南街Sai Yeung Choi Street,10,86.0,知名的电子产品一条街，种类齐全价格实惠。,75.0,114.1814340908,22.3226601849,200,0.0,西洋菜南街,SaiYeungChoiStreet,香港
86,86,金魚寶殿Goldfish Treasures,1,90.0,,304.0,114.188281,22.248129,50,0.0,金魚寶殿,GoldfishTreasures,香港
87,87,礼宾府,1,90.0,,305.0,114.163979245,22.2844662703,0,0.0,礼宾府,,香港
88,88,香港大会堂Hong Kong City Hall,2,86.0,,306.0,114.173156121,22.285248195,27,0.0,香港大会堂,HongKongCityHall,香港
89,89,九龙寨城公园Kowloon Walled City Park,4,86.0,公园建筑以江南园林为主题，见证香港百年沧桑巨变史。,80.0,114.201801,22.335106,128,0.0,九龙寨城公园,KowloonWalledCityPark,香港
90,90,艺穗会Fringe Club,3,86.0,醒目的红白砖块砌成的百年老建筑，张国荣《金枝玉叶》拍摄地。,307.0,114.1671509938,22.2832796399,114,0.0,艺穗会,FringeClub,香港
91,91,孙中山纪念馆Dr Sun Yat-sen Museum,4,84.0,,240.0,114.1623724629,22.2851658038,32,0.0,孙中山纪念馆,DrSunYatsenMuseum,香港
92,92,塔门Grass Island,3,90.0,塔门岛上观音庙，在大节日（如观音诞）渔民祈求平安、香火鼎盛。,40.0,114.370776,22.479086,134,0.0,塔门,GrassIsland,香港
93,93,香港文化博物館Hong Kong Heritage Museum,2,88.0,综合性博物馆，内容涵盖历史、艺术和文化，常举办多元化展览。,53.0,114.1968512597,22.3800391208,135,0.0,香港文化博物館,HongKongHeritageMuseum,香港
94,94,力宝中心EP&T Global,2,86.0,,308.0,114.1748705034,22.2825244557,40,0.0,力宝中心,EPTGlobal,香港
95,95,洪圣爷湾泳滩Hung Shing Ye Beach,8,82.0,,131.0,114.1311695661,22.2224585204,112,0.0,洪圣爷湾泳滩,HungShingYeBeach,香港
96,96,美利楼Murray House,4,86.0,赤柱地标建筑，由中环迁移而来，百年老建筑，充满复古情调。,309.0,114.2211344626,22.2213225883,141,0.0,美利楼,MurrayHouse,香港
97,97,香港科技大学Hong Kong University of Science and Technology,1,92.0,,310.0,114.2767840739,22.3395500183,52,0.0,香港科技大学,HongKongUniversityofScienceandTechnology,香港
98,98,香港城市大学City University of Hong Kong,1,86.0,,180.0,114.1829523586,22.3405361176,46,0.0,香港城市大学,CityUniversityofHongKong,香港
99,99,旺角警署,2,0.0,旺角警署是香港警务处在西九龙总区旺角警区的警署，位于香港九龙旺角太子，弥敦道与太子道西交界处，现今已经被古物咨询委员会评定为香港三级历史建筑。,206.0,114.180425,22.327311,0,0.0,旺角警署,,香港
100,100,皇后像广场Statue Square,3,86.0,中环闹市中的一片开阔地，被多个知名地标建筑环绕，周日会有菲佣集会。,118.0,114.1713340329,22.2841154733,153,0.0,皇后像广场,StatueSquare,香港
101,101,九龙清真寺Kowloon Mosque And Islamic Centre,2,86.0,,76.0,114.1832605039,22.3016740395,91,0.0,九龙清真寺,KowloonMosqueAndIslamicCentre,香港
102,102,南湾South Bay Beach,2,88.0,,221.0,114.2090559991,22.2279766985,10,0.0,南湾,SouthBayBeach,香港
103,103,香港海事博物馆Hong Kong Maritime Museum,1,88.0,,313.0,114.1736026698,22.2897996841,61,0.0,香港海事博物馆,HongKongMaritimeMuseum,香港
104,104,香港仔郊野公园Aberdeen Country Park,2,88.0,,314.0,114.1683559626,22.2547254817,39,0.0,香港仔郊野公园,AberdeenCountryPark,香港
105,105,中环中心The Center,1,88.0,,315.0,114.1662534855,22.2877358853,39,0.0,中环中心,TheCenter,香港
106,106,TVB大本营Television Broadcasts Ltd,16,88.0,,28.0,114.28291,22.282506,26,0.0,大本营,TVBTelevisionBroadcastsLtd,香港
107,107,张保仔洞Cheung Po Tsai Cave,3,80.0,长洲岛著名景点，洞穴黑暗狭窄凹凸不平，洞外风景迷人。,133.0,114.0290294775,22.2036613487,76,0.0,张保仔洞,CheungPoTsaiCave,香港
108,108,竹林禅院Chuk Lam Sim Yuen,1,92.0,,153.0,114.1301483375,22.3817627289,9,0.0,竹林禅院,ChukLamSimYuen,香港
109,109,万佛寺Ten Thousand Buddhas Monastery,1,84.0,,317.0,114.1962612692,22.3905186844,16,0.0,万佛寺,TenThousandBuddhasMonastery,香港
110,110,三栋屋博物馆Sam Tung Uk Museum,1,82.0,香港现存古老的围村之一，探访棋盘布局的老宅。,318.0,114.1318500676,22.3756130607,90,0.0,三栋屋博物馆,SamTungUkMuseum,香港
111,111,香港艺术中心Hong Kong Arts Centre,2,90.0,,319.0,114.1823414792,22.2830901044,39,0.0,香港艺术中心,HongKongArtsCentre,香港
112,112,屏山文物径Ping Shan Heritage Trail,1,82.0,漫步文物径，参观古意盎然的围村、宗庙，感受历史文化风俗。,224.0,114.0186790102,22.4475948727,80,0.0,屏山文物径,PingShanHeritageTrail,香港
113,113,警队博物馆Police Museum,1,82.0,,320.0,114.1807459851,22.2705904022,7,0.0,警队博物馆,PoliceMuseum,香港
114,114,香港中央图书馆Hong Kong Central Library,1,92.0,,241.0,114.2011183468,22.2828743349,91,0.0,香港中央图书馆,HongKongCentralLibrary,香港
115,115,亚洲国际博览馆AsiaWorld-Expo,1,90.0,,88.0,113.9547,22.323695,23,0.0,亚洲国际博览馆,AsiaWorldExpo,香港
116,116,Pacific Coffee(圣约翰大厦店),1,60.0,,321.0,114.165715266,22.2835382682,1,0.0,圣约翰大厦店,PacificCoffee,香港
117,117,香港医学博物馆Hong Kong Museum of Medical Sciences,2,86.0,,324.0,114.1601253731,22.2866701788,32,0.0,香港医学博物馆,HongKongMuseumofMedicalSciences,香港
118,118,UA Cinemas( 沙田 新城市广场店),1,100.0,,86.0,114.1935233251,22.3859887316,4,0.0,沙田新城市广场店,UACinemas,香港
119,119,遮打花园Chater Garden,2,92.0,,327.0,114.1727410981,22.2834660036,32,0.0,遮打花园,ChaterGarden,香港
120,120,麦理浩径The MacLehose Trail,10,90.0,贯穿新界的远足径，饱览山海美景，户外爱好者必游。,41.0,114.360945,22.36637,214,0.0,麦理浩径,TheMacLehoseTrail,香港
121,121,徐氏艺术馆Hong Kong Museum of Art,1,84.0,,328.0,114.1836417779,22.2964084343,13,0.0,徐氏艺术馆,HongKongMuseumofArt,香港
122,122,昂船洲Stonecutters Island,1,0.0,昂船洲原为香港维多利亚港岛屿之一，位于九龙半岛的西面，属深水埗区。,329.0,114.1397734374,22.323071717,0,0.0,昂船洲,StonecuttersIsland,香港
123,123,毕打街Pedder Street,1,88.0,,330.0,114.169130659,22.2849788558,35,0.0,毕打街,PedderStreet,香港
124,124,香港大球场,1,90.0,,158.0,114.1952320539,22.2794827167,1,0.0,香港大球场,,香港
125,125,冯平山博物馆,2,60.0,元代景教之铜制十字架：在这所珍贵的博物馆里，参观的重点是467个元代景教的铜制十字架，它是集目前世界上这类收集品的大成。这些铜制十字架原属于叙利亚的基督教派，唐朝年间（公元618～906年）流传至中国，它们使用的年代则可追溯至元朝（公元128…,332.0,114.1450678093,22.2903023404,1,0.0,冯平山博物馆,,香港
126,126,香港特别行政区行政长官办公室Chief Executive's Office,0,0.0,中华人民共和国香港特别行政区行政长官办公室（英文：Chief Executive's Office，CEO），是香港特别行政区行政长官的直属的办公部门。,243.0,114.1766143656,22.2850713691,0,0.0,香港特别行政区行政长官办公室,ChiefExecutivesOffice,香港
127,127,士丹利街,3,0.0,士丹利街，亦被写作史丹利街，是香港岛中环的一条人流极多的街道，尤其是中区上班日午餐时份（中午12时至下午2时）。这条街上也有很多牌档，是香港一大特色。,333.0,114.16774,22.284687,0,0.0,士丹利街,,香港
128,128,车公庙Che Kung Temple,1,88.0,,164.0,114.1943817788,22.3763674919,40,0.0,车公庙,CheKungTemple,香港
129,129,半月湾,1,0.0,半月湾是位于香港新界西贡区的一个小型公众沙滩，受到污染影响小，水质清澈纯净，达到香港水质标准的一级，是香港水质最好的十个公众海滩之一。,67.0,114.303171,22.369061,0,0.0,半月湾,,香港
130,130,圆玄学园,1,100.0,荃湾区最具代表性的名胜之一，是香港唯一同时供奉佛、道、儒三教的总坛。院？炔贾眉？三教之长，精致高雅，其主体建筑仿照北京天坛的三教大殿，还以高矗入云的牌坊见著。院内供应精美素食。,334.0,114.1294670396,22.3899163323,0,0.0,圆玄学园,,香港
131,131,九龙中央邮政局,2,80.0,,335.0,114.1775184345,22.3153140882,1,0.0,九龙中央邮政局,,香港
132,132,百德新街Paterson Street,2,90.0,百德新街是位于香港岛北部的一条人流车流颇多的街道，它在香港铜锣湾商业购物区。,337.0,114.196828,22.28295,3,0.0,百德新街,PatersonStreet,香港
133,133,诺士佛台Knutsford Terrace,1,88.0,30家特色餐馆及酒吧提供环球美食和佳酿，饱尝饕餮盛宴。,338.0,114.1855134586,22.3041108819,47,0.0,诺士佛台,KnutsfordTerrace,香港
134,134,联和墟Hong Kong Fenling Lianhe Market,1,84.0,,199.0,114.1513663515,22.5040617321,14,0.0,联和墟,HongKongFenlingLianheMarket,香港
135,135,香港競馬博物館The Hong Kong Racing Museum,1,84.0,赛马是香港的特色，这里记录了赛马在香港100多年的发展历程。,244.0,114.1916051846,22.2772914915,103,0.0,香港競馬博物館,TheHongKongRacingMuseum,香港
136,136,北帝庙,1,100.0,湾仔北帝庙，是湾仔区最悠久的寺庙之一。湾仔北帝庙建筑宏伟，面积是港岛庙宇之冠。,120.0,114.185297,22.276001,3,0.0,北帝庙,,香港
137,137,永利街Wing Lee Street,2,80.0,永利街是必列者士街对上的一条后街，从上环的水泥丛林里移步南行，经由荷里活路、城皇街、楼梯街，沿着宁靖山的山势弯曲而上，不多远，“永利街”，一个在香港再通俗不外的铁皮街牌涌现在面前。,339.0,114.1558884353,22.2894859846,3,0.0,永利街,WingLeeStreet,香港
138,138,香港电影资料馆Hong Kong Film Archives,2,86.0,,136.0,114.2333312142,22.2885576695,70,0.0,香港电影资料馆,HongKongFilmArchives,香港
139,139,新田大夫第,2,90.0,新界西北区新田乡为文姓聚居之地，建村已达数百年。最早的村民祖籍四川，系南宋时移徙至江西，其后代南下广东定居于新田。新田乡中古建筑物特多，祠堂中之麒峰文公祠及大夫第被当局列为古迹，重修后让市民自由参观。富家大宅及古老宗祠，正好为寻根…,341.0,114.087964,22.502813,1,0.0,新田大夫第,,香港
140,140,流浮山Lau Fau Shan,1,82.0,,184.0,113.9959018676,22.4715515821,13,0.0,流浮山,LauFauShan,香港
141,141,尖沙咀中心Tsim Sha Tsui Centre,1,92.0,,529.0,114.1892619306,22.3005811439,74,0.0,尖沙咀中心,TsimShaTsuiCentre,香港
142,142,又一城电影院,1,0.0,,172.0,114.1856728721,22.3247258036,0,0.0,又一城电影院,,香港
143,143,坪洲Peng Chau,4,84.0,可以远眺香港迪士尼乐园及愉景湾。,107.0,114.0529734719,22.2860803311,61,0.0,坪洲,PengChau,香港
144,144,香港蒲台群岛Hong Kong Putai Island,2,86.0,,342.0,114.2709642471,22.1724376678,8,0.0,香港蒲台群岛,HongKongPutaiIsland,香港
