,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名
69,新安江风景名胜区Xin'an River Scenic Area,2,92.0,,174.0,119.306682,29.497461,29,0.0,新安江风景名胜区,XinanRiverScenicArea
70,灵栖洞Lingqi Wonderland Cave,8,94.0,83版《西游记》取景地，三个溶洞风格迥异，游览体验也各不相同。,20.0,119.096752,29.384884,385,0.0,灵栖洞,LingqiWonderlandCave
71,浙西大龙湾景区Dalongwan Valley in Zhexi (West of Zhejiang Province),1,86.0,,24.0,119.089306,30.22071,158,0.0,浙西大龙湾景区,DalongwanValleyinZhexiWestofZhejiangProvince
72,拱宸桥Gongchenqiao Residential District,7,94.0,,1040.0,120.145416,30.324504,131,0.0,拱宸桥,GongchenqiaoResidentialDistrict
73,芦茨湾Luci Bay,0,94.0,,,119.679534,29.694376,28,0.0,芦茨湾,LuciBay
74,虎跑公园Hupao Park,28,92.0,济公圆寂地，弘一法师出家地。可以品茗虎跑泉水冲泡的龙井茶。,80.0,120.138469,30.215699,825,0.06,虎跑公园,HupaoPark
75,富春桃源Fuchun Taoyuan Scenic Area,1,84.0,在九霄碧云洞中看千姿百态的钟乳石，乘电动竹筏游岩岭湖。,2.0,119.641802,30.017497,170,0.0,富春桃源,FuchunTaoyuanScenicArea
76,深澳村Shen'ao Village,2,92.0,,25.0,119.843736,29.857753,29,0.0,深澳村,ShenaoVillage
77,长乐林场Changle Forest Farm,2,90.0,,44.0,119.869225,30.316582,14,0.0,长乐林场,ChangleForestFarm
78,径山寺Wanshou Chan Temple,2,90.0,,6.0,119.771495,30.386235,17,0.0,径山寺,WanshouChanTemple
79,大慈岩风景区Daci Cliffs Scenic Area,6,90.0,行走半山腰的悬空栈道，拍一张“江南悬空寺”全景。,190.0,119.297789385,29.3187423232,680,0.0,大慈岩风景区,DaciCliffsScenicArea
80,苏堤Sudi,166,94.0,领略西湖之美的好地方，漫步或骑着单车，来一次纵贯西湖之旅。,16.0,120.149074,30.238234,1453,0.35,苏堤,Sudi
81,梅峰岛Meifeng Island,7,84.0,登上梅峰观景台，俯瞰好似漂浮在湖面上的众多岛屿。,254.0,118.92783,29.595972,795,0.0,梅峰岛,MeifengIsland
82,芹川村Qinchuan Village,4,84.0,,3.0,118.615115,29.523822,150,0.0,芹川村,QinchuanVillage
83,"江南喀斯特Sigiriya Lion Rock Scenic Area, Jiangnan Ice Hole",1,86.0,,21.0,119.1155485626,29.3853173165,50,0.0,江南喀斯特,SigiriyaLionRockScenicAreaJiangnanIceHole
84,玉皇山景区Yuhuang Mountain Scenic Area,4,88.0,看山中的遗迹和石刻，在紫来洞俯瞰山下清水环绕的八卦田。,321.0,120.161537,30.224879,171,0.0,玉皇山景区,YuhuangMountainScenicArea
85,浙江大学之江校区Zhejiang University Zhijiang Campus,30,92.0,电影《唐山大地震》取景地，古朴的红砖教学楼非常上镜。,93.0,120.1313356916,30.1987584604,170,0.01,浙江大学之江校区,ZhejiangUniversityZhijiangCampus
86,半山国家森林公园Banshan National Forest Park,0,88.0,,707.0,120.19942,30.370253,61,0.0,半山国家森林公园,BanshanNationalForestPark
87,虎啸峡,3,100.0,惊险刺激，让你彻底体验湿身的感觉！,1057.0,119.518191,29.761151,3,0.0,虎啸峡,
88,牵牛岗,0,80.0,,,119.0144786843,30.0322568511,0,0.0,牵牛岗,
89,六和塔Liuhe Pagoda,28,92.0,登塔眺望滚滚钱塘，钱塘江大桥横跨两岸，风光无限。,63.0,120.139068,30.202099,889,0.05,六和塔,LiuhePagoda
90,高银美食街GaoYin MeiShiJie,5,88.0,,17.0,120.17412,30.246309,135,0.03,高银美食街,GaoYinMeiShiJie
91,meland Club(印力汇德隆杭州奥体印象城店),0,84.0,,,120.2598,30.229516,0,0.0,印力汇德隆杭州奥体印象城店,melandClub
92,杭州国家版本馆 (文润阁),0,70.0,,,120.022086,30.388232,0,0.0,杭州国家版本馆文润阁,
93,龙井村Longjing Village,0,88.0,,,120.1119866559,30.225095905,49,0.0,龙井村,LongjingVillage
94,白龙潭景区Bailongtan (White Dragon Pool) Scenic Area,2,88.0,,282.0,120.027283,30.197659,107,0.0,白龙潭景区,BailongtanWhiteDragonPoolScenicArea
95,西塘村Xitangcun,0,68.0,,,120.0142886078,30.4091129303,8,0.0,西塘村,Xitangcun
96,下满觉陇,0,96.0,,,120.1265379712,30.2278801653,0,0.0,下满觉陇,
97,常绿镇Changlvzhen,0,88.0,,14.0,120.0887365542,29.8633384705,3,0.0,常绿镇,Changlvzhen
98,安顶山Anding Mountain,0,94.0,,27.0,120.091078,29.992634,10,0.0,安顶山,AndingMountain
99,平湖秋月Autumn moon on the calm lake (Pinghu Qiuyue),59,92.0,西湖赏月胜地，每年三月樱花怒放，一片绚烂。,27.0,120.152648,30.258246,480,0.15,平湖秋月,AutumnmoononthecalmlakePinghuQiuyue
100,飞来峰Feilaifeng Peak,10,88.0,,29.0,119.001633,30.040326,152,0.18,飞来峰,FeilaifengPeak
101,茅家埠Maojiabu Village,23,92.0,上香古道的起点，以湿地和农家乐闻名，是西湖边难得的清幽之地。,45.0,120.132183,30.245932,275,0.0,茅家埠,MaojiabuVillage
102,瑶琳国家森林公园Yaolin National Forest Park,0,92.0,,4.0,119.544047,29.944206,23,0.0,瑶琳国家森林公园,YaolinNationalForestPark
103,卧龙胜境,0,88.0,,,119.267876,29.362879,0,0.0,卧龙胜境,
104,天屿山景观台Tianyu Mountain Observation Deck,0,98.0,,,119.054283,29.633709,23,0.0,天屿山景观台,TianyuMountainObservationDeck
105,中国湿地博物馆National Wetland Museum,2,94.0,,1012.0,120.09405,30.270195,74,0.0,中国湿地博物馆,NationalWetlandMuseum
106,梅家坞Meijiawu,15,90.0,茶田环绕的村子，周末来这儿品龙井、吃农家菜。,44.0,120.093568,30.208674,200,0.0,梅家坞,Meijiawu
107,山下美术馆,0,100.0,,,120.0563882139,30.1158174083,0,0.0,山下美术馆,
108,桐庐放语空乡宿文创综合体Tonglu Fangyukong Country Lodge Cultural and Creative Complex,0,76.0,,,119.717638,29.678966,1,0.0,桐庐放语空乡宿文创综合体,TongluFangyukongCountryLodgeCulturalandCreativeComplex
109,杭州龙坞茶村Hangzhou Longwu Tea Village,1,92.0,,645.0,120.041128,30.182753,77,0.0,杭州龙坞茶村,HangzhouLongwuTeaVillage
110,冰川大峡谷Glacier Grand Canyon,1,84.0,,18.0,119.483006,30.371277,32,0.0,冰川大峡谷,GlacierGrandCanyon
111,杭州博物馆Hangzhou Museum,9,90.0,,30.0,120.173089,30.244425,231,0.0,杭州博物馆,HangzhouMuseum
112,青山湖国家森林公园,2,80.0,青山湖被誉为临安第一景，青山湖国家森林公园是临安新十景之一，风光清朗，湖面开阔，最值得一看的是水上森林。,10.0,119.785771,30.24768,2,0.0,青山湖国家森林公园,
113,山沟沟景区Shangougou Scenic Resort,2,86.0,竹林深处看瀑布，吃农家菜，夏天溯瀑清凉自在。,57.0,119.717282,30.429178,255,0.0,山沟沟景区,ShangougouScenicResort
114,红石湾,0,100.0,红石湾景区位于桐庐天目溪旁是一处集山、水、林、洞于一体，休闲、度假、观光、游乐、拓展一条龙服务的综合性休闲旅游胜地，占地面积六平方公里,326.0,119.563506,29.89558,1,0.0,红石湾,
115,胜利河美食街ShengLiHe MeiShiJie,0,90.0,世界各地的美食在这里都能找到，晚上的夜宵摊格外热闹。,,120.160463,30.303399,86,0.0,胜利河美食街,ShengLiHeMeiShiJie
116,荻浦村Dipucun,2,82.0,,40.0,119.833605,29.871723,31,0.0,荻浦村,Dipucun
117,大兜路历史文化街区Dadou Road Historical and Cultural District,4,90.0,,202.0,120.151405,30.306422,110,0.0,大兜路历史文化街区,DadouRoadHistoricalandCulturalDistrict
118,新叶古村Xinye Ancient Village,13,82.0,新叶古村位于建德西南，是国内目前最大的叶氏聚居村，更是综艺节目《爸爸去哪儿2》取景地，村内有众多雕刻精美的明清古建筑，环境优美。,1.0,119.342169,29.335389,389,0.0,新叶古村,XinyeAncientVillage
119,建德灵栖洞,3,90.0,灵栖洞由灵泉、清风、霭云三洞和灵栖石林组成。三洞各具特色：灵泉洞以水见长，清风洞以风取胜，霭云洞以云雾称奇，灵栖石林以惟妙惟肖拟人状物的造型石景而引人入胜。,194.0,119.09675,29.384883,2,0.0,建德灵栖洞,
120,杨公堤Yanggong Dike,28,92.0,西湖三堤中唯一的车行道，游人较少，春天风光如画。,26.0,120.137433,30.258514,249,0.0,杨公堤,YanggongDike
121,浙江自然博物馆Zhejiang Natural History Museum,1,94.0,,147.0,120.171317,30.282674,179,0.0,浙江自然博物馆,ZhejiangNaturalHistoryMuseum
122,东天目山景区Dongtianmu Mountain Scenic Area,1,74.0,行走峡谷密林中，听瀑布轰鸣，感受昭明大禅院的清幽。,294.0,119.509864,30.346692,173,0.0,东天目山景区,DongtianmuMountainScenicArea
123,乌龟潭Tortoise Pond,1,94.0,,312.0,120.138787,30.23821,21,0.0,乌龟潭,TortoisePond
124,珍珠广场,0,0.0,,,119.1196608254,29.6039916293,0,0.0,珍珠广场,
125,宝寿山景区Baoshou Mountain Sceneic Area,0,88.0,,,120.017186,30.223587,16,0.0,宝寿山景区,BaoshouMountainSceneicArea
126,桐庐县灵鸡寺Tongluxian Lingji Temple,0,0.0,,,119.525,29.9224,0,0.0,桐庐县灵鸡寺,TongluxianLingjiTemple
127,灵隐飞来峰景区Hangzhou Lingyin Temple and Feilai Peak Scenic Spot,3,92.0,观赏飞来峰中风格迥异的石刻造像，在古刹灵隐寺礼佛祈福。,172.0,120.108516,30.245216,1682,0.0,灵隐飞来峰景区,HangzhouLingyinTempleandFeilaiPeakScenicSpot
128,石舍村,1,100.0,石舍村地处著名的浙西旅游带上，山清水秀，气候宜人，因石头多且有特色，早年间村民都是依山伴水在石头垒砌成的屋内居住而得名。,647.0,119.731381,29.6463,1,0.0,石舍村,
129,西山国家森林公园Xi Mountain National Forest Park,1,88.0,,182.0,120.050666,30.120796,20,0.0,西山国家森林公园,XiMountainNationalForestPark
130,白堤Bai Causeway,100,92.0,西湖最适合漫步的长堤，春天有“一株杨柳一株桃”的烂漫景色。,24.0,120.155406,30.261371,886,0.16,白堤,BaiCauseway
131,宝石流霞Baoshi Liuxia,10,92.0,在保俶塔周围的巨石上饱览西湖美景，霞光普照时瑰丽异常。,53.0,120.150641,30.267235,234,0.01,宝石流霞,BaoshiLiuxia
132,杭州植物园Hangzhou Botanical Garden,15,92.0,踏青好去处！早春时节，灵峰探梅的迎春花卉争奇斗艳，非常上镜。,47.0,120.1228376102,30.2568812595,525,0.02,杭州植物园,HangzhouBotanicalGarden
133,千岛湖森林氧吧Thousand Island Lake Forest Oxygen Bar,3,86.0,来山林漫步消暑、赏瀑登高，呼吸最纯净的空气。,64.0,119.224824,29.595154,1281,0.01,千岛湖森林氧吧,ThousandIslandLakeForestOxygenBar
134,"中国美术学院象山校区China Academy of Art, Xiangshan Campus",21,94.0,,48.0,120.0842680464,30.160887332,164,0.0,中国美术学院象山校区,ChinaAcademyofArtXiangshanCampus
135,安溪古镇,0,0.0,,,120.0223475074,30.4148291089,0,0.0,安溪古镇,
136,茆坪村Maopingcun,0,80.0,,,119.715946,29.660745,0,0.0,茆坪村,Maopingcun
137,浙江省博物馆,0,0.0,,,120.1499429574,30.2573420522,0,0.0,浙江省博物馆,
138,午潮山国家森林公园Wuchaoshan National Forest Park,1,92.0,,531.0,120.021131,30.181128,9,0.0,午潮山国家森林公园,WuchaoshanNationalForestPark
139,下姜村Xiajiangcun,2,92.0,,646.0,118.731828,29.379069,7,0.0,下姜村,Xiajiangcun
140,河桥古镇Heqiao Ancient Town,2,76.0,,7.0,119.250356,30.112424,69,0.0,河桥古镇,HeqiaoAncientTown
141,千岛湖东南湖区Qiandao Lake-Southeast Lake District,4,90.0,乘船徜徉千岛湖，登上黄山尖俯瞰岛屿组成的“天下为公”图案。,257.0,119.082879,29.591694,690,0.0,千岛湖东南湖区,QiandaoLakeSoutheastLakeDistrict
142,板壁山水库Banbishan Reservoir,0,90.0,,,120.0328663512,30.1327745133,0,0.0,板壁山水库,BanbishanReservoir
143,十五奎巷Shiwukui Alley,2,84.0,,153.0,120.177276,30.243054,30,0.0,十五奎巷,ShiwukuiAlley
144,十里琅珰Langdang Mountain,4,94.0,,110.0,120.112913,30.224216,54,0.0,十里琅珰,LangdangMountain
145,吴山天风Wushan Tianfeng Scenic Area,13,88.0,西湖边的小山，登上城隍阁，西湖、钱塘、杭城景色尽收眼底。,52.0,120.171233,30.245382,315,0.02,吴山天风,WushanTianfengScenicArea
146,月光岛（五龙岛）Moonlight Island,4,78.0,,193.0,119.015673,29.621293,220,0.0,月光岛五龙岛,MoonlightIsland
147,千岛湖石林景区Stone Forest Scenic Area,1,88.0,不用去云南也能欣赏到的石林景观，人少景美。,5.0,119.014659,29.379889,161,0.0,千岛湖石林景区,StoneForestScenicArea
148,锦绣风水洞Jinxiu Fengshui Cave,2,80.0,,276.0,120.057903,30.124867,129,0.0,锦绣风水洞,JinxiuFengshuiCave
149,白塔公园The White Tower Park,8,90.0,,284.0,120.146207,30.205028,132,0.0,白塔公园,TheWhiteTowerPark
150,琴溪香谷景区Qinxi Xianggu Scenic Area,2,88.0,景色养眼的翠绿山谷，钻状元神洞、坐滑索，体验山间野趣。,132.0,119.599855,29.961887,74,0.0,琴溪香谷景区,QinxiXiangguScenicArea
151,马岭古道,0,0.0,,,119.6873803715,29.6863389306,0,0.0,马岭古道,
152,肖岭水库,0,0.0,,,119.8193873005,29.7931456899,0,0.0,肖岭水库,
153,金沙湖公园Jinshahu Park,0,96.0,,,120.3226295335,30.3139145381,2,0.0,金沙湖公园,JinshahuPark
154,杭州三墩美食街SanDun MeiShiJie,0,0.0,,,120.0876714448,30.3333121241,0,0.0,杭州三墩美食街,SanDunMeiShiJie
155,杭州梵高星空艺术展Hangzhou Vincent Van Gogh Star Art Exhibition,0,94.0,,,120.173917,30.193484,8,0.0,杭州梵高星空艺术展,HangzhouVincentVanGoghStarArtExhibition
156,水北街Shuibei Street,0,88.0,,,120.1937262293,30.4868488312,24,0.0,水北街,ShuibeiStreet
157,良渚文化艺术中心Hangzhou Vanke Liangzhuwenhua Artistic Center,3,96.0,,12.0,120.038926334,30.3711446019,26,0.0,良渚文化艺术中心,HangzhouVankeLiangzhuwenhuaArtisticCenter
158,五柳巷历史街区Wuliuxiang History Block,1,90.0,,107.0,120.183127,30.247949,51,0.0,五柳巷历史街区,WuliuxiangHistoryBlock
159,下涯镇Xiayazhen,1,90.0,,14.0,119.382145004,29.5413017273,15,0.0,下涯镇,Xiayazhen
160,径山Jing Mountain,2,88.0,,41.0,119.769025,30.38681,81,0.0,径山,JingMountain
161,美丽洲堂Meili Zhou Church,2,92.0,,3.0,120.034266,30.374528,13,0.0,美丽洲堂,MeiliZhouChurch
162,王子谷漂流Wangzigu Drifting,1,92.0,,787.0,119.236445,29.609686,52,0.0,王子谷漂流,WangziguDrifting
163,花港观鱼Viewing Fish at Flower Harbor,89,88.0,在红鱼池边买包饲料，喂喂池中又红又大的鲤鱼吧！,38.0,120.148232,30.238309,1065,0.23,花港观鱼,ViewingFishatFlowerHarbor
164,孤山Gushan,60,92.0,西湖底蕴最深厚的地方，西泠印社、放鹤亭等人文景观荟萃。,35.0,120.146286,30.257394,484,0.15,孤山,Gushan
165,岳王庙景区Yuewang Temple Scenic Area,55,92.0,民族英雄岳飞父子墓地，秦桧等奸臣像在墓前长跪千年，令人感慨。,37.0,120.141115,30.258673,1014,0.14,岳王庙景区,YuewangTempleScenicArea
